Unnamed: 0,ID,2011,2012,2013,2014,2015,2016,2017,2018,start_year
21,55782381000,4,4,4,4,4,4,4,4,2011
25,26326181300,5,5,5,5,5,5,5,5,2011
30,55703470300,5,5,5,5,5,5,5,5,2011
31,21834460700,2,2,2,2,5,5,5,5,2011
52,23992392000,3,3,3,9,20,23,34,47,2011
53,56130684200,1,1,1,2,2,2,2,2,2011
68,36470798500,2,2,2,2,2,2,2,2,2011
81,6507052437,2,2,2,2,2,2,2,2,2011
93,36968078200,3,3,3,3,3,3,3,3,2011
117,7402390313,6,6,23,23,34,34,34,34,2011
152,7004075579,2,2,2,2,2,2,2,2,2011
185,55697141200,3,3,3,3,3,3,3,3,2011
197,7801501276,2,3,3,3,3,3,3,3,2011
265,54782929300,3,6,8,8,8,8,8,8,2011
273,55365525700,3,4,4,4,4,4,4,4,2011
283,36630293400,5,5,5,8,8,8,11,18,2011
286,25655625500,5,5,5,6,6,6,6,6,2011
303,54418970200,3,4,4,4,4,4,4,4,2011
326,54385715900,2,2,2,2,2,2,2,2,2011
359,35147655600,2,2,2,2,2,2,2,2,2011
393,54581450400,3,3,3,3,3,3,3,3,2011
396,57204251333,2,2,2,2,2,5,5,5,2011
398,8548822000,2,2,2,2,2,21,21,21,2011
401,37098567800,2,2,2,2,2,2,2,2,2011
408,56630223900,6,6,6,6,6,6,6,6,2011
423,52063624000,2,2,2,7,7,7,7,7,2011
443,55879881900,5,5,5,5,5,5,5,5,2011
451,20436676300,10,10,10,10,10,10,10,10,2011
475,57197368654,3,3,3,3,3,3,3,3,2011
489,6701530007,2,2,2,2,2,2,2,2,2011
491,6602777491,5,5,5,5,5,5,5,5,2011
529,55949278200,19,19,19,19,19,19,19,19,2011
553,26664442500,4,4,4,4,7,7,7,7,2011
555,18039116600,3,3,3,3,3,5,5,5,2011
564,36604994100,11,20,20,20,20,20,20,20,2011
579,7007101008,1,1,1,1,1,1,1,1,2011
597,47561820800,1,1,2,2,2,2,2,2,2011
607,6507554768,4,4,4,4,4,4,4,4,2011
613,23394147700,1,1,1,1,1,1,1,1,2011
621,37078850100,2,2,2,2,2,2,2,2,2011
636,35179399600,1,1,1,1,1,1,4,4,2011
659,54787423300,2,2,2,2,2,2,2,2,2011
687,55604995900,83,83,83,83,83,83,83,83,2011
746,55012140900,2,2,2,2,2,2,2,2,2011
786,6601978855,6,6,6,6,6,6,6,6,2011
825,37014450100,2,2,2,2,2,2,2,2,2011
841,55485710100,5,5,5,5,5,5,5,5,2011
842,57194379165,22,22,22,22,22,22,22,22,2011
854,55037267000,5,5,6,6,6,6,6,6,2011
860,55243567700,27,27,43,43,43,43,43,43,2011
874,9842095300,23,23,23,23,23,23,23,23,2011
890,36470629500,4,4,4,4,4,4,4,4,2011
897,51160988500,4,4,4,4,4,4,4,4,2011
932,7005019635,5,5,5,5,5,5,5,5,2011
973,7101999997,1,1,1,1,1,1,1,1,2011
984,57198958092,30,30,30,30,30,30,30,30,2011
990,7101622901,11,11,11,11,11,11,11,11,2011
1015,6603604335,21,21,21,21,21,21,21,21,2011
1028,56264752700,2,2,2,2,2,2,2,2,2011
1029,15065466400,27,27,27,27,27,27,27,27,2011
1030,36006997600,3,3,3,3,3,3,3,3,2011
1041,15827964300,3,3,4,4,4,4,4,4,2011
1043,57204338494,2,2,9,9,9,9,9,9,2011
1056,53866336800,4,4,4,4,4,4,4,4,2011
1071,35114206300,4,4,4,4,4,4,4,4,2011
1076,7202272125,6,6,6,6,6,6,6,6,2011
1077,8706839200,5,5,5,5,5,5,5,5,2011
1083,6603385975,19,33,33,33,33,33,33,33,2011
1097,57198949453,2,2,2,2,2,2,2,2,2011
1131,9278228200,7,7,7,7,7,7,7,7,2011
1137,6602651468,1,6,6,6,9,9,9,31,2011
1144,37019846000,3,6,6,6,6,6,6,6,2011
1151,49961119100,3,3,3,3,3,3,3,3,2011
1162,22034668700,7,10,10,10,15,15,20,23,2011
1168,6603406483,7,20,24,34,44,44,46,46,2011
1203,55545555900,7,7,7,7,7,7,7,7,2011
1223,8944381100,6,7,7,7,7,10,13,15,2011
1233,54685089900,6,6,6,6,6,6,6,6,2011
1254,36477425800,4,4,4,4,4,4,4,4,2011
1280,24802097000,2,2,2,2,2,2,2,2,2011
1296,56229122400,9,9,9,9,9,9,9,9,2011
1316,55994382800,16,16,16,16,16,16,16,16,2011
1325,54414075600,5,5,5,5,5,5,5,5,2011
1337,56221193200,3,3,3,3,3,3,3,3,2011
1341,57198487436,9,9,9,19,19,19,19,19,2011
1352,55377127000,3,3,3,3,3,3,3,3,2011
1358,8227179100,5,5,5,5,11,11,11,11,2011
