Unnamed: 0,ID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
36,7005865095,6,6,6,6,6,6,6,6,6,6,6,8,2007
71,23008692200,43,43,62,62,62,62,62,62,62,62,62,62,2007
96,7103065327,3,3,3,3,12,12,12,21,34,34,36,36,2007
98,6508252665,4,9,9,9,9,9,9,9,9,9,9,9,2007
107,24469712500,4,6,6,9,11,11,14,14,15,15,15,15,2007
116,18437015900,2,2,2,2,2,2,2,2,2,2,2,2,2007
153,57204345850,3,3,3,6,6,6,6,7,13,16,16,16,2007
175,13005751700,10,10,10,10,10,10,10,10,10,10,10,10,2007
179,55715631800,4,4,4,4,4,4,4,4,4,4,4,4,2007
180,23100304500,9,9,9,9,9,9,9,9,9,9,9,9,2007
198,56030195400,4,4,4,4,4,4,4,4,4,4,4,4,2007
202,26767632400,1,1,1,1,1,1,1,1,1,1,1,1,2007
226,57194907127,5,5,5,5,5,5,5,5,5,5,5,5,2007
285,26026181500,2,2,3,6,6,6,9,9,9,9,9,9,2007
297,23984606900,3,3,3,3,3,3,3,3,3,3,3,3,2007
303,16178095900,1,1,1,1,1,1,1,1,1,1,1,1,2007
315,24722993500,2,2,2,2,2,2,2,2,2,2,2,2,2007
332,55738721200,2,2,5,5,5,5,5,5,5,5,5,5,2007
336,23397629300,3,3,4,4,4,4,4,4,4,4,4,4,2007
343,8319802300,4,6,6,6,6,6,6,6,6,6,6,6,2007
363,8552286100,1,1,1,1,1,1,1,7,7,7,7,7,2007
377,6507778855,7,7,7,7,7,60,60,60,60,60,60,60,2007
388,16417168600,1,1,1,1,1,1,1,1,1,1,1,1,2007
459,37091242100,13,13,13,13,13,13,13,13,13,13,13,13,2007
473,55912445100,5,5,5,5,5,5,5,5,5,5,5,5,2007
504,22940989000,2,2,2,2,2,2,2,2,2,2,2,2,2007
567,23006340400,3,3,3,3,3,3,3,3,3,3,3,3,2007
627,7005170650,1,1,1,1,1,1,1,3,8,8,11,11,2007
657,54985679700,6,6,6,6,6,6,6,6,6,6,6,6,2007
699,9744913000,6,6,6,6,6,6,6,6,6,6,6,6,2007
745,6507589105,4,4,4,4,4,4,4,4,4,4,4,4,2007
781,7003876431,17,17,17,17,17,17,17,17,17,17,17,17,2007
826,13106009800,65,65,65,65,65,65,65,65,65,65,65,65,2007
830,16204410100,1,1,1,1,1,1,1,1,1,1,1,1,2007
863,35601922700,4,4,18,18,24,24,24,24,24,24,24,24,2007
870,55867065700,15,15,15,15,15,15,15,15,15,15,15,15,2007
874,34770243100,12,12,12,12,12,15,15,15,15,15,15,15,2007
876,56248584000,4,4,4,4,4,4,4,4,4,4,4,4,2007
896,6603312833,1,4,4,4,4,4,4,4,4,4,4,4,2007
908,18042059200,5,5,6,8,8,8,14,14,20,20,20,20,2007
928,55470573600,3,3,3,3,3,3,3,3,3,3,3,3,2007
934,8723630100,7,8,8,8,8,13,13,17,17,17,17,17,2007
976,24781182200,3,11,11,14,14,14,14,14,14,15,17,17,2007
978,16204514500,4,4,4,4,4,4,4,4,4,4,4,4,2007
979,51461997500,7,7,7,7,7,7,7,7,7,7,7,7,2007
994,8964316200,5,5,5,15,15,15,15,15,15,15,15,15,2007
995,55946710700,3,3,3,3,3,3,3,3,3,3,3,3,2007
1000,16239955600,4,4,4,4,4,4,4,4,4,4,4,4,2007
1003,16230566700,22,25,25,25,25,25,25,25,25,25,25,25,2007
