Unnamed: 0,ID,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
127,16463765800,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1999
152,8911201600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1999
454,7005382308,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1999
497,55878947500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1999
690,8576012300,3,3,6,6,6,10,11,15,19,21,31,40,47,57,60,61,67,77,81,82,1999
691,7801544966,3,3,3,3,5,5,9,11,11,14,14,16,16,18,23,23,23,25,25,30,1999
1360,8682319500,3,3,3,3,3,4,4,4,5,5,5,5,11,11,11,11,12,12,14,14,1999
1413,56259465500,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1999
1584,57203235311,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1999
1724,35564240000,1,1,2,2,2,2,2,3,3,11,13,15,17,19,19,19,20,20,20,20,1999
1772,6701503863,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1999
1777,35611323400,7,8,9,10,10,10,10,10,10,10,18,18,18,18,18,18,20,25,25,30,1999
2023,6701679407,3,3,3,5,8,8,8,9,10,10,13,15,16,17,22,25,26,28,31,36,1999
2030,7004037567,1,1,1,1,1,15,20,20,27,27,28,28,28,28,28,28,28,28,28,28,1999
2125,55884831800,1,1,1,1,2,2,2,2,2,3,3,3,3,5,5,5,5,5,5,5,1999
2395,56244361200,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1999
2426,7004103810,4,4,5,5,5,7,7,7,7,7,7,7,7,7,8,8,8,12,14,14,1999
2484,56656304600,2,3,3,3,3,3,8,10,11,14,18,31,38,43,46,52,53,56,66,71,1999
2720,7004023805,4,4,6,6,6,7,10,22,25,35,40,45,48,50,53,57,60,61,65,78,1999
2799,56006954900,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,8,9,10,17,1999
3149,7003635843,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1999
3364,6701441456,7,11,11,14,20,24,32,32,36,36,36,36,36,36,36,36,36,36,36,36,1999
3370,6701792955,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1999
