Unnamed: 0,ID,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
37,12240297000,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2004
48,6602364546,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
146,6506687058,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,2004
149,6602207446,4,9,9,18,22,24,24,24,27,28,33,33,35,40,43,2004
151,8668849800,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
164,6505928631,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
165,6603247644,2,2,2,2,2,2,4,4,4,6,10,13,13,17,19,2004
172,6603476567,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
267,57196821733,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2004
311,56165207900,20,65,65,65,65,65,65,65,65,65,65,65,65,65,65,2004
339,7004874094,5,5,5,5,5,5,5,5,5,5,9,9,9,9,9,2004
353,6507907677,2,2,2,2,2,4,7,9,13,15,25,27,28,32,42,2004
468,6602104029,26,26,26,26,36,36,46,46,61,61,67,67,71,71,71,2004
483,13609694400,2,2,2,2,2,2,2,2,2,4,4,8,10,12,13,2004
499,55888724800,4,5,5,7,7,7,11,12,12,12,15,15,15,26,26,2004
563,8700956700,1,1,3,3,3,3,6,6,6,7,7,7,7,7,7,2004
581,7006376498,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2004
584,6603046252,3,3,3,3,3,3,3,3,7,8,8,8,8,8,8,2004
591,21743369000,3,3,3,4,7,7,7,7,9,10,11,11,13,13,16,2004
598,36026187100,14,14,14,14,14,14,14,14,14,14,35,35,43,56,68,2004
615,55307433500,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
643,6507495155,17,21,21,21,21,21,21,21,33,33,40,40,59,67,67,2004
741,57205273247,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
788,6701831220,1,1,1,1,1,1,1,4,6,6,6,6,6,6,6,2004
800,6701446077,9,9,9,29,29,29,29,30,30,30,30,30,30,30,30,2004
802,6505996084,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
850,7801629715,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,2004
854,7101755216,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,2004
1014,37019071400,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
1022,23022311900,3,3,6,6,6,6,12,12,17,17,17,17,20,20,20,2004
1058,6603672082,6,6,6,8,8,8,8,8,9,9,9,9,9,9,9,2004
1059,7004245418,3,3,5,7,10,10,11,11,11,11,14,14,15,15,15,2004
1063,8393679000,9,9,9,9,9,9,9,9,9,9,15,15,15,15,26,2004
1082,56069541400,43,43,43,43,48,48,112,112,198,198,202,202,205,205,256,2004
1118,6506833359,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
1128,6701746486,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2004
1182,6506745130,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,2004
1192,55860668600,3,3,3,3,3,3,4,4,12,12,12,12,12,41,41,2004
1289,6602939938,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,2004
1306,35451303200,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
1314,13106231100,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
1322,8326667300,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2004
1342,53866152500,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
1352,6603907030,1,3,4,4,4,4,4,4,4,4,4,4,4,5,5,2004
1453,6603751598,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,2004
1454,7201468610,11,11,11,11,11,11,11,11,11,18,18,18,18,18,18,2004
1503,57197468914,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2004
1517,15843037400,2,8,8,8,8,8,8,8,8,8,11,11,11,14,17,2004
1684,15019473400,2,5,10,10,10,10,10,10,10,14,14,14,14,14,14,2004
1698,7402515233,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2004
1760,8731755200,10,16,16,16,25,69,152,152,160,160,164,164,214,214,215,2004
1778,6505648715,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,2004
1795,6603105760,1,1,1,1,1,1,1,3,3,3,4,4,4,4,4,2004
1806,6602418241,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
1810,36599805500,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,2004
1828,7801451703,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
1839,57191585604,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
1915,6602509846,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,2004
1978,55534140961,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2004
2004,6602452487,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2004
2011,55888269800,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2004
2025,23975627600,3,3,3,3,4,4,4,7,8,8,8,9,9,10,10,2004
2026,6505561198,2,2,2,2,4,4,4,7,10,10,10,10,10,10,10,2004
2047,35495413600,8,8,8,8,8,8,8,8,8,22,22,22,22,22,22,2004
2101,6506691204,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
2283,36766255500,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
2312,56524368600,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,2004
2351,7005940891,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,2004
2442,24343470300,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2004
2459,6506247514,4,4,7,7,7,7,7,9,9,9,9,9,13,13,13,2004
2469,56268440100,7,7,7,7,7,7,13,13,13,13,13,13,13,13,13,2004
2533,6602182508,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2004
2563,57196074966,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,2004
2620,56001046200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2004
2645,22433529700,2,2,2,2,2,4,6,6,6,6,6,6,24,24,29,2004
2761,6601970604,17,17,17,28,35,35,35,49,49,49,64,75,75,84,84,2004
2803,22433668000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
2828,10038902900,5,7,8,10,14,14,21,23,26,30,30,30,34,34,35,2004
2837,6507112233,20,20,20,28,28,28,28,28,28,28,28,28,28,28,33,2004
2857,56216326200,1,1,1,1,1,1,1,1,4,4,4,4,4,4,12,2004
2902,6508000980,17,21,21,23,23,23,23,23,23,23,23,23,23,23,23,2004
2941,55944243500,1,1,1,1,1,2,6,6,10,10,11,11,11,11,17,2004
2965,7004013739,14,14,14,14,14,14,14,17,17,17,23,23,39,39,39,2004
2981,7003270243,1,1,1,1,1,1,1,7,7,11,12,12,12,13,13,2004
3175,23501520800,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,2004
3302,7004656509,1,1,1,1,1,1,1,1,16,16,16,16,16,16,16,2004
3319,6506457551,14,14,14,14,14,14,14,14,16,16,16,16,89,100,172,2004
