ID,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
6602719789,3,10,22,27,27,32,32,32,32,32,32,32,32,32,32,41,42,46,48,50,55
6507429186,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
45960893200,5,5,5,5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
7003975999,5,5,5,5,5,5,5,5,5,5,5,5,10,10,19,19,19,19,20,20,26
55665563600,1,1,2,4,11,11,14,16,19,21,23,30,34,35,36,39,40,40,40,40,44
7003498035,15,15,15,15,18,18,72,72,72,72,81,81,81,81,88,88,88,88,95,95,95
6602896605,2,2,2,2,2,2,2,3,3,3,12,16,16,21,21,24,27,27,27,27,27
7005132128,2,2,2,2,5,5,5,9,9,9,9,9,9,9,9,9,9,12,12,12,16
8727223500,1,1,2,2,2,6,6,7,10,10,13,13,30,30,30,32,35,39,49,51,55
7004874439,40,40,40,40,40,40,40,40,40,40,104,104,104,104,104,104,104,104,104,104,104
6505941973,5,5,5,6,7,7,7,7,22,29,29,29,29,29,29,29,29,29,29,40,40
7006772731,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5
56213222700,7,17,17,17,24,24,24,25,33,42,42,42,42,42,42,42,42,42,42,42,42
57203526191,1,3,3,3,5,5,6,6,6,6,12,12,12,13,14,16,17,20,20,23,23
6602930466,2,2,3,3,3,8,8,9,9,11,12,12,18,18,20,23,23,23,23,23,23
6701497179,19,20,20,20,20,25,27,32,38,39,41,42,44,46,52,54,54,57,63,63,65
6701706084,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7005938969,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
7003775569,6,6,14,14,14,14,14,14,14,22,22,22,22,22,22,31,31,31,31,35,35
6602983384,3,3,3,3,3,7,7,10,10,10,14,16,16,22,28,28,29,29,29,33,33
35301033900,2,3,3,3,8,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12
7004221744,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,10,10
7006070018,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,18,18
6701481455,1,1,1,1,1,1,1,2,2,3,3,3,3,3,7,7,7,7,7,7,7
7004095016,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7004501465,1,1,2,2,8,8,8,24,24,26,33,35,43,43,43,43,43,43,46,47,49
7004760721,1,1,1,1,1,2,2,2,4,4,4,4,4,4,4,5,5,5,5,5,5
7006243436,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6604024388,3,3,3,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7003350103,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
