Unnamed: 0,ID,2013,2014,2015,2016,2017,2018,start_year
18,54793525200,4,4,4,4,4,4,2013
24,36059257800,11,11,11,11,11,11,2013
38,8729407200,3,3,3,3,3,3,2013
60,52264444300,3,3,3,5,5,6,2013
93,55920057000,3,3,3,4,4,5,2013
118,7006779373,3,3,3,3,3,3,2013
141,26648420600,10,10,14,14,14,14,2013
155,55270360400,2,2,2,2,2,2,2013
160,55957287600,4,4,4,4,4,4,2013
210,35797185000,5,5,5,15,23,28,2013
222,55371043400,3,3,3,3,3,3,2013
223,6602806420,11,11,11,11,11,23,2013
233,6603322853,2,2,2,2,2,2,2013
279,26435260800,3,3,3,3,3,3,2013
313,25926681900,3,3,3,3,3,3,2013
319,56257600100,5,5,5,5,5,5,2013
333,55858603300,3,3,3,3,3,3,2013
358,55604303000,10,11,11,11,11,11,2013
369,13609644600,1,1,1,1,1,1,2013
378,55838084400,7,8,8,9,9,9,2013
383,56102203000,5,5,5,5,5,5,2013
415,55904512100,4,5,5,5,5,5,2013
417,56541162300,7,7,7,7,7,7,2013
427,8604666200,9,67,67,84,86,86,2013
439,56109985500,2,2,2,2,2,2,2013
452,36473088400,3,3,3,5,5,5,2013
458,56389400700,1,4,4,4,4,4,2013
461,55438117400,2,4,4,13,16,20,2013
481,55903287600,4,4,4,4,4,4,2013
494,7102700826,28,28,28,28,28,28,2013
500,55900690200,3,3,3,4,4,4,2013
513,35253987700,11,11,11,11,11,11,2013
534,8837828900,3,3,3,3,3,7,2013
551,55831215500,4,4,4,4,4,4,2013
556,55761197000,4,4,4,4,4,4,2013
564,56369577300,19,21,21,21,21,21,2013
578,37015515400,6,6,6,6,6,6,2013
589,54781272800,2,3,3,3,3,4,2013
602,36150748300,14,14,14,14,14,14,2013
614,55929318800,2,2,2,2,5,5,2013
646,25927422700,4,9,13,20,20,20,2013
649,56005372600,5,5,7,7,7,7,2013
713,35550570600,13,13,13,13,23,34,2013
719,55750042900,8,8,8,8,8,8,2013
721,15128362900,56,56,56,56,56,56,2013
755,7202287838,7,8,8,8,8,8,2013
779,35280782200,16,16,16,85,85,106,2013
795,20734416800,17,17,17,17,17,17,2013
806,56286839800,14,14,14,14,14,14,2013
849,55807665000,2,3,3,3,3,3,2013
877,55683066300,2,2,2,2,2,2,2013
879,56217035300,11,11,11,11,11,11,2013
885,45561600000,5,5,5,5,5,5,2013
898,57164080900,2,2,2,2,2,2,2013
900,36646743000,6,6,6,6,6,6,2013
909,55970755000,4,4,4,4,4,4,2013
921,57197244479,5,5,5,5,5,5,2013
923,25928517500,5,5,5,5,5,5,2013
966,55858739400,2,2,2,4,6,6,2013
991,55709131800,7,7,7,7,15,15,2013
1069,39262374300,26,26,26,26,26,26,2013
1086,9735045400,7,7,7,7,7,7,2013
1113,55931016700,3,7,7,7,7,7,2013
1123,55777480900,1,1,1,1,1,1,2013
1125,55841369000,8,8,8,8,8,8,2013
1161,7007079554,6,6,6,6,6,6,2013
1178,55670793800,1,1,1,1,1,1,2013
1179,57196879231,4,4,4,4,4,4,2013
1181,55931466000,7,7,7,7,7,7,2013
1185,56345862400,1,1,1,1,1,1,2013
1203,55428884500,2,2,2,2,2,2,2013
1205,54909671300,13,13,13,13,13,13,2013
1220,36190041200,2,2,2,2,2,2,2013
1251,55808070264,4,4,4,4,4,4,2013
1258,57193393436,4,4,4,4,4,4,2013
1262,49863868100,6,6,7,7,7,24,2013
1279,8965072400,4,4,4,4,4,4,2013
1294,25928513900,2,2,2,2,2,2,2013
1318,8399247300,21,21,21,21,21,21,2013
1362,6602787035,9,9,9,9,9,9,2013
1389,6602939936,2,2,2,2,2,2,2013
1401,36976154200,2,2,2,2,2,2,2013
1405,7006174947,5,5,14,14,14,14,2013
1433,6602872701,4,4,4,4,4,4,2013
1440,36239838900,6,6,6,6,6,6,2013
1445,7102584852,28,28,28,28,28,28,2013
1458,7102983481,30,30,30,30,30,30,2013
1484,55795114700,1,1,1,1,1,1,2013
1496,7202055375,5,5,5,5,5,5,2013
1505,25930261100,1,1,1,1,1,1,2013
1511,35208956000,6,6,6,6,6,6,2013
1550,36118515400,6,6,9,13,13,13,2013
1588,36995324000,11,11,11,11,11,11,2013
1596,57195223531,3,3,3,3,3,3,2013
1598,55832007200,4,6,6,6,6,6,2013
1608,10641460400,2,2,2,2,2,2,2013
1633,6603830599,4,4,4,4,4,4,2013
1638,56111299400,1,1,1,1,1,8,2013
1642,7202617752,10,10,10,10,10,10,2013
1669,35366753200,4,4,4,4,4,4,2013
1696,37049364000,6,6,6,6,6,6,2013
1716,24377070700,5,5,5,5,5,5,2013
1745,56029229600,3,3,3,3,3,3,2013
1754,55674134300,6,6,6,6,10,10,2013
1761,24832842100,4,4,4,4,4,4,2013
1762,57202728026,10,10,10,10,10,10,2013
1764,55923917000,3,3,3,3,3,3,2013
1766,54956611300,16,16,16,16,16,16,2013
1773,55320816500,3,3,3,3,3,3,2013
1838,8727472200,7,7,7,7,7,11,2013
1846,15078106100,5,5,6,6,6,6,2013
1896,55987946100,3,3,3,3,3,3,2013
1917,7003374609,5,5,5,5,5,5,2013
1937,55640254200,3,6,6,6,6,6,2013
1940,34568899900,2,3,3,3,3,3,2013
1983,23009446000,1,1,1,1,1,1,2013
1996,15074252500,2,5,7,18,21,25,2013
2006,55837664100,11,13,13,13,13,13,2013
2009,55903521500,3,3,3,3,3,3,2013
2012,6701477696,5,5,5,5,8,8,2013
2036,55955445300,2,3,3,3,3,3,2013
2039,55021679700,5,5,5,5,5,5,2013
2057,14422458400,1,1,1,1,1,1,2013
2069,57198168106,4,4,4,4,4,4,2013
2078,7004171185,8,8,8,8,8,8,2013
2079,10041238300,1,2,2,3,3,3,2013
2119,35615666700,2,2,2,2,2,2,2013
2163,57007439300,3,3,3,3,3,3,2013
2211,6701737326,7,7,7,7,7,7,2013
2212,55871289700,3,3,3,3,3,3,2013
2255,55917877700,2,2,2,2,2,2,2013
2258,23478400900,5,5,5,5,5,5,2013
2263,41961372400,2,2,2,4,4,9,2013
2270,55975998700,8,8,8,8,8,8,2013
2287,7003634626,2,2,2,2,2,2,2013
2338,7003515926,4,4,4,4,4,4,2013
2346,31767646100,2,2,2,2,2,2,2013
2385,55485122200,3,3,3,3,3,3,2013
2397,55571509800,2,2,2,2,2,5,2013
2431,35564861900,3,3,3,3,3,3,2013
2447,55603262100,2,2,3,4,4,4,2013
2453,35181960300,5,9,9,9,9,18,2013
2461,57200721544,3,3,3,3,3,3,2013
2472,8513414100,4,7,10,15,20,20,2013
2500,57198463577,3,3,3,3,3,3,2013
2511,56591443100,2,2,2,2,2,2,2013
2538,16237841500,2,2,2,2,2,2,2013
2539,55869182000,3,3,3,3,3,3,2013
2543,55246289100,2,2,2,2,2,2,2013
2544,8703209000,3,3,3,3,3,3,2013
2576,36161830500,26,26,26,30,30,30,2013
2638,36094694600,5,5,5,5,5,5,2013
2641,36855362600,10,10,10,16,16,16,2013
2644,6505966240,1,1,1,1,1,3,2013
2690,6508002705,9,9,9,9,16,16,2013
2726,6602751489,12,12,12,12,12,12,2013
2738,6701689134,2,2,2,2,2,2,2013
2745,6506901500,10,10,10,10,10,10,2013
2756,43660905100,18,18,18,18,18,18,2013
2770,6602555468,6,6,6,6,6,6,2013
2801,55597090100,1,1,1,1,1,1,2013
2812,55233920300,9,9,9,9,9,9,2013
2813,57203626571,11,18,18,18,18,18,2013
2826,55904511300,6,6,6,6,6,6,2013
2843,36660402800,4,4,4,4,4,4,2013
2851,55489559800,4,4,4,4,4,4,2013
2871,35747438500,14,14,14,14,14,14,2013
2880,57201763346,15,15,15,15,15,15,2013
2921,54683658600,2,2,3,3,3,3,2013
2940,54785844700,7,8,8,8,8,8,2013
2943,23135435500,4,4,4,4,4,4,2013
2958,36161869800,1,1,1,1,1,1,2013
