Unnamed: 0,ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
28,14619163500,2,2,2,2,2,2,2,2,2,2010
33,11738782000,2,2,2,2,2,2,2,2,2,2010
53,36082756400,3,3,3,3,3,3,3,3,3,2010
70,36816324700,3,3,3,3,8,9,12,12,12,2010
103,7004354274,2,2,2,2,2,2,2,2,3,2010
109,36453712700,5,5,5,5,5,5,5,5,5,2010
115,36190699900,6,6,6,6,6,6,6,6,6,2010
180,55880050400,2,2,2,15,15,15,34,34,34,2010
216,56835894200,3,26,26,28,28,28,28,28,28,2010
225,23567554100,3,5,5,5,5,5,8,8,8,2010
234,36630798700,3,3,3,3,3,3,3,3,3,2010
260,7004173174,2,11,15,15,15,17,17,17,22,2010
264,36713774200,2,2,2,2,2,2,2,3,3,2010
309,54421301400,6,6,6,6,6,6,6,6,6,2010
327,16024795900,4,4,4,4,4,4,4,4,4,2010
331,35773795200,6,6,6,6,6,6,6,6,6,2010
340,36602617400,5,5,5,5,5,5,5,5,5,2010
352,36615299200,4,4,4,4,4,4,4,4,4,2010
369,56417168500,5,5,7,7,8,9,9,9,9,2010
421,8986539700,4,4,4,4,4,4,4,4,4,2010
439,55731374100,5,5,5,5,5,5,5,5,5,2010
457,36664812700,3,3,3,3,3,3,3,3,3,2010
478,55629643800,16,18,18,18,18,18,18,18,18,2010
541,36149156600,14,14,14,14,14,14,14,14,14,2010
549,57196716304,4,4,4,4,4,4,4,4,4,2010
565,36782061800,1,1,1,1,1,1,1,1,1,2010
569,54397760400,3,3,3,3,6,6,6,6,6,2010
593,36060113200,6,6,6,7,7,7,7,7,7,2010
600,6602331414,2,2,2,2,2,2,2,2,2,2010
604,36816589200,3,3,3,3,3,3,3,3,3,2010
619,55617584700,3,3,3,3,3,3,3,3,3,2010
630,36679991000,4,5,5,5,5,5,5,5,5,2010
635,7202920765,33,36,40,40,48,48,102,102,135,2010
660,37061485200,8,12,12,23,23,24,25,25,25,2010
671,6701769322,22,22,22,22,22,22,22,22,22,2010
716,35101799900,1,1,1,3,3,3,3,3,3,2010
740,15760500900,22,22,22,29,40,40,40,56,56,2010
763,6504350389,3,3,3,3,3,3,3,3,3,2010
