Unnamed: 0,ID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
44,7005865095,6,6,6,6,6,6,6,6,6,6,6,8,2007
82,23008692200,43,43,62,62,62,62,62,62,62,62,62,62,2007
108,7103065327,3,3,3,3,12,12,12,21,34,34,36,36,2007
110,6508252665,4,9,9,9,9,9,9,9,9,9,9,9,2007
119,24469712500,4,6,6,9,11,11,14,14,15,15,15,15,2007
128,18437015900,2,2,2,2,2,2,2,2,2,2,2,2,2007
169,57204345850,3,3,3,6,6,6,6,7,13,16,16,16,2007
199,13005751700,10,10,10,10,10,10,10,10,10,10,10,10,2007
200,6508024595,4,4,4,4,4,4,4,4,4,4,4,4,2007
205,55715631800,4,4,4,4,4,4,4,4,4,4,4,4,2007
206,23100304500,9,9,9,9,9,9,9,9,9,9,9,9,2007
227,56030195400,4,4,4,4,4,4,4,4,4,4,4,4,2007
231,26767632400,1,1,1,1,1,1,1,1,1,1,1,1,2007
258,57194907127,5,5,5,5,5,5,5,5,5,5,5,5,2007
325,26026181500,2,2,3,6,6,6,9,9,9,9,9,9,2007
339,23984606900,3,3,3,3,3,3,3,3,3,3,3,3,2007
347,16178095900,1,1,1,1,1,1,1,1,1,1,1,1,2007
360,24722993500,2,2,2,2,2,2,2,2,2,2,2,2,2007
377,55738721200,2,2,5,5,5,5,5,5,5,5,5,5,2007
381,23397629300,3,3,4,4,4,4,4,4,4,4,4,4,2007
388,8319802300,4,6,6,6,6,6,6,6,6,6,6,6,2007
415,8552286100,1,1,1,1,1,1,1,7,7,7,7,7,2007
435,6507778855,7,7,7,7,7,60,60,60,60,60,60,60,2007
448,16417168600,1,1,1,1,1,1,1,1,1,1,1,1,2007
528,37091242100,13,13,13,13,13,13,13,13,13,13,13,13,2007
543,55912445100,5,5,5,5,5,5,5,5,5,5,5,5,2007
581,22940989000,2,2,2,2,2,2,2,2,2,2,2,2,2007
651,23006340400,3,3,3,3,3,3,3,3,3,3,3,3,2007
720,7005170650,1,1,1,1,1,1,1,3,8,8,11,11,2007
752,54985679700,6,6,6,6,6,6,6,6,6,6,6,6,2007
805,9744913000,6,6,6,6,6,6,6,6,6,6,6,6,2007
