ID,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
7102482217,0,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7003497574,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,13
7007163163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,30,30,30,30
6603384762,0,0,0,0,0,0,0,0,7,20,21,23,23,24,40,52,52,69,69,80,86
7004687555,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7
6603566648,0,0,0,0,0,0,0,0,0,3,3,8,10,15,20,22,27,30,36,39,45
7005880157,0,0,0,0,8,8,8,11,11,11,11,11,11,31,31,31,31,31,31,31,31
6603936357,0,0,0,0,0,4,4,4,5,11,11,14,15,15,15,17,19,20,20,21,21
6602145885,0,0,0,0,0,0,0,0,0,0,5,6,6,6,7,7,7,7,13,16,16
56124709100,0,0,1,1,1,1,1,1,1,1,1,3,4,8,8,8,8,8,13,13,13
6603577229,2,6,6,7,9,16,17,19,19,20,20,21,22,24,26,28,35,40,50,51,53
6603803822,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,28,28,28,28,28
7004287565,3,8,8,8,16,16,29,38,42,53,80,94,94,103,103,111,111,111,111,111,118
7006682338,0,0,0,0,14,14,25,32,32,34,80,88,127,127,162,162,182,182,252,252,384
7003623979,0,0,1,4,5,5,5,5,9,12,19,22,24,26,28,29,32,33,35,35,37
35578280200,0,0,4,8,8,12,15,16,17,17,38,38,39,39,42,42,44,45,45,45,45
6701451567,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13,13,13,13
55157979000,7,7,7,10,10,10,10,10,32,56,67,71,104,109,132,159,178,195,211,268,280
6602330879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3
56250938600,0,0,0,0,0,0,0,0,24,24,48,48,48,48,60,60,60,60,60,60,60
6603433631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12
7006687185,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,35,35,35,41
6603812321,0,0,0,1,1,1,1,1,4,5,5,9,13,13,13,17,17,19,23,28,28
7101842876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
56268381700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4
6603612095,0,0,0,0,0,0,0,7,7,7,7,19,19,19,19,19,19,19,19,19,27
23488355900,0,0,0,0,0,0,0,0,0,0,0,7,7,7,19,19,19,19,19,19,19
55990493700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5
57204246533,0,0,0,0,0,0,0,9,9,12,12,12,12,12,12,12,12,12,12,12,12
7004286457,0,0,0,0,0,0,0,2,7,7,15,15,15,15,15,20,26,26,31,33,33
9234510400,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,56,56,56,56
7006448789,0,0,0,0,0,0,21,21,21,24,24,63,63,64,64,64,64,64,64,64,64
6603723940,1,3,5,5,11,12,17,22,23,24,27,33,38,43,49,51,54,57,65,69,77
35280747200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9
6602886698,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4
55996140200,4,4,4,7,18,31,33,34,43,47,80,99,101,104,106,109,111,122,124,124,124
6603913119,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4
57203710173,0,0,0,0,0,0,0,0,4,6,6,6,6,11,19,19,24,28,28,30,35
6602767436,1,1,1,1,1,1,3,7,8,8,9,11,13,16,16,18,18,19,22,29,30
55967793900,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,18,18,21,21,21
12800700600,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,10
6603714239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4
7004036250,0,0,0,0,0,0,0,0,0,0,22,22,22,22,22,22,22,22,22,22,22
7007048136,0,0,0,0,0,0,0,0,0,0,0,0,5,5,14,14,14,14,14,14,14
7006375157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
55888040400,0,0,0,0,0,0,0,0,18,18,29,29,29,29,29,29,29,29,29,29,29
7004240640,2,3,4,5,9,11,13,17,20,24,30,36,39,44,50,56,58,58,62,67,70
6603724305,0,6,6,6,6,8,8,8,8,12,17,19,19,19,19,19,19,19,19,19,19
14046735700,0,0,0,0,0,0,0,0,0,0,0,8,10,26,27,40,40,40,40,40,40
7003444700,0,0,0,0,0,0,16,16,77,77,98,98,107,107,107,107,107,107,107,107,107
23103475500,2,3,5,5,5,5,7,9,12,12,17,22,29,30,31,38,38,44,44,44,66
7003344899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
56264152100,3,4,4,4,5,10,11,16,17,18,21,21,21,22,25,26,30,35,41,41,44
6701525647,0,0,0,0,33,33,33,33,33,33,33,33,64,64,64,64,64,64,64,64,64
6701412405,0,0,0,0,0,3,3,3,3,3,3,3,3,5,5,6,6,6,10,10,13
7006557106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7
6602256545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5
6603395624,0,0,3,4,6,8,9,11,14,16,19,22,29,37,39,55,66,78,87,90,91
56017270000,0,0,0,0,0,0,0,0,0,10,13,22,26,26,32,32,34,34,49,49,55
6602492062,0,2,2,3,4,4,4,4,9,13,15,15,17,27,32,34,41,51,57,64,73
6602631118,0,0,0,0,0,0,0,0,12,12,12,18,18,50,50,50,59,59,62,75,75
7003932972,0,0,0,0,0,7,7,7,7,7,7,11,11,11,11,11,11,11,11,29,29
6701744269,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,9,9
56853284600,0,0,0,0,6,6,6,9,9,10,10,20,20,23,27,31,31,36,36,36,36
7003868485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9
6701818480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18
6603091377,0,0,0,5,5,5,5,5,5,8,8,8,11,45,45,45,45,45,45,45,45
35236647700,0,8,8,8,8,8,11,11,24,24,37,38,50,57,57,63,76,76,81,84,86
