ID,2011,2012,2013,2014,2015,2016,2017,2018
26326181300,5,5,5,5,5,5,5,5
21834460700,2,2,2,2,5,5,5,5
23992392000,3,3,3,9,20,23,34,47
56130684200,1,1,1,2,2,2,2,2
36470798500,2,2,2,2,2,2,2,2
7402390313,6,6,23,23,34,34,34,34
7801501276,2,3,3,3,3,3,3,3
54782929300,3,6,8,8,8,8,8,8
55365525700,3,4,4,4,4,4,4,4
36630293400,5,5,5,8,8,8,11,18
25655625500,5,5,5,6,6,6,6,6
54418970200,3,4,4,4,4,4,4,4
35147655600,2,2,2,2,2,2,2,2
57204251333,2,2,2,2,2,5,5,5
52063624000,2,2,2,7,7,7,7,7
55879881900,5,5,5,5,5,5,5,5
20436676300,10,10,10,10,10,10,10,10
6602777491,5,5,5,5,5,5,5,5
26664442500,4,4,4,4,7,7,7,7
18039116600,3,3,3,3,3,5,5,5
36604994100,11,20,20,20,20,20,20,20
7007101008,1,1,1,1,1,1,1,1
47561820800,1,1,2,2,2,2,2,2
23394147700,1,1,1,1,1,1,1,1
35179399600,1,1,1,1,1,1,4,4
6601978855,6,6,6,6,6,6,6,6
37014450100,2,2,2,2,2,2,2,2
55037267000,5,5,6,6,6,6,6,6
55243567700,27,27,43,43,43,43,43,43
9842095300,23,23,23,23,23,23,23,23
36470629500,4,4,4,4,4,4,4,4
7005019635,5,5,5,5,5,5,5,5
7101999997,1,1,1,1,1,1,1,1
6603604335,21,21,21,21,21,21,21,21
56264752700,2,2,2,2,2,2,2,2
57204338494,2,2,9,9,9,9,9,9
53866336800,4,4,4,4,4,4,4,4
35114206300,4,4,4,4,4,4,4,4
7202272125,6,6,6,6,6,6,6,6
6603385975,19,33,33,33,33,33,33,33
9278228200,7,7,7,7,7,7,7,7
6602651468,1,6,6,6,9,9,9,31
37019846000,3,6,6,6,6,6,6,6
22034668700,7,10,10,10,15,15,20,23
6603406483,7,20,24,34,44,44,46,46
55545555900,7,7,7,7,7,7,7,7
8944381100,6,7,7,7,7,10,13,15
54685089900,6,6,6,6,6,6,6,6
56229122400,9,9,9,9,9,9,9,9
55994382800,16,16,16,16,16,16,16,16
56221193200,3,3,3,3,3,3,3,3
57198487436,9,9,9,19,19,19,19,19
55377127000,3,3,3,3,3,3,3,3
8227179100,5,5,5,5,11,11,11,11
25647614400,1,1,1,1,1,1,1,1
7004283739,31,31,31,31,31,31,31,31
9435414200,5,5,5,5,106,106,106,106
54784727400,7,9,9,9,9,9,9,9
15044594600,8,8,8,12,12,12,12,12
36623560000,4,7,7,8,8,8,8,8
55332747500,4,4,4,4,4,4,4,4
23994216000,3,3,3,3,3,3,3,3
57197623278,5,5,5,5,5,5,5,5
24167042300,8,8,8,8,8,8,8,21
7401671525,8,8,8,8,8,8,8,8
7102450485,25,45,45,45,45,45,45,45
24466625100,7,7,7,7,7,7,7,7
13609434300,3,3,3,3,3,3,3,3
25932354300,5,5,6,6,6,6,6,6
49861227900,5,5,6,6,6,6,6,6
55364554500,2,2,2,2,2,2,2,6
57198286325,4,4,4,4,4,4,4,4
53879853400,4,4,9,9,9,9,9,9
55351571300,3,3,3,3,3,3,3,3
55290799900,2,2,3,3,3,3,3,3
12042097500,8,8,8,8,8,8,8,8
26423751700,2,5,5,5,5,5,5,5
7004401312,6,6,6,6,6,6,6,6
37029140600,9,9,9,9,9,9,9,9
51261004400,9,9,9,9,9,9,9,16
23111927200,3,3,3,3,3,3,5,11
23668851400,2,2,2,2,2,2,2,2
22135401000,12,31,34,47,51,54,54,67
55890911000,3,3,3,3,3,3,3,3
49964684100,4,4,4,4,4,4,4,4
54279354400,2,2,3,8,11,11,12,12
52365240600,2,2,2,2,2,2,2,2
7005674149,2,2,2,2,2,2,2,2
57205013279,4,9,14,16,19,22,30,33
36801266700,3,3,4,4,4,4,4,4
54954314500,2,2,2,2,2,3,3,3
50861918300,1,2,2,2,2,6,6,6
6701620580,31,31,31,31,31,31,31,31
7005350867,1,1,1,4,4,4,4,4
54397650200,4,4,20,24,25,25,25,25
44461016500,6,6,6,6,6,6,6,6
36719811900,4,4,4,5,5,5,5,5
35914730700,6,6,6,6,6,6,6,6
23006238400,5,5,5,5,5,5,5,5
7005367847,4,4,4,4,4,4,4,4
8684899100,1,4,4,4,4,4,4,4
57195736387,2,2,4,4,4,5,5,5
35911137100,3,3,3,3,3,3,3,3
6602877914,5,5,5,5,5,5,5,5
35218669700,3,3,3,3,3,3,3,3
50262394700,4,4,6,6,6,6,6,6
7004246625,13,13,13,13,13,13,13,13
7004640909,34,35,35,35,35,35,35,35
56219133500,2,2,2,2,2,2,2,2
35549610800,7,7,7,7,7,19,19,19
41761306000,6,6,9,11,11,11,20,20
7005948509,3,3,3,3,3,3,3,3
54408408300,5,5,5,5,5,5,5,5
39960920400,10,10,10,10,10,10,10,10
16176698800,3,3,3,3,3,3,3,3
26664445300,4,4,4,4,4,4,7,14
35203239100,6,6,6,6,6,6,10,10
53880698700,4,11,11,11,11,11,11,11
54387180500,3,3,3,3,3,5,7,7
55414263600,4,6,10,10,10,10,10,10
54782256100,3,3,3,17,17,17,17,17
7003525284,8,10,10,10,10,12,12,12
38662366200,3,3,4,4,4,4,4,4
22986910200,13,25,25,25,25,25,25,25
8213202100,6,6,6,6,6,6,6,6
22936171000,1,3,3,3,3,4,4,4
35510519500,21,30,36,37,46,46,46,46
57199208151,9,9,9,9,9,9,9,9
24438065100,5,5,5,5,6,11,11,11
6508309923,1,1,2,2,3,3,3,3
22233631200,4,4,4,4,4,4,4,4
35932001900,3,3,3,3,6,6,6,6
36703884500,18,18,18,18,18,18,18,18
35318766200,18,18,18,18,18,18,18,18
56021708900,3,3,3,3,3,3,6,6
9240440400,3,4,4,7,7,7,7,7
35076902200,2,2,2,5,9,9,11,13
7004859994,5,5,5,5,5,5,5,5
54420469800,3,4,4,4,6,6,6,6
55989034700,3,3,3,3,3,3,3,3
50861582000,4,4,4,4,4,10,10,20
6602935643,4,4,5,5,5,5,5,5
36627499100,5,5,5,5,5,5,5,5
52063134100,6,6,6,6,6,6,6,6
54684373900,2,3,3,3,6,6,8,8
36342837600,5,5,5,10,10,10,16,16
8950100000,4,4,7,7,7,7,10,10
55391395500,2,2,2,2,2,2,2,2
56131633400,5,5,5,6,6,6,6,6
54917581400,1,2,2,2,2,2,2,2
56839604800,3,3,3,3,3,3,3,3
7003771208,3,3,3,3,3,3,3,3
35253501500,3,3,3,3,3,3,3,3
55875407100,8,10,15,35,44,74,76,113
23977452100,10,10,10,10,10,10,10,10
48861364100,4,4,4,6,6,6,6,6
26655966100,13,17,17,17,17,17,17,17
37085117000,4,4,4,4,4,11,11,11
26031000400,6,6,6,6,6,6,10,10
55937393400,3,3,3,3,3,3,3,3
39862186800,4,4,4,4,4,4,4,4
55129240500,5,5,5,5,5,6,6,6
56688395000,3,3,3,4,4,4,4,4
54898040100,3,5,18,18,18,18,18,18
6602751470,1,1,1,1,1,1,1,1
8084702300,26,26,26,26,26,75,75,75
23466949700,7,9,11,11,11,11,11,11
36545188000,2,2,2,2,2,2,2,2
6602663280,3,3,3,3,3,3,25,25
36439147500,5,12,12,12,15,15,18,18
57203081696,1,4,4,4,4,17,17,17
6507765207,8,8,8,8,8,8,8,8
36706694100,5,5,5,5,5,5,19,19
26039562300,17,17,17,17,17,17,17,17
55208388000,2,2,2,2,7,7,10,10
54398330700,4,4,4,4,10,10,17,19
24780073200,10,10,10,10,13,20,20,20
8587492100,3,3,3,3,3,3,3,3
57197639594,13,25,25,25,25,25,25,25
35609181100,2,3,3,3,3,3,3,3
42761951300,2,2,5,5,11,14,14,14
37063659600,3,3,3,3,3,3,3,3
7201663558,3,3,9,9,9,9,9,9
54782448600,2,2,2,2,2,2,2,2
44260904300,2,3,3,4,5,6,7,7
49061486300,3,3,3,3,5,6,6,11
54685294700,17,20,20,20,20,20,20,20
36859280200,2,2,5,23,23,30,31,31
55263489300,2,3,3,4,4,4,4,10
35515050000,8,8,31,31,31,31,31,31
6603282311,2,2,2,2,2,2,2,2
49360917300,5,6,14,14,22,26,30,39
6603827686,10,10,10,10,10,15,15,15
6504590352,6,6,9,9,9,9,9,9
22937296100,8,8,8,8,8,8,8,8
35093318100,3,3,3,3,3,3,3,3
37062186000,2,2,2,3,3,3,3,3
7202484338,21,21,21,21,21,21,21,21
54580710000,2,3,3,3,3,3,3,3
26635447400,5,10,10,10,10,10,10,10
51061356200,3,3,3,6,8,8,8,10
55355244100,3,3,4,4,4,4,4,4
55264808400,2,3,3,3,3,3,7,7
50860968300,4,4,4,4,5,5,5,5
6602153049,11,11,11,16,17,23,23,24
37561661400,1,1,1,1,1,1,1,1
24825505400,2,3,5,5,5,6,8,8
39362121400,4,4,4,4,4,4,4,4
52464608800,8,8,8,8,8,8,8,8
12345377700,6,6,6,6,11,13,33,42
36859801700,1,1,1,1,1,1,1,1
6701436505,4,4,4,4,4,4,4,4
6602662061,5,5,5,5,5,5,5,5
57199803686,12,12,12,12,12,12,12,12
57190274074,2,2,3,3,3,5,5,23
