Unnamed: 0,ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
20,11738782000,2,2,2,2,2,2,2,2,2,2010
46,36816324700,3,3,3,3,8,9,12,12,12,2010
70,36453712700,5,5,5,5,5,5,5,5,5,2010
117,55880050400,2,2,2,15,15,15,34,34,34,2010
133,56835894200,3,26,26,28,28,28,28,28,28,2010
140,23567554100,3,5,5,5,5,5,8,8,8,2010
160,7004173174,2,11,15,15,15,17,17,17,22,2010
205,35773795200,6,6,6,6,6,6,6,6,6,2010
227,56417168500,5,5,7,7,8,9,9,9,9,2010
292,55629643800,16,18,18,18,18,18,18,18,18,2010
336,57196716304,4,4,4,4,4,4,4,4,4,2010
349,54397760400,3,3,3,3,6,6,6,6,6,2010
363,36060113200,6,6,6,7,7,7,7,7,7,2010
384,36679991000,4,5,5,5,5,5,5,5,5,2010
387,7202920765,33,36,40,40,48,48,102,102,135,2010
404,37061485200,8,12,12,23,23,24,25,25,25,2010
455,15760500900,22,22,22,29,40,40,40,56,56,2010
472,37074222900,4,6,6,6,8,9,9,9,12,2010
520,36239540900,9,9,9,9,9,9,9,9,9,2010
577,36704068100,6,6,9,9,21,25,25,30,30,2010
599,55256491700,1,3,5,8,8,8,8,10,12,2010
630,24921132200,9,43,44,58,58,68,83,83,83,2010
653,36184933300,2,2,2,2,2,2,2,2,2,2010
710,24331617300,6,6,6,6,6,6,16,16,16,2010
736,36622910000,5,5,5,5,5,5,5,5,5,2010
742,9635978700,4,4,4,4,4,4,4,4,4,2010
844,57190492621,1,2,2,2,2,2,2,2,2,2010
860,24377090800,3,3,3,8,8,8,8,8,8,2010
869,6506341607,4,13,28,46,46,52,70,82,82,2010
913,56022706200,3,34,34,34,34,34,34,34,34,2010
996,36469843500,5,7,7,9,9,9,9,11,11,2010
1002,7003463832,14,14,14,14,14,14,14,14,14,2010
1017,24733735600,27,27,27,27,62,62,62,62,62,2010
1095,8079328500,7,7,7,7,7,7,15,15,15,2010
1111,35117526000,12,12,17,17,17,17,20,25,33,2010
1117,15060619700,3,3,3,3,3,3,3,3,3,2010
1124,6603316510,5,5,5,10,14,19,19,20,20,2010
1138,36622219400,2,2,2,2,2,2,6,6,10,2010
1168,36457213500,3,4,4,4,9,10,10,10,10,2010
1170,6506078081,9,9,12,12,12,12,12,12,12,2010
1184,7004567193,15,15,34,34,36,36,77,77,95,2010
1186,36782173700,6,10,11,11,12,14,14,18,18,2010
1193,36466169300,2,6,10,10,10,10,10,10,10,2010
1199,24758900800,4,4,4,18,38,38,38,72,93,2010
1207,56243911300,2,2,2,2,2,2,2,2,2,2010
1241,25926936600,2,2,2,2,2,2,2,2,2,2010
1246,36536792400,3,11,11,16,16,24,24,24,24,2010
1271,24479883500,6,8,8,8,10,12,15,16,20,2010
1297,36191106500,3,3,3,14,22,22,22,22,22,2010
1299,6701402984,5,5,5,12,12,12,12,15,15,2010
1335,39162066800,2,2,2,2,2,2,2,2,2,2010
1397,36660067900,7,9,16,16,16,16,16,16,16,2010
1484,55250839700,2,2,2,2,2,2,2,2,2,2010
1524,36237927200,3,3,3,3,7,8,8,8,8,2010
1538,36459994400,3,3,4,4,4,4,5,5,5,2010
1549,56273983000,19,19,19,19,19,19,19,19,19,2010
1550,15832159300,26,26,26,26,37,37,41,42,42,2010
1581,7004013978,50,50,50,50,50,50,50,50,50,2010
1591,56568050500,1,4,6,6,6,6,6,6,6,2010
1593,7003788378,11,11,11,11,15,15,15,22,22,2010
1609,25422147700,4,5,5,5,5,5,5,5,5,2010
1656,36554143400,2,2,2,2,2,2,2,2,2,2010
1688,57197122558,2,3,3,3,3,3,3,3,3,2010
1697,6701616786,5,5,11,15,15,19,19,19,20,2010
1703,6506044748,4,9,10,22,22,33,41,44,52,2010
1707,37002487100,3,3,3,3,3,3,3,3,3,2010
1745,55521612300,11,11,11,11,20,21,21,21,22,2010
1749,56369666300,14,14,14,14,14,14,14,14,14,2010
1797,35173057100,10,10,10,10,10,10,10,10,10,2010
1911,35239938700,22,22,36,36,41,85,90,90,90,2010
1916,35728045300,3,3,3,3,3,5,8,8,8,2010
1944,24605682200,3,3,3,3,9,13,13,16,16,2010
1953,36705721300,2,2,2,2,2,2,2,2,2,2010
1983,55914469100,7,12,12,12,12,12,12,12,12,2010
2018,25653702300,13,16,16,16,16,16,16,16,16,2010
2026,36681934700,5,5,8,8,8,8,8,8,8,2010
2035,36015081100,4,4,4,4,4,4,4,4,4,2010
2061,35230983700,4,4,4,4,8,8,8,10,14,2010
2074,21933245700,4,4,4,4,4,4,4,4,4,2010
2113,36614302200,10,10,23,23,40,40,106,106,199,2010
2117,23007964200,9,9,9,10,10,10,10,13,13,2010
2118,24824609300,2,3,3,3,3,3,3,3,3,2010
2122,6701840343,1,1,1,1,1,1,1,1,1,2010
2155,6603756462,2,2,2,2,2,2,2,2,2,2010
2177,26665350700,3,3,5,5,8,8,8,16,16,2010
2188,14035425800,6,13,14,14,14,15,15,15,15,2010
2199,36809803300,6,6,6,16,16,16,16,16,16,2010
2229,8656410900,3,3,3,3,3,3,3,3,3,2010
2280,57188853867,3,3,3,5,6,14,14,14,14,2010
2292,24466485200,4,4,4,4,4,4,4,4,4,2010
