ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
35429592600,31,31,31,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
7404178704,2,2,2,2,2,2,2,2,2,2,11,11,11,11,11,11,11,11
57077935000,2,2,2,7,11,13,16,16,19,22,22,22,22,22,22,22,22,22
6701880896,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35613169000,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10
6602815632,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8
6506151865,4,4,4,4,4,8,8,8,8,8,8,11,11,13,13,13,13,13
56210597200,8,8,8,18,22,22,22,22,25,25,25,25,35,35,47,57,71,71
55926167700,1,2,2,2,2,2,2,2,17,54,54,58,58,58,58,58,58,58
7005423021,7,7,7,7,7,7,7,14,14,14,14,14,14,20,20,20,20,20
55998892100,2,2,2,2,2,2,5,5,5,5,8,8,8,8,8,8,8,9
7003734036,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,13,13
57193899277,4,4,4,4,4,4,6,6,6,9,9,9,16,16,16,16,16,16
7102588451,2,2,2,2,2,2,2,6,6,21,21,21,22,25,25,29,29,29
7403362669,2,2,2,2,2,3,3,6,7,7,7,8,8,10,10,10,10,10
7006431464,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7004278527,2,2,2,2,2,4,4,7,7,7,7,7,7,7,7,7,7,7
6505996325,4,4,8,8,8,24,24,24,24,24,24,35,61,61,61,61,61,97
36051409500,10,13,13,61,62,70,71,93,93,93,103,103,110,110,110,110,110,110
7006783243,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
23010554900,5,5,7,7,9,11,19,34,39,40,42,49,53,55,73,84,100,105
23393787800,18,19,19,19,19,22,24,24,26,29,34,37,37,41,43,45,51,57
7003581692,8,8,8,16,17,20,20,20,20,20,20,25,33,33,46,46,46,49
6602414256,5,5,5,5,5,5,8,9,9,12,12,12,12,12,12,14,14,14
56632714400,3,3,3,3,3,3,3,3,3,3,5,8,8,8,8,8,8,8
7003353593,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
35513563100,9,9,14,14,14,14,18,23,29,36,36,37,37,37,37,37,46,71
6507822158,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7
7005656061,6,43,43,43,43,67,67,105,105,105,105,120,120,120,122,125,125,125
7403301310,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
6507210641,2,2,5,5,5,5,5,5,11,20,30,30,34,42,47,47,53,53
7005594155,14,27,30,30,30,37,45,45,45,45,45,45,47,49,49,49,49,50
7005061834,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6603433755,2,2,3,7,7,7,8,8,10,15,15,18,18,18,21,25,25,25
24448662200,2,2,3,3,3,3,4,7,8,8,8,15,19,19,19,24,25,27
24449380400,1,1,1,1,1,1,1,6,7,7,7,8,8,12,12,12,16,16
6701636317,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7006120950,31,31,31,35,35,35,69,69,90,90,103,103,112,112,112,112,112,112
22941949000,1,1,1,1,2,3,4,4,4,4,5,5,6,6,6,7,7,7
56021474200,2,2,4,4,4,4,4,6,7,9,9,10,10,13,15,15,15,19
56839777300,10,10,10,18,37,37,37,42,47,47,47,47,53,53,53,53,53,57
7801400715,4,9,10,14,27,27,27,35,41,42,45,45,67,67,70,70,70,70
6507707260,1,1,2,2,2,2,2,2,6,6,6,13,14,14,14,14,17,17
7102076700,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7102599998,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,8,8,8
7004308954,6,6,6,6,7,14,17,17,24,24,30,33,40,42,53,53,53,70
6701409422,3,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,9,9
7004119947,10,12,12,12,15,15,22,24,24,30,30,30,30,30,30,39,39,40
23768259900,6,6,6,6,6,6,6,6,6,37,37,41,41,45,50,57,76,76
8971120400,5,5,5,5,7,9,11,14,17,20,22,24,24,31,33,33,37,40
35832575800,1,1,2,2,2,5,6,6,8,8,10,10,10,12,12,14,14,14
6701733723,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
