Unnamed: 0,ID,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
28,14630284000,36,46,46,51,51,51,51,51,51,51,51,51,51,2006
61,55885827600,2,2,2,2,2,2,2,2,2,2,10,10,10,2006
78,25724071900,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
117,24766310500,4,4,5,5,6,11,16,16,16,16,16,19,28,2006
124,14832176000,10,10,10,10,10,10,10,10,10,10,10,10,10,2006
150,55663177200,6,6,6,6,6,6,6,6,6,6,6,6,6,2006
153,14041529400,3,3,3,4,7,7,8,8,10,10,16,16,22,2006
180,7005446642,1,1,1,1,1,1,1,1,1,1,1,1,1,2006
193,6602194308,1,1,1,1,1,1,1,1,1,1,1,1,1,2006
241,7006807059,20,20,20,20,20,20,20,20,20,35,35,35,35,2006
249,23491998900,3,3,6,6,6,6,6,6,6,6,6,6,6,2006
256,6506090140,5,5,5,5,5,5,5,5,5,5,5,5,5,2006
293,7004477118,3,6,12,12,12,12,12,12,12,12,17,17,17,2006
374,9533160300,3,3,3,3,3,3,3,3,3,3,3,3,3,2006
383,7005980187,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
391,15925154000,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
393,15044954200,3,3,3,3,3,3,3,3,3,5,5,5,5,2006
431,24725214300,5,5,5,5,20,20,20,20,20,20,20,20,20,2006
438,14029656200,5,7,9,13,20,20,21,21,21,25,25,25,25,2006
472,7801415985,5,8,8,11,11,11,11,11,11,14,14,14,14,2006
501,6603723384,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
584,14821793100,65,65,65,65,65,65,65,65,65,65,65,76,76,2006
637,13104737800,9,9,14,14,14,14,14,14,14,14,14,14,14,2006
649,14035100800,2,2,2,2,2,2,2,4,11,11,16,19,23,2006
658,56307908100,15,15,15,15,15,15,15,15,15,15,15,15,15,2006
670,16032874200,2,2,2,2,2,2,2,2,2,2,2,4,4,2006
704,22985083500,6,8,8,8,13,16,16,18,18,18,18,20,22,2006
727,55926212600,4,4,4,11,11,40,40,48,48,48,48,48,48,2006
738,6701740560,1,1,1,1,1,1,1,1,1,3,3,6,8,2006
755,15835176100,4,4,4,4,4,4,4,4,6,6,6,47,47,2006
849,14630524700,17,17,17,17,17,17,17,17,17,17,17,17,17,2006
861,56821087600,5,5,5,5,5,5,5,5,5,5,5,5,5,2006
891,12242880500,1,1,1,1,1,1,1,1,1,1,1,1,1,2006
899,16174785200,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
908,7005140378,6,6,6,6,6,7,11,11,11,11,11,11,11,2006
928,35091064100,2,2,2,2,2,2,2,2,3,3,3,3,3,2006
942,14031122700,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
949,56960442100,1,1,1,1,1,1,1,1,1,1,1,1,1,2006
952,7006166884,7,7,7,7,7,7,7,7,7,7,7,7,7,2006
963,55324593200,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
965,15754181000,2,3,4,4,4,7,7,7,7,7,7,7,7,2006
974,55489301500,7,7,7,7,7,7,7,7,7,7,7,7,7,2006
982,23089081700,2,5,8,8,8,8,8,8,8,8,8,8,8,2006
1000,25634054000,1,1,3,3,3,3,3,3,3,3,3,3,3,2006
1003,35280489500,7,7,7,7,7,7,13,13,13,13,13,20,20,2006
1034,35550506900,8,8,8,8,8,8,8,8,8,8,8,8,8,2006
1054,6506932379,2,2,2,2,2,2,2,2,2,2,7,12,12,2006
1109,8252143000,3,4,6,7,9,10,11,22,34,34,34,34,34,2006
1151,14034501600,3,3,3,3,3,7,9,9,9,9,9,9,9,2006
1198,15041968800,1,2,2,2,2,2,2,2,2,2,2,2,2,2006
1233,13906968300,6,6,6,6,9,9,9,12,12,12,15,17,27,2006
1252,6506651931,2,2,5,5,5,5,5,5,5,8,8,8,8,2006
1260,7004674392,3,3,3,3,3,3,3,3,3,3,3,3,3,2006
1276,8886329100,2,2,4,4,6,6,6,6,6,6,6,6,6,2006
1307,14824534600,59,59,59,59,59,59,59,59,59,59,59,59,59,2006
1322,14521406500,6,6,6,6,6,6,6,6,6,6,6,6,6,2006
1356,57203044284,19,19,19,19,19,19,19,19,31,31,31,31,31,2006
1369,6602544484,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
1435,6506397347,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
1447,13205173700,1,1,1,1,1,1,1,1,1,1,1,1,1,2006
1509,15020848200,3,4,6,6,6,6,6,6,6,6,6,6,6,2006
1579,57202899613,1,1,1,1,1,1,1,1,1,1,1,1,1,2006
1614,23767097400,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
1615,36185069000,2,2,2,2,3,3,3,3,3,3,3,3,3,2006
1619,18041110300,8,8,8,8,8,8,8,8,8,8,8,8,8,2006
1657,7005574339,3,3,3,3,6,6,6,6,6,6,6,6,6,2006
1692,7402283467,6,6,6,6,6,6,6,6,6,14,14,18,38,2006
1725,14629987400,1,1,1,1,1,1,1,1,1,1,1,1,1,2006
