Unnamed: 0,ID,2015,2016,2017,2018,start_year
3,8642393600,7,7,7,7,2015
4,55873955900,8,8,8,8,2015
5,49862174900,14,14,14,14,2015
15,55376931500,73,73,73,73,2015
20,6506195434,6,6,6,6,2015
22,55719005700,7,7,7,7,2015
23,35444766700,11,11,11,11,2015
36,56781292200,1,1,1,1,2015
44,34870540900,7,7,7,7,2015
53,56411842000,2,2,2,2,2015
54,23397604200,8,8,8,8,2015
95,56002303200,7,7,7,7,2015
141,56513476200,9,9,9,9,2015
158,56939340300,2,3,3,3,2015
159,57192293609,3,3,3,3,2015
163,56114762600,10,10,10,10,2015
167,16309784700,11,11,11,11,2015
174,22236154700,5,5,5,5,2015
175,7003350807,16,16,16,16,2015
181,35318720900,3,3,3,3,2015
197,15070429600,2,2,2,2,2015
237,7004271887,19,19,19,19,2015
271,55961141700,12,12,12,12,2015
307,36003624100,16,22,22,22,2015
317,36805685400,4,4,4,4,2015
349,27867811000,14,14,14,14,2015
350,55974660200,10,10,10,10,2015
377,16679222000,10,10,12,23,2015
386,57203094083,83,83,83,83,2015
437,57188748169,5,9,9,9,2015
444,57189090439,3,3,3,3,2015
448,26531594700,3,3,3,3,2015
453,56968037900,1,1,1,1,2015
474,57188725838,13,13,13,13,2015
480,6701774097,3,3,3,3,2015
481,56190106200,4,4,4,4,2015
489,7402136006,4,4,4,4,2015
490,56517715300,4,5,7,19,2015
513,56594481000,3,3,3,3,2015
521,55803668500,1,1,1,1,2015
526,9245337700,19,19,19,19,2015
539,35965781000,9,9,9,9,2015
542,12784775300,1,1,3,4,2015
592,55440311600,3,3,3,3,2015
603,56639282800,28,28,28,28,2015
613,55949428900,6,6,6,6,2015
630,55973076900,3,5,5,5,2015
640,56735634200,1,1,1,1,2015
676,56203572900,9,9,9,9,2015
702,56822668900,6,6,6,6,2015
717,57188966321,7,7,7,7,2015
721,34870116100,59,70,70,70,2015
734,57192808992,4,4,4,4,2015
742,57196873890,28,28,37,37,2015
745,56156269900,7,7,7,7,2015
779,6602911751,7,7,7,7,2015
793,57035243200,2,2,2,2,2015
841,56682052900,2,2,2,2,2015
863,55143899600,1,1,1,1,2015
868,57023907900,6,6,6,6,2015
902,55323058900,3,3,3,17,2015
913,57190068018,8,8,8,8,2015
923,24528388600,2,2,2,2,2015
924,7202257193,4,4,4,4,2015
938,56986641200,5,5,5,5,2015
941,8704767900,7,7,7,7,2015
990,54790605200,13,18,18,19,2015
998,56960580700,5,5,5,5,2015
1010,26424457400,56,56,63,67,2015
1015,56100634400,16,16,16,16,2015
1028,56463349600,25,25,25,25,2015
1037,56769182700,7,7,7,7,2015
1049,56779730100,3,4,4,4,2015
1052,6603095657,3,3,3,3,2015
1077,35607238200,4,4,4,4,2015
1079,57016833800,82,82,82,82,2015
1096,15765290300,2,2,2,2,2015
1113,55977742700,56,56,56,56,2015
1115,14027991800,7,7,7,7,2015
1132,56879182000,2,2,4,4,2015
1147,56393857000,9,11,12,15,2015
1174,57188962583,4,4,4,4,2015
1186,34168027600,5,5,9,9,2015
1190,23501049900,4,4,4,4,2015
1199,16229169400,10,10,10,10,2015
1214,56890365100,3,3,4,4,2015
1258,7004832773,11,17,17,17,2015
1261,6602838973,1,1,1,1,2015
1277,56529715900,2,2,2,2,2015
1299,7003289125,5,5,5,5,2015
1329,56879056100,6,11,11,11,2015
1330,55944810600,2,2,2,2,2015
1341,27567563000,7,7,7,7,2015
1351,56709343000,13,13,25,25,2015
