Unnamed: 0,ID,2011,2012,2013,2014,2015,2016,2017,2018,start_year
2364,25932354300,5,5,6,6,6,6,6,6,2011
2374,49861227900,5,5,6,6,6,6,6,6,2011
2398,42861031600,5,5,5,5,5,5,5,5,2011
2399,55408018500,3,3,3,3,3,3,3,3,2011
2422,35789654300,8,8,8,8,8,8,8,8,2011
2466,52663141600,6,6,6,6,6,6,6,6,2011
2482,55364554500,2,2,2,2,2,2,2,6,2011
2486,50862036300,2,2,2,2,2,2,2,2,2011
2490,49962436100,3,3,3,3,3,3,3,3,2011
2498,48361077400,3,3,3,3,3,3,3,3,2011
2504,57198286325,4,4,4,4,4,4,4,4,2011
2526,53879853400,4,4,9,9,9,9,9,9,2011
2536,41461553900,3,3,3,3,3,3,3,3,2011
2544,55351571300,3,3,3,3,3,3,3,3,2011
2558,57202700125,2,2,2,2,2,2,2,2,2011
2579,7005556216,4,4,4,4,4,4,4,4,2011
2581,55290799900,2,2,3,3,3,3,3,3,2011
2588,12042097500,8,8,8,8,8,8,8,8,2011
2636,26423751700,2,5,5,5,5,5,5,5,2011
2637,7004401312,6,6,6,6,6,6,6,6,2011
2719,37029140600,9,9,9,9,9,9,9,9,2011
2736,51261004400,9,9,9,9,9,9,9,16,2011
2740,23111927200,3,3,3,3,3,3,5,11,2011
2752,23668851400,2,2,2,2,2,2,2,2,2011
2759,56359185800,4,4,4,4,4,4,4,4,2011
2764,57196994175,9,9,9,9,9,9,9,9,2011
2772,22135401000,12,31,34,47,51,54,54,67,2011
2816,55890911000,3,3,3,3,3,3,3,3,2011
2825,49964684100,4,4,4,4,4,4,4,4,2011
2834,54783392500,4,4,4,4,4,4,4,4,2011
2912,54279354400,2,2,3,8,11,11,12,12,2011
2982,52365240600,2,2,2,2,2,2,2,2,2011
3005,7005674149,2,2,2,2,2,2,2,2,2011
3009,57205013279,4,9,14,16,19,22,30,33,2011
3011,36801266700,3,3,4,4,4,4,4,4,2011
3022,54954314500,2,2,2,2,2,3,3,3,2011
3027,50861918300,1,2,2,2,2,6,6,6,2011
3029,54390851400,5,5,5,5,5,5,5,5,2011
3105,8521225800,14,14,14,14,14,14,14,14,2011
3120,6701620580,31,31,31,31,31,31,31,31,2011
3124,7005350867,1,1,1,4,4,4,4,4,2011
3133,54397650200,4,4,20,24,25,25,25,25,2011
3136,10041139900,19,19,19,19,19,19,19,19,2011
