Unnamed: 0,ID,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
143,16463765800,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1999
172,8911201600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1999
183,6505974552,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1999
309,6507194991,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1999
310,6506004127,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1999
464,57200501857,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1999
527,7005382308,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1999
541,55554012200,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,8,8,11,11,1999
574,6603583180,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1999
579,55878947500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1999
800,8576012300,3,3,6,6,6,10,11,15,19,21,31,40,47,57,60,61,67,77,81,82,1999
801,7801544966,3,3,3,3,5,5,9,11,11,14,14,16,16,18,23,23,23,25,25,30,1999
812,7006378321,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1999
825,6506729594,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1999
826,7201370800,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,1999
937,7003844549,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1999
1007,57135797100,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1999
1090,7004069113,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1999
1137,56973349900,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1999
1474,7004890434,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1999
1488,26660412400,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1999
1592,8682319500,3,3,3,3,3,4,4,4,5,5,5,5,11,11,11,11,12,12,14,14,1999
1655,56259465500,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1999
1743,36798645300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1999
1856,57203235311,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1999
1999,57194980957,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1999
2020,35564240000,1,1,2,2,2,2,2,3,3,11,13,15,17,19,19,19,20,20,20,20,1999
2077,36198704100,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1999
2079,6701503863,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1999
