Unnamed: 0,ID,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
5604,6701515050,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2005
5764,8541552200,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2005
5869,24068742300,15,15,15,33,37,37,37,42,42,42,42,42,42,42,2005
5933,7103022352,10,14,19,19,20,22,26,34,37,47,52,54,55,58,2005
5988,22937208100,3,7,9,9,10,10,12,12,17,24,24,24,27,27,2005
6065,7005687595,1,1,1,1,3,3,3,3,3,3,3,3,5,5,2005
6157,56213844900,2,5,5,8,9,13,13,17,17,18,27,42,42,45,2005
6240,35069374200,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2005
6272,14919301400,1,3,3,5,5,5,6,6,8,10,13,13,14,14,2005
6288,56094954000,5,5,5,5,5,14,16,17,19,23,23,23,27,31,2005
6360,55864518100,3,3,5,5,5,5,5,5,5,5,5,5,5,5,2005
6406,36606353800,2,5,7,7,8,17,17,29,30,35,35,45,47,47,2005
6413,6602726458,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
6447,19640812000,2,2,2,2,2,2,4,4,9,14,18,19,21,21,2005
6492,8662152200,3,4,4,4,4,4,4,4,9,12,12,14,14,17,2005
6588,8282054700,4,4,4,4,7,9,19,24,26,29,29,31,31,34,2005
6613,23974116800,8,10,12,14,14,16,16,17,17,18,20,20,21,21,2005
6629,8870199000,4,4,4,5,5,8,18,21,22,33,33,38,43,44,2005
6960,6507276918,7,7,7,7,7,7,7,7,25,25,25,25,25,25,2005
6966,14031083100,4,4,7,8,8,8,9,9,11,13,14,17,17,21,2005
6967,6603199777,4,4,4,4,4,6,6,6,6,6,6,6,6,9,2005
7012,7005009437,10,12,12,12,18,18,18,18,18,18,18,18,18,18,2005
7029,6701715110,5,9,9,17,17,31,39,39,39,39,39,39,39,39,2005
7126,7006352995,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
7141,6602854427,4,4,6,6,6,7,7,7,7,53,53,53,53,53,2005
7178,24476241600,4,5,5,5,5,5,13,13,16,16,16,16,16,16,2005
7216,6602432135,2,2,2,2,2,2,2,2,2,2,2,2,7,7,2005
7282,9638930800,5,8,11,14,14,15,16,20,21,22,24,24,26,28,2005
7348,6508038955,22,22,22,22,22,22,22,22,22,34,34,34,34,34,2005
7401,6602525978,5,5,5,5,5,5,5,5,15,15,15,15,19,19,2005
7413,24824066400,2,2,2,8,13,15,15,17,18,18,20,20,20,23,2005
7456,36763946500,1,1,1,6,6,10,10,10,14,14,16,21,21,29,2005
7543,22033780200,2,2,2,7,12,18,21,27,35,64,78,84,85,88,2005
7586,9336890100,4,4,4,4,4,4,4,4,4,8,8,8,8,8,2005
7606,7102271565,9,9,9,9,9,54,54,71,80,86,86,86,104,104,2005
7610,7006638913,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
7618,10439489800,1,2,2,2,2,2,12,14,14,14,14,14,14,14,2005
7687,6602511326,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2005
7778,55902740300,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2005
7857,6506606989,4,4,5,7,10,10,39,39,39,44,53,53,53,53,2005
7858,15069791500,4,4,5,5,5,5,7,7,7,17,17,17,17,20,2005
7865,25929573800,1,1,2,3,3,5,6,9,11,11,14,14,14,21,2005
7912,36797366300,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
8183,55682557800,2,2,2,2,2,2,2,2,2,2,2,8,8,8,2005
8199,7006466160,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2005
8334,8665882700,5,5,6,10,15,20,20,20,21,21,29,35,35,35,2005
8368,6601968557,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
8529,11840528500,2,2,2,2,2,2,5,7,17,33,41,47,77,80,2005
8536,16507541500,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2005
8548,35175222400,2,4,4,4,8,13,18,19,19,26,32,41,54,66,2005
8692,13008199700,3,3,4,5,5,7,11,13,16,25,26,34,44,49,2005
8696,8445493100,1,1,2,2,5,6,15,15,15,20,26,26,27,27,2005
8699,56261623200,3,3,4,7,7,12,12,22,24,25,28,29,34,38,2005
8707,23391348700,2,2,2,6,9,9,9,11,12,14,14,14,14,14,2005
8714,7005293834,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
8789,6507013780,1,1,1,3,3,3,4,4,4,5,5,5,5,5,2005
8877,7102821911,2,2,2,2,7,7,9,10,14,14,15,15,15,15,2005
8884,6507548793,3,10,12,21,21,37,37,50,50,50,50,61,67,67,2005
8954,24559367200,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
9209,6603466933,2,2,2,2,2,7,8,13,17,20,25,28,31,31,2005
9305,7004008043,2,2,2,3,3,3,4,4,4,4,4,4,4,4,2005
9359,7101901920,26,34,34,34,34,34,34,34,34,91,91,91,94,94,2005
