Unnamed: 0,ID,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
63,24766310500,4,4,5,5,6,11,16,16,16,16,16,19,28,2006
87,14041529400,3,3,3,4,7,7,8,8,10,10,16,16,22,2006
102,7005446642,1,1,1,1,1,1,1,1,1,1,1,1,1,2006
229,14029656200,5,7,9,13,20,20,21,21,21,25,25,25,25,2006
250,7801415985,5,8,8,11,11,11,11,11,11,14,14,14,14,2006
347,14035100800,2,2,2,2,2,2,2,4,11,11,16,19,23,2006
382,22985083500,6,8,8,8,13,16,16,18,18,18,18,20,22,2006
391,55926212600,4,4,4,11,11,40,40,48,48,48,48,48,48,2006
399,6701740560,1,1,1,1,1,1,1,1,1,3,3,6,8,2006
488,7005140378,6,6,6,6,6,7,11,11,11,11,11,11,11,2006
540,35280489500,7,7,7,7,7,7,13,13,13,13,13,20,20,2006
555,35550506900,8,8,8,8,8,8,8,8,8,8,8,8,8,2006
590,8252143000,3,4,6,7,9,10,11,22,34,34,34,34,34,2006
669,6506651931,2,2,5,5,5,5,5,5,5,8,8,8,8,2006
896,7402283467,6,6,6,6,6,6,6,6,6,14,14,18,38,2006
953,7405692762,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
980,14027844000,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
1007,6701806568,24,24,24,24,24,24,24,24,24,24,24,24,24,2006
1056,13407832400,4,4,6,6,6,6,8,8,8,8,10,10,11,2006
1137,7004946351,35,35,46,46,59,59,119,122,132,132,132,132,132,2006
1174,23390547500,9,14,14,16,18,20,25,25,25,28,28,28,29,2006
1246,6603067743,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
1258,6602158058,2,2,2,2,2,4,4,6,6,6,6,8,8,2006
1359,7006637893,10,10,10,10,10,10,10,10,10,10,10,10,10,2006
1433,6508185208,5,5,5,5,5,5,5,5,5,5,5,5,5,2006
1501,55395216900,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
1539,14054979500,1,2,2,2,2,5,6,6,10,13,13,15,17,2006
1593,15021393100,2,2,2,2,2,5,6,9,9,9,9,10,10,2006
1640,8504856600,59,59,59,59,91,91,230,230,230,230,230,230,230,2006
1690,7101829072,23,23,23,23,65,65,65,65,75,75,75,75,75,2006
1733,7102121832,2,3,4,4,4,4,5,12,16,32,37,42,50,2006
1836,7004372882,2,2,2,2,2,2,2,3,3,3,3,3,3,2006
1871,8255024300,59,59,59,59,105,105,109,109,114,114,178,178,178,2006
1880,55666574500,11,14,36,41,47,55,76,100,125,145,169,199,216,2006
1956,24923068200,2,2,13,16,21,21,23,23,23,23,23,23,23,2006
1988,24070671100,3,3,3,8,10,14,16,17,18,27,29,29,34,2006
2013,6507739557,6,6,6,6,6,6,6,6,6,6,6,6,6,2006
2063,7003570500,5,5,5,5,5,5,5,5,7,7,7,7,7,2006
2101,8390339900,3,3,3,3,3,3,3,3,3,3,37,37,37,2006
2207,7004299544,18,18,18,18,18,18,18,18,18,18,18,18,18,2006
2277,6505933658,33,33,33,33,33,33,33,33,33,33,33,33,33,2006
2340,55059470800,34,34,37,37,37,37,85,85,91,91,97,97,97,2006
2411,7006711679,49,49,70,79,79,79,80,80,86,86,100,100,116,2006
2453,7006151112,7,7,7,7,7,7,7,7,7,7,7,7,7,2006
2644,12139656400,1,1,1,1,3,3,3,3,7,7,7,8,12,2006
2697,24463641300,5,5,12,20,20,21,22,24,37,37,37,38,42,2006
2752,57192101437,3,3,3,3,5,5,5,5,8,11,18,22,24,2006
2766,15043041800,2,2,2,10,30,44,54,69,69,69,69,69,69,2006
2939,26432515100,9,9,9,9,9,15,18,35,41,45,45,54,54,2006
2984,23478151500,1,3,7,9,11,17,25,31,34,36,48,58,65,2006
3031,10341317600,17,17,17,17,17,24,24,24,24,24,24,24,24,2006
3040,7102154502,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
3122,6602999368,3,3,3,6,6,6,6,6,6,6,6,6,6,2006
3190,7006079333,6,6,6,6,10,10,16,16,16,45,45,45,45,2006
3209,7101926517,6,6,6,6,6,6,6,6,6,6,6,6,6,2006
3309,6602466995,3,3,6,6,6,6,6,6,6,6,6,6,6,2006
3514,57196827928,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
