Unnamed: 0,ID,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
8860,7004830088,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1999
9121,7006752191,3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1999
9258,8956560500,3,3,4,4,4,5,5,11,11,12,13,15,17,19,19,19,27,27,28,29,1999
9452,7003847786,5,5,7,9,9,9,9,9,9,9,9,12,17,18,18,18,18,18,20,20,1999
9865,6507928058,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,9,9,1999
9887,16241229100,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1999
10096,57193220657,1,1,2,5,5,5,5,5,5,9,9,12,15,15,15,16,16,18,20,20,1999
10146,7405819650,2,2,2,2,3,3,10,21,33,37,46,49,52,60,63,68,72,75,75,76,1999
10179,56265596200,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1999
10203,7004583354,3,3,3,3,3,3,3,6,6,6,6,8,9,9,15,18,18,18,19,20,1999
10376,7006216752,3,3,3,7,7,7,7,7,8,8,8,8,11,11,12,20,20,20,20,20,1999
10734,7004605766,2,2,2,2,2,5,5,5,7,23,31,44,50,56,56,56,66,78,84,85,1999
10756,7005480671,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,1999
11120,6701445659,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1999
11709,7006662868,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1999
11725,7101610459,5,7,7,7,7,7,7,7,9,11,11,11,18,18,18,18,19,30,30,30,1999
11909,6603769419,2,2,2,2,2,2,2,2,2,2,2,2,2,8,10,10,10,10,10,10,1999
12289,6603700934,4,4,4,4,4,4,4,12,12,12,12,12,24,28,30,32,32,32,45,45,1999
12377,7003970643,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,1999
12392,6507230190,1,1,5,5,7,7,9,10,10,12,12,12,16,16,16,16,18,18,18,20,1999
12505,6604024069,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1999
12600,7003513121,3,3,3,3,3,3,7,7,7,7,17,19,20,20,20,20,27,27,29,29,1999
12879,6701446856,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,1999
13048,57190072464,2,4,8,15,15,15,25,26,26,28,28,32,33,47,47,47,51,51,54,54,1999
13286,56283986400,2,8,37,37,37,49,49,49,49,69,69,97,101,109,109,113,113,113,113,113,1999
13289,7005747590,3,3,3,3,3,3,3,3,15,15,15,15,15,15,15,24,24,24,24,24,1999
13319,6603808064,1,3,10,10,11,15,15,16,17,22,30,32,39,43,50,60,65,68,73,75,1999
13334,56680286800,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1999
13477,7003295418,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1999
13557,21933470700,5,6,8,10,26,29,36,38,43,47,54,69,80,87,100,120,130,136,148,157,1999
13663,6603445604,1,3,3,3,4,10,13,17,20,22,30,33,37,45,48,51,53,54,59,61,1999
13724,7004366173,2,2,2,2,6,6,6,6,6,6,6,13,13,13,13,13,13,19,19,19,1999
14042,55890878900,2,2,2,4,6,7,7,7,7,7,17,18,18,27,33,36,42,51,52,52,1999
14130,56150673000,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1999
14186,7006595702,1,1,1,1,1,1,1,7,8,10,10,10,11,12,15,28,28,28,28,32,1999
14227,7201701828,5,5,5,13,17,21,23,23,23,34,34,55,55,55,55,55,55,55,55,55,1999
14278,57197313812,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1999
14441,12142031900,1,1,1,1,1,1,2,2,3,4,4,6,10,14,15,16,16,16,16,16,1999
14620,7103200567,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1999
14926,55944396200,1,1,1,1,2,2,4,4,4,4,4,4,7,8,15,15,20,24,24,27,1999
15410,35546188200,14,14,14,14,14,14,14,14,14,14,14,14,17,41,41,41,41,41,41,41,1999
15606,7004100826,6,6,6,6,6,7,7,7,11,11,11,11,11,11,11,11,11,11,11,11,1999
15910,6701824189,7,7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1999
16148,7004257641,4,4,4,5,5,6,6,6,6,6,6,6,7,11,11,11,15,15,18,22,1999
16383,6507019706,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,9,9,9,12,1999
16514,7004274515,1,1,1,4,4,7,10,10,10,10,10,10,10,10,10,17,17,18,18,18,1999
16779,7003429648,4,4,8,8,8,8,16,16,16,19,25,29,33,33,33,33,40,40,47,52,1999
16824,7005051481,2,2,4,4,4,7,8,10,11,11,12,12,17,18,19,22,22,22,22,24,1999
17416,6602311560,3,3,7,7,9,9,11,12,14,14,17,17,23,28,35,39,41,41,46,47,1999
17617,7006866039,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1999
17729,56865799500,3,3,8,9,9,9,9,9,9,9,9,9,9,9,12,12,17,17,17,17,1999
17961,6603279081,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1999
18160,8283156300,1,1,1,1,1,1,1,6,6,6,8,8,10,12,14,14,14,14,21,26,1999
18281,24392864000,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1999
18620,7006007944,1,5,11,36,36,36,36,36,56,56,56,56,56,59,84,91,93,94,101,105,1999
18639,14018017600,3,3,3,3,3,3,6,6,9,17,20,20,20,23,23,25,25,40,71,73,1999
18752,7201980029,4,4,4,4,4,4,4,4,4,9,9,9,11,14,14,14,14,14,14,14,1999
18842,7004423897,2,27,27,27,27,27,27,28,32,35,35,35,35,35,35,36,36,40,40,40,1999
19053,7401552049,9,13,20,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,40,40,1999
19305,57203999691,3,5,5,9,11,11,12,12,17,25,28,31,33,36,47,52,57,66,77,81,1999
19630,35500917800,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1999
19922,7003886962,1,5,5,8,16,16,18,20,20,20,22,23,26,29,29,32,33,33,35,35,1999
20073,7103339615,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1999
20355,7003577429,3,4,4,4,4,4,4,4,4,4,4,9,9,9,10,10,13,13,13,13,1999
20855,6603469014,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,1999
20878,7003583220,2,2,2,2,3,3,11,22,27,42,51,54,56,63,65,66,69,69,69,69,1999
20922,6603786774,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,12,12,12,12,1999
21167,56210371800,4,4,4,4,4,4,4,4,9,16,16,24,24,24,24,24,24,24,24,24,1999
21174,57198180299,2,2,17,19,20,20,20,20,20,20,20,20,20,20,20,20,24,26,31,31,1999
21312,6506394707,3,3,6,6,10,11,12,12,16,16,22,24,29,29,34,34,38,41,47,48,1999
21783,7003949655,1,1,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,7,7,1999
21867,6602222729,2,3,3,3,5,7,7,9,11,20,21,30,35,37,40,40,47,55,57,61,1999
22050,8274762000,5,6,6,6,6,6,9,9,9,34,34,34,34,44,44,52,52,52,52,52,1999
22185,7006743093,7,7,7,17,17,61,67,67,72,91,91,96,96,106,113,124,126,126,126,137,1999
22261,7006323650,3,3,5,10,12,14,17,23,25,26,28,31,32,34,35,40,44,53,57,57,1999
