Unnamed: 0,ID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
85,55883275100,1,5,6,6,6,8,9,9,10,10,13,13,13,14,14,14,14,2002
232,14628445300,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
278,56031467700,3,3,3,3,3,3,8,13,13,13,18,18,18,28,28,28,28,2002
343,8620148200,16,16,19,26,34,34,42,42,76,76,78,78,106,106,180,180,227,2002
361,35446002900,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2002
474,7004543110,5,5,5,6,6,6,6,6,8,10,10,10,11,38,38,38,38,2002
517,14056666500,15,15,15,15,18,18,18,18,18,26,27,27,32,32,40,40,40,2002
518,23670246400,5,5,11,11,11,20,22,47,52,52,52,52,52,52,52,53,53,2002
738,8326623700,3,4,4,4,4,8,8,11,11,13,16,16,16,22,24,24,24,2002
924,55174217600,15,15,15,15,15,15,15,34,34,34,83,83,83,83,83,83,83,2002
978,55439552600,12,12,32,32,51,51,78,78,91,91,91,91,129,129,129,186,186,2002
1038,6603438406,2,10,10,10,16,25,26,38,38,44,53,80,86,97,100,114,131,2002
1094,16067854600,2,2,2,2,2,8,16,17,52,52,54,83,85,85,85,133,133,2002
1272,55952572800,5,5,5,5,8,15,28,32,35,37,40,44,44,51,52,55,57,2002
1639,7404071092,1,1,1,3,5,5,5,5,5,8,8,8,12,12,12,12,12,2002
1702,8309001800,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2002
1704,8705778800,5,8,8,9,10,15,22,31,42,50,64,74,81,92,94,95,96,2002
1710,6507136296,4,4,4,4,9,9,9,9,9,9,9,9,9,9,38,38,38,2002
1767,6603102301,3,3,3,3,3,3,3,4,6,6,9,9,9,10,11,12,20,2002
2090,12645434100,4,4,4,4,7,7,22,26,26,37,43,48,48,48,55,55,73,2002
2181,23008795500,8,8,8,8,8,8,8,8,8,8,8,8,63,63,63,63,63,2002
2184,7005234925,1,1,3,3,3,3,3,5,5,5,6,9,9,9,9,9,9,2002
2318,22233692500,1,1,1,1,1,5,8,9,11,13,16,17,20,20,20,23,23,2002
2320,12752657500,6,6,6,8,8,10,10,10,10,15,15,15,18,20,21,25,39,2002
2440,7003299143,6,10,10,15,15,15,15,15,15,15,19,23,23,23,23,23,23,2002
2479,6603498275,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2002
2514,7003781230,1,1,1,1,4,6,6,6,6,6,6,6,6,6,6,6,6,2002
2583,23024104800,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,12,12,2002
2610,6602076340,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
2665,55943071200,3,3,4,4,4,4,4,4,4,4,4,10,17,17,17,19,19,2002
2706,7006616392,1,4,4,4,7,7,7,9,9,9,9,9,9,10,10,10,10,2002
2790,22334105200,2,2,3,3,3,3,5,8,9,9,11,11,12,12,13,13,13,2002
2823,6508336428,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
2849,7007123513,17,17,17,17,17,17,17,17,37,37,37,37,37,37,37,37,37,2002
2935,7006680367,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
2982,56250233400,3,3,3,7,8,8,8,9,9,9,9,9,9,9,11,11,11,2002
3000,6602102064,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2002
3087,57196349744,7,7,7,13,13,13,13,13,13,13,13,13,13,13,13,13,18,2002
3471,6603575928,6,15,15,15,15,19,19,19,41,50,50,50,50,60,60,60,60,2002
3473,7102508647,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,8,8,2002
3476,55990666200,4,4,5,5,5,5,6,6,11,12,14,15,19,19,24,25,25,2002
3617,7003819403,4,5,6,6,8,8,10,10,10,11,12,13,13,14,16,16,16,2002
3814,57203052268,3,5,5,5,5,8,8,12,12,12,12,12,12,12,14,14,14,2002
3852,6506734202,2,2,2,2,2,2,2,2,2,2,6,6,7,7,7,7,7,2002
3904,14833408400,12,12,20,20,111,111,116,116,129,129,129,129,190,190,190,190,203,2002
3953,35579634600,25,25,31,31,31,31,31,31,31,31,31,31,43,43,43,43,43,2002
4016,7102602004,21,21,63,63,104,104,104,112,142,142,145,145,149,149,149,149,149,2002
4123,7003957850,7,7,7,7,7,7,7,11,15,15,18,18,18,20,21,21,30,2002
4180,7006600686,23,23,23,23,23,23,23,23,23,23,23,79,79,79,79,79,79,2002
4236,35371932100,25,25,47,55,89,89,89,89,89,89,89,89,89,89,89,89,89,2002
4291,57203078900,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2002
4360,7006609289,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2002
4419,6506589447,2,4,4,4,7,7,7,7,7,7,7,7,14,14,14,14,14,2002
4442,14054004400,7,7,7,7,7,7,7,7,7,7,7,21,21,21,21,21,21,2002
4497,24284980100,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
4530,6603657341,6,9,11,12,18,30,35,35,37,38,38,43,43,43,48,48,48,2002
4538,16033218700,2,2,2,4,4,39,48,49,54,69,77,85,86,88,89,103,111,2002
4545,24334497100,1,1,1,1,1,1,3,5,5,7,7,7,8,15,17,22,24,2002
4736,6603577641,2,2,3,5,5,5,7,10,10,10,10,10,10,10,34,34,72,2002
4812,22133923100,25,25,25,25,31,31,31,31,31,31,31,31,31,31,31,31,31,2002
4826,7006150957,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,6,6,2002
5170,7202450647,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
5317,6701797288,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2002
5520,23103523500,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2002
5564,7003328126,2,2,2,2,2,2,2,2,2,2,2,5,5,8,10,11,11,2002
5575,34969645800,5,5,32,32,76,76,131,131,131,131,171,171,175,175,175,175,175,2002
5613,35364126500,6,6,6,12,13,14,27,35,36,44,50,55,61,62,65,69,81,2002
5623,6603379175,1,3,3,3,3,4,4,4,4,5,5,9,10,10,10,10,10,2002
5672,6603399396,7,7,7,7,7,10,15,31,39,50,50,56,61,61,63,64,65,2002
5698,7801309001,6,6,6,7,7,7,10,10,10,10,10,10,10,10,10,10,10,2002
5931,7004490016,3,4,4,4,4,4,4,4,4,4,7,8,9,9,9,10,10,2002
5971,6603960935,6,8,9,12,14,17,21,25,25,27,30,33,40,50,52,55,57,2002
6041,8541305700,10,13,14,22,22,22,22,23,23,23,23,24,25,28,29,34,34,2002
6158,6701513404,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,2002
6186,35113403900,1,1,4,4,9,13,15,15,20,29,29,38,44,53,59,69,76,2002
6269,9243518900,9,9,9,17,17,17,27,27,27,30,40,40,40,40,40,42,42,2002
6332,16645173300,3,3,3,3,3,7,7,7,7,7,7,12,12,20,20,23,24,2002
6338,26643028200,4,5,6,6,7,7,7,7,12,13,13,13,13,17,17,17,20,2002
6375,6603246138,3,3,3,3,3,3,3,3,3,3,3,3,3,6,8,8,8,2002
6391,16038501300,18,18,37,44,49,49,51,51,58,58,61,61,61,61,64,70,70,2002
6431,7006069150,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,2002
6484,6508387490,6,7,7,14,14,14,14,16,22,23,23,23,24,28,28,28,35,2002
6702,6507645099,2,4,4,4,4,4,4,6,12,14,15,15,17,27,31,31,33,2002
6759,6602686168,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2002
6810,6603605511,10,10,12,12,12,12,24,24,26,27,27,30,32,32,32,35,38,2002
6908,16024248400,2,2,2,2,6,6,7,7,11,11,11,11,11,11,11,15,15,2002
6938,7007180231,2,2,2,4,5,5,5,5,5,7,7,8,8,8,8,8,8,2002
7047,7403189436,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
7455,7007007287,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
7681,8922183400,1,1,1,4,5,10,10,10,10,11,12,12,13,13,13,13,13,2002
7732,6506002614,4,4,5,8,8,8,8,8,8,8,8,10,10,10,10,11,11,2002
7874,23092029700,6,6,6,6,6,6,10,10,10,10,15,15,15,15,15,15,15,2002
