ID,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
55883935600,0,0,0,0,0,5,5,5,5,5,5,5,5
55921844500,0,4,4,4,9,9,9,9,15,22,22,22,22
55941348600,1,6,11,11,11,15,16,18,19,23,25,31,39
16025777800,0,0,3,3,3,3,3,8,9,23,32,40,40
13606253700,10,10,10,10,10,18,18,18,18,18,18,31,31
22933614200,0,0,0,3,3,10,10,12,13,13,13,19,23
24072893100,0,0,9,9,9,9,9,9,9,9,9,9,9
7003305807,0,3,3,3,3,3,3,12,12,12,12,12,12
36055688000,0,0,19,29,36,43,55,67,84,84,96,101,112
23005616300,0,3,3,3,10,12,13,14,14,14,14,18,26
23019458300,0,0,0,0,0,0,7,7,116,116,116,116,116
7004143543,0,0,4,4,4,5,5,5,8,8,8,8,8
7006662972,4,8,8,8,8,10,14,16,29,29,34,38,42
15070624000,0,0,0,0,2,2,2,2,2,2,2,7,7
12797539100,0,0,0,4,5,10,13,16,22,30,34,46,52
16024336300,0,0,0,11,11,11,11,11,18,25,27,30,30
11840477700,0,0,11,11,11,11,17,17,24,24,24,24,26
14058034000,9,13,29,34,39,42,48,52,58,64,64,65,65
9240469400,0,0,1,3,3,11,11,14,14,14,14,16,16
16068393800,3,4,6,9,16,20,28,33,37,42,48,51,63
24461438300,0,0,2,3,29,51,56,72,74,74,79,81,81
35326188700,0,0,0,0,0,13,13,13,16,16,16,16,16
22941580700,36,36,69,69,87,104,109,138,148,148,150,150,153
14031193600,0,0,0,0,0,0,0,0,6,6,6,6,6
16549111100,0,5,5,23,24,34,34,36,36,44,48,50,52
14819059200,0,0,8,37,37,37,37,37,37,37,74,78,78
27172122600,0,0,0,0,0,0,9,9,9,9,9,9,9
12143257900,2,2,4,4,4,5,16,17,20,20,28,32,33
12752185900,11,11,22,22,29,31,50,63,90,106,109,109,109
12143483700,0,0,0,0,0,0,0,12,12,12,12,12,12
6603123270,0,0,9,9,9,9,9,9,9,9,9,9,9
22135741900,0,0,4,4,4,4,6,6,6,6,6,6,6
22137140200,0,0,0,0,0,0,4,8,11,16,22,30,30
18535501100,1,1,1,4,4,4,4,4,4,15,19,23,23
56924783000,0,6,11,16,17,21,28,30,32,32,32,34,41
16245979300,0,2,2,2,2,2,2,2,2,2,2,9,9
6701816768,0,0,0,0,0,0,0,0,0,21,21,25,25
6507191387,0,0,0,0,0,0,0,0,0,6,6,6,6
23003289600,0,29,29,29,29,32,32,36,36,36,43,43,43
23135820400,0,0,0,0,0,0,0,0,0,0,0,0,4
25959090100,0,0,0,0,0,0,46,63,63,67,67,67,67
15845026200,0,0,0,0,1,1,1,1,1,5,5,5,5
19638327600,3,3,3,3,13,17,26,32,40,49,57,74,83
14068683000,0,1,1,1,1,1,1,1,1,1,1,1,1
22951993000,0,0,0,0,0,0,0,2,7,10,10,10,10
24577145700,0,2,2,7,7,7,33,35,49,54,54,56,56
13607427400,0,0,0,0,0,0,0,0,0,1,1,1,1
15122078400,0,0,0,3,3,9,13,19,19,19,19,19,19
35613820900,4,8,10,12,16,22,31,40,53,57,59,64,76
14057718300,0,0,0,7,7,7,7,7,7,7,7,7,7
23569239400,0,0,36,46,82,82,82,91,97,105,113,113,113
15760039500,9,9,19,29,56,56,56,65,65,65,73,87,87
24772993800,0,3,3,12,25,25,28,31,31,41,41,46,46
14218907900,6,6,6,6,6,6,6,6,6,6,6,6,6
24482903600,0,0,9,15,32,32,32,42,45,46,50,60,60
23020095800,0,0,0,1,1,1,1,1,1,1,1,1,1
15119250900,0,0,0,4,4,5,5,5,5,10,12,14,14
14040657900,0,0,0,0,0,0,3,3,3,3,3,3,3
23049767200,0,0,0,0,0,0,10,10,10,10,10,10,10
14028349500,4,6,10,23,24,42,54,55,56,56,62,71,71
12792568200,0,0,0,0,0,0,0,0,5,9,9,10,10
24829498100,0,0,0,0,0,0,0,0,0,0,53,53,53
8928458200,0,0,0,0,0,0,5,9,9,9,9,9,9
12794769400,0,0,7,11,22,29,36,36,40,48,48,56,56
14015908900,0,0,0,0,0,1,1,1,1,1,1,3,7
35073668300,0,0,0,0,0,0,0,6,6,6,6,6,6
15057082700,2,2,2,4,4,4,4,4,4,4,7,9,9
23003540700,0,29,29,29,29,29,29,39,39,39,39,39,45
22958113700,0,0,0,0,0,0,0,0,23,23,23,23,23
6603070951,0,18,18,18,18,47,47,47,47,47,72,75,75
21741013000,1,1,2,2,2,2,2,2,3,4,4,4,4
16041533400,0,0,0,0,4,4,10,10,10,10,12,12,14
7003926640,0,1,13,13,16,21,21,24,26,40,47,47,49
23004550100,0,9,11,11,13,14,16,20,21,21,22,24,27
15122911900,0,0,0,0,6,6,6,6,6,6,6,6,6
13105225000,0,0,0,0,0,0,0,0,4,4,4,4,4
23974157700,0,0,2,7,11,18,19,24,32,32,35,35,35
7004295903,11,27,49,51,82,93,99,106,117,125,150,158,180
23992294900,0,0,0,0,0,0,6,6,11,14,14,14,14
23100209800,0,0,0,0,0,0,0,0,0,0,0,0,24
14056651500,5,5,9,20,22,22,25,26,30,30,34,36,42
56846348100,0,3,5,5,5,7,9,15,16,18,18,22,22
57147437500,0,0,0,1,1,1,1,1,1,1,6,9,9
35483353700,3,6,11,11,11,31,38,41,42,49,49,60,63
23486539100,4,4,4,7,7,14,32,44,57,61,71,73,73
6602641627,0,0,2,2,4,8,10,10,25,33,41,44,48
14632476500,2,3,3,3,3,4,11,15,17,17,17,31,32
14019450400,0,0,0,0,0,0,0,0,9,9,9,9,9
14042436900,0,0,0,0,0,0,0,0,0,0,0,0,5
7006425693,0,0,0,0,15,17,17,17,25,25,25,25,25
13008857100,3,12,30,33,33,35,39,51,71,92,98,102,102
15844977900,0,2,2,4,4,6,7,7,7,11,22,26,28
55273080100,0,0,0,0,0,0,0,0,0,0,0,17,17
57200387192,0,0,0,0,0,6,6,6,6,6,6,6,6
14063640600,1,1,3,3,3,5,5,5,5,5,6,6,8
14421843600,0,0,0,0,0,0,0,8,16,16,16,25,25
16029130700,0,0,0,11,15,15,15,19,19,29,29,41,41
22951325400,0,0,0,0,0,0,0,0,0,2,2,2,2
14053563900,0,0,0,0,0,0,0,0,0,38,38,38,38
34569363500,1,4,8,9,15,19,24,26,33,42,63,66,69
25638131100,0,0,7,7,10,10,26,33,45,45,50,59,59
23472484600,0,3,4,15,15,18,25,37,45,47,58,82,95
22233480300,5,5,5,5,5,8,8,8,8,12,12,15,15
23970831700,0,0,0,0,12,12,12,12,12,12,12,12,12
23392059900,0,0,0,0,0,0,0,0,0,0,4,4,4
55545849400,0,2,2,2,2,2,2,6,11,39,39,39,40
23134682200,0,0,0,0,0,0,0,0,4,4,4,4,4
22836724500,0,0,0,0,0,0,0,0,0,49,49,49,49
16300543700,0,0,0,0,0,0,0,0,0,0,0,0,7
7004565374,20,20,20,20,20,20,20,20,20,115,115,127,132
23473826600,0,0,0,0,0,0,0,0,0,0,4,4,4
14521866900,3,3,5,5,5,5,5,5,5,7,7,9,9
11140986400,0,0,5,5,5,5,5,5,8,8,16,16,20
23482542000,0,0,0,0,0,0,0,0,0,10,10,10,10
8304531500,0,54,54,54,54,54,54,62,62,62,62,91,91
15046030600,0,0,0,0,0,0,0,0,0,0,0,0,11
22033541000,3,8,13,17,20,21,28,33,37,38,40,40,43
15046587900,0,4,4,4,5,5,5,7,7,10,11,11,12
24400146200,1,5,6,19,20,25,39,48,65,71,108,118,132
14824698900,0,0,0,0,0,0,3,3,3,3,18,18,18
7402798549,0,6,6,6,6,23,41,42,42,42,42,48,57
14527965000,21,21,21,21,21,21,35,53,63,63,63,63,65
16028043600,0,8,18,18,36,42,54,57,58,62,62,62,62
6701635098,0,0,0,0,0,0,8,8,8,8,12,21,24
18038550600,0,1,1,3,3,3,8,8,10,10,10,10,14
14626429900,0,1,1,1,1,1,1,1,1,1,1,1,1
22935426600,0,0,0,0,0,0,0,6,6,6,6,6,6
17346212400,0,0,0,0,0,0,0,0,0,6,6,6,6
15725750100,0,0,0,0,0,0,0,3,3,3,3,3,3
22940235700,0,0,0,0,0,0,0,0,0,49,49,49,49
22733748600,2,2,2,4,5,14,14,14,14,17,17,22,26
23395637800,0,4,8,8,12,13,19,22,22,23,25,28,30
14119936900,0,0,0,32,32,35,39,40,40,47,84,95,98
15845009800,4,4,4,7,13,15,21,21,30,30,31,38,39
23388126000,0,0,0,0,0,2,2,6,6,6,6,6,7
6603422209,0,2,2,2,2,2,2,2,2,2,2,2,2
15832513600,0,8,8,14,14,24,28,28,28,31,31,39,57
24777793300,0,8,8,8,8,8,8,8,8,8,59,71,71
