ID,2016,2017,2018
36164894300,5,13,13
55838510332,0,5,5
10639679200,6,6,6
8702625800,3,3,3
56383419500,36,36,100
56305691900,0,0,2
57190980395,0,0,9
57190300756,5,5,5
57188752250,15,29,34
54987307300,45,92,92
57188671611,4,4,4
57190001162,0,0,7
57191052229,3,3,3
57192113111,0,0,4
57189464937,0,0,2
57188590869,8,8,8
56568363800,4,7,8
55547286400,0,0,6
55776619300,0,0,3
57189729895,0,39,43
57190215418,0,5,5
57202228246,4,4,8
55844557900,4,4,4
18633549200,0,21,21
23096778100,0,7,9
55248308500,4,4,4
57191380147,3,7,7
57188666556,0,3,3
7402073082,6,9,9
13606225400,0,5,5
57191708967,4,4,4
57190943172,24,32,33
7003488915,11,32,32
57190808093,0,14,30
57191674868,4,4,4
57191223206,1,1,1
57191278839,0,3,3
9232973200,17,21,21
7404145008,23,25,30
57188675645,0,0,14
56102177900,1,1,1
57188724280,0,3,3
57192197994,7,11,30
18435271000,1,3,3
57190050182,0,2,2
57189097686,3,3,3
57192431690,2,4,4
56146251100,3,3,3
57060401000,0,0,5
57192311849,4,4,5
55777215000,0,7,8
57021488500,0,4,4
15842329000,5,9,9
57192208910,4,5,5
55807355500,5,7,15
57052014100,36,36,104
56921855800,0,4,4
16837019000,0,12,12
27267841100,5,7,19
57193647155,1,3,3
57190436407,61,65,65
57191612645,0,3,9
56228784000,0,6,6
57191342816,0,9,9
55847793900,0,5,5
57190883130,2,3,5
7005097872,37,40,40
57191445718,0,3,3
56819006500,4,5,6
7402917732,5,5,5
11440073700,0,0,6
57191975567,0,0,2
57189763844,7,12,12
56198322800,11,20,20
56786221900,1,1,1
57192587510,2,5,5
57189875749,0,2,2
57190393812,3,3,3
57189683517,0,5,5
57191681060,0,2,2
57189578188,6,7,7
57190608236,1,1,1
55876526000,37,37,37
14831586900,2,2,2
56196900400,0,2,2
6602335487,0,14,14
55995850300,6,6,6
57168725500,0,12,12
57194710749,3,4,4
57191615965,5,7,7
57191995186,0,1,1
57190129884,3,3,3
57192369246,4,6,6
55250988500,0,39,43
57190300119,0,7,7
57189326005,2,4,5
57193391293,0,0,4
57189685754,0,5,8
57189700492,0,10,10
57031932100,9,9,9
57190982930,16,16,16
54384290000,0,9,14
57192915370,7,8,8
57170712200,9,12,12
56077663300,3,4,4
55831008300,0,4,4
22836597000,11,18,18
56835301200,3,6,8
57189987280,3,3,3
57191196391,8,14,14
56529559400,2,15,23
57191259101,5,5,5
56022619800,15,15,15
57188756521,5,5,5
7402136130,29,35,35
56302937500,2,3,3
57190857557,3,9,9
57204332216,0,3,3
8889302300,3,6,8
57191498177,0,3,3
57193121796,4,4,4
57190805870,4,7,9
56893432700,5,5,5
6508350460,0,5,5
56275876400,2,6,6
57192069638,2,2,2
57192680962,0,0,4
7005232048,0,3,3
55967782200,8,10,10
44061504500,4,7,7
57126412300,0,2,2
56401066300,6,15,16
7005382725,6,6,6
57194339485,5,5,5
57190580569,13,13,16
57189030668,5,5,10
55916543200,7,7,7
57189590425,0,8,8
22942757100,0,0,4
7006347792,9,9,9
56428019700,3,5,5
57190564943,6,6,7
57188764838,0,5,5
7202930876,0,8,8
56031312700,4,7,7
24775054400,0,20,20
55755712400,0,0,84
23088056900,0,10,10
57188867460,0,6,6
36550031000,6,7,7
57191189255,14,20,20
57191910378,0,0,2
57191915423,0,3,3
57191224433,2,2,2
57198889213,3,3,3
57194784349,0,2,2
57192375228,4,6,8
57192236862,8,9,10
57191284960,0,7,7
57079290600,2,3,3
57193672335,4,4,4
57190339681,3,3,3
57188682647,0,0,5
57202489784,0,2,7
44861637000,2,2,2
6701389680,6,6,6
35188620500,11,11,11
12243239200,15,29,34
57190347906,4,4,4
57189985605,0,1,2
57191173077,7,9,9
8983767700,7,9,10
56249481600,0,20,20
57197788093,1,1,2
24765079800,0,7,14
57189384119,0,5,5
57193575301,42,42,42
57189869304,7,17,17
6701661529,0,20,20
24921480100,0,3,6
54387636900,5,5,5
57200827801,0,2,3
55791878100,6,6,6
57189215976,0,0,11
55162204200,0,0,4
54783349600,5,5,5
56229616200,7,7,7
56492161600,5,5,6
14034185700,9,15,21
55785825400,7,7,7
57053368800,6,7,7
57192382695,3,5,5
26654311900,3,6,6
57103804400,0,10,10
55793453800,3,3,3
57192955544,0,5,5
57191668311,2,5,6
57148546500,4,5,6
57192089470,0,8,8
56148777000,4,4,4
55837300300,4,4,4
55641926600,0,5,5
57193319719,3,3,3
57191052189,0,3,3
57188819677,0,3,3
57188634259,1,1,1
57188750800,1,1,1
35618323100,28,32,33
57191491616,0,2,2
57191738306,0,13,13
56750460200,3,4,4
26537665500,10,11,11
8667280600,4,4,4
57188987189,3,3,3
57191160513,3,3,3
56666926900,0,0,11
57168762700,0,2,2
57188981022,3,3,3
55900552200,3,11,16
23979056800,4,9,13
57053360400,10,15,15
57021405400,0,5,5
56406472300,10,13,13
55541919700,19,19,22
57192277642,0,3,3
57191953647,3,3,3
56763916400,11,11,11
57199038954,0,8,8
57188588116,2,5,5
26428219500,2,2,2
13007116800,5,9,9
57189266038,1,1,1
57191375342,23,40,40
57126091800,2,3,3
57156662700,0,3,3
55605032300,2,4,4
57192067854,3,4,4
56487288500,4,5,5
57190298770,0,4,4
57192061576,4,7,8
57188806683,7,9,10
36904194600,10,10,14
57190759574,0,3,3
57189040035,7,7,7
55393830800,3,3,3
24482379800,5,5,5
56951088200,5,5,6
57190977155,0,0,4
56543589100,2,2,8
57190495021,2,2,2
23389484400,72,82,82
56403091600,42,42,118
26633642900,0,9,9
6507928058,8,9,9
57189849914,0,5,5
57189456124,0,2,2
6701639177,7,7,7
54416461000,2,2,2
57192428978,0,2,6
56676356500,3,10,10
57189684104,6,6,6
