ID,2014,2015,2016,2017,2018
56365987700,0,0,3,5,5
56003475600,6,6,6,6,6
54785262900,4,7,9,9,9
56548893100,8,8,8,8,8
56031368800,0,0,9,9,9
15726314100,0,2,5,5,5
56437415000,0,6,6,6,6
8634629100,0,3,3,3,3
56898657900,0,8,27,29,30
56159639400,7,7,8,10,10
22933798300,0,0,6,7,7
55805042400,0,6,16,16,16
56342257000,5,5,5,5,5
56805740800,0,0,0,17,17
56543596000,4,12,12,12,12
6506908112,0,0,14,14,14
55195186800,10,10,10,10,10
7005278615,0,0,0,0,17
56069659300,4,7,7,7,7
6701758419,0,0,0,4,4
56181659700,0,3,7,7,7
56114624200,5,5,12,12,21
55546827600,39,39,39,39,39
57203079557,32,32,42,42,69
55999456400,0,1,1,1,1
56202457100,0,5,7,7,7
56505640300,37,37,37,37,61
35767133300,8,12,16,16,18
56534892200,2,2,2,2,2
56401206500,0,0,0,3,3
56654819700,0,0,3,3,3
55614031300,0,23,33,33,33
56460954600,6,6,17,22,22
8560165000,0,0,1,4,9
36187856500,0,0,0,4,7
56176530200,5,7,7,7,7
35291050500,3,10,10,10,10
55915908500,2,2,2,2,2
55881165200,2,2,2,2,3
55955505500,0,0,0,0,11
55647175800,7,7,8,8,8
56133220000,2,2,2,2,2
55972082700,0,0,0,8,8
56184864800,0,0,11,12,12
7003925269,0,0,6,6,7
56375177700,9,9,9,9,9
56437691100,0,8,8,12,12
30067461800,23,23,23,23,23
56711884200,2,2,3,4,4
56568193700,0,3,3,3,9
56054691600,0,0,0,0,8
23088276800,0,0,0,0,3
55736928900,0,0,0,0,6
57196666967,0,0,4,4,4
56272396000,6,6,10,10,10
56427336800,2,2,2,2,5
56819574900,0,0,9,11,11
35409890000,4,7,9,9,9
55303716300,0,10,30,55,71
56037270400,73,73,73,73,73
56023170700,5,8,14,19,22
7004264352,0,0,0,20,20
56226810500,27,27,27,49,59
56349774500,5,7,8,9,9
56367508200,0,0,4,4,4
56492096900,0,0,4,4,4
56102827700,0,0,0,5,19
56599469400,2,2,2,2,2
56377085700,0,7,10,10,10
56423535900,2,4,4,4,4
40661072500,0,2,3,3,6
6603126448,0,0,6,6,6
56235839700,2,2,2,2,2
55627229400,0,0,5,8,14
55557463200,3,3,5,10,10
42862296700,1,1,1,1,1
56515456700,7,7,9,10,10
56872598000,0,0,6,6,6
56644686500,7,7,7,7,8
56541627800,0,0,0,2,2
42761407800,46,46,46,46,46
56454154100,0,0,8,8,8
56521655200,0,0,5,9,9
55837370900,5,5,6,9,9
55062243600,5,5,6,6,6
35146130800,47,47,47,47,47
55817414900,6,8,9,12,12
56828298200,0,8,8,8,8
56430957000,2,2,6,6,6
26633301000,0,6,17,17,17
55994699400,3,6,11,13,13
56453556600,5,9,13,13,13
55928057700,0,0,0,8,8
55570719100,0,2,2,2,2
36483494400,70,70,94,94,94
56611892700,7,7,7,9,9
56239599700,0,6,6,10,10
8670397800,0,0,11,11,11
57028124000,73,73,73,73,73
6504130121,0,0,0,12,12
