Unnamed: 0,ID,2013,2014,2015,2016,2017,2018,start_year
2105,35181960300,5,9,9,9,9,18,2013
2112,57200721544,3,3,3,3,3,3,2013
2121,8513414100,4,7,10,15,20,20,2013
2147,57198463577,3,3,3,3,3,3,2013
2155,56591443100,2,2,2,2,2,2,2013
2179,16237841500,2,2,2,2,2,2,2013
2180,55869182000,3,3,3,3,3,3,2013
2183,55246289100,2,2,2,2,2,2,2013
2184,8703209000,3,3,3,3,3,3,2013
2213,36161830500,26,26,26,30,30,30,2013
2263,36094694600,5,5,5,5,5,5,2013
2266,36855362600,10,10,10,16,16,16,2013
2269,6505966240,1,1,1,1,1,3,2013
2337,6602751489,12,12,12,12,12,12,2013
2347,6701689134,2,2,2,2,2,2,2013
2353,6506901500,10,10,10,10,10,10,2013
2363,43660905100,18,18,18,18,18,18,2013
2376,6602555468,6,6,6,6,6,6,2013
2402,55597090100,1,1,1,1,1,1,2013
2411,55233920300,9,9,9,9,9,9,2013
2412,57203626571,11,18,18,18,18,18,2013
2422,55904511300,6,6,6,6,6,6,2013
2437,36660402800,4,4,4,4,4,4,2013
2443,55489559800,4,4,4,4,4,4,2013
2458,35747438500,14,14,14,14,14,14,2013
2466,57201763346,15,15,15,15,15,15,2013
2499,54683658600,2,2,3,3,3,3,2013
2514,54785844700,7,8,8,8,8,8,2013
2517,23135435500,4,4,4,4,4,4,2013
2531,36161869800,1,1,1,1,1,1,2013
2565,23567665900,2,2,2,2,2,2,2013
2570,56031575900,4,4,4,4,4,4,2013
2600,25822734300,9,9,13,13,13,13,2013
2614,55614124800,7,7,7,7,7,7,2013
2618,57203337551,4,4,4,16,16,16,2013
2640,42761053200,7,7,7,8,8,8,2013
2643,56313874800,11,11,11,11,11,11,2013
2657,57202315017,3,3,9,9,9,9,2013
2667,55445284000,2,6,12,13,13,13,2013
2683,56469923300,6,6,20,20,20,20,2013
2728,57204258718,4,4,4,5,5,5,2013
2752,6701796940,6,17,17,86,86,122,2013
2784,6701667002,5,7,7,7,7,7,2013
2790,56022603200,12,16,18,21,21,21,2013
2793,24365708100,3,3,3,3,3,3,2013
2803,56038924000,4,4,4,4,4,4,2013
2834,57194222463,23,23,23,23,23,23,2013
2846,56633370700,4,4,4,4,4,4,2013
2890,8397946300,7,7,7,14,14,14,2013
2897,55925693900,12,12,12,12,12,12,2013
2907,55953445000,7,8,10,10,10,10,2013
2918,57195269466,21,21,21,21,21,21,2013
2952,7102627598,3,3,3,3,3,3,2013
2955,55830215700,3,3,3,3,3,3,2013
2998,57204253161,3,4,4,4,4,4,2013
3001,35563129500,5,5,5,5,5,5,2013
3033,7007169386,5,5,5,5,19,19,2013
3041,55775642300,2,2,2,2,2,2,2013
3055,56225959400,4,4,4,4,4,4,2013
3058,55130614900,5,5,5,5,5,5,2013
3084,55642684500,2,2,2,2,5,5,2013
3085,12244717800,6,6,15,15,15,15,2013
3086,6604007181,3,3,3,3,3,3,2013
3096,15043309500,15,16,16,16,16,16,2013
3123,8615753600,4,4,4,4,4,4,2013
3128,55933667200,2,2,2,2,2,2,2013
3133,55756079900,8,12,12,12,14,14,2013
3173,10045243300,1,1,1,1,1,1,2013
3177,54416356100,4,4,4,4,4,4,2013
3190,55553008200,2,2,2,2,2,2,2013
3196,56895625000,27,36,36,41,41,41,2013
3213,24779815600,1,1,2,3,7,7,2013
3221,55816107300,2,3,3,3,3,3,2013
3236,55855458400,3,3,3,3,3,3,2013
3245,55317872200,16,16,16,16,16,16,2013
3265,56348311800,3,3,3,3,3,3,2013
3289,6701865354,15,15,15,15,15,15,2013
3303,55789904300,2,2,2,2,2,2,2013
3350,55492761300,4,4,4,4,4,6,2013
3371,24779538100,33,33,33,33,33,33,2013
3400,7005132127,22,22,22,22,22,22,2013
3401,6508056805,4,4,6,6,7,11,2013
3403,55515554200,5,5,5,5,5,5,2013
3451,28567696800,2,2,2,8,10,10,2013
3455,7003654289,3,4,5,5,8,15,2013
3467,43061118800,2,2,2,2,2,2,2013
3470,55556097300,6,6,6,6,6,6,2013
3471,55210275700,3,3,3,3,3,3,2013
3486,57162106300,7,7,7,7,7,7,2013
3508,55346735300,22,22,22,22,22,22,2013
3513,36800106400,7,7,7,7,7,7,2013
3559,55816135100,4,4,4,4,4,4,2013
3572,56367282000,3,3,11,11,11,11,2013
3605,55902494300,5,5,5,5,5,5,2013
3612,35248278400,5,9,9,9,9,9,2013
3619,36803339300,33,33,33,33,33,33,2013
3631,56331465000,3,3,3,3,3,3,2013
3638,55646529400,4,4,4,4,4,4,2013
3659,55511747632,2,2,2,2,2,2,2013
3664,56331124200,1,1,1,1,1,3,2013
3666,15042130400,10,10,10,10,10,10,2013
3672,55779053800,5,5,5,5,5,5,2013
3702,57049821700,4,5,5,5,5,5,2013
3714,7102895761,17,17,17,17,17,17,2013
3715,54683504100,4,4,4,4,4,4,2013
3717,7003942821,14,14,14,14,14,14,2013
3725,55884156700,2,2,2,2,4,18,2013
3726,8299585600,6,6,12,12,15,15,2013
3751,55755465400,4,4,6,6,6,6,2013
3764,56022760800,3,3,4,4,4,4,2013
3766,56118537700,3,3,4,4,4,4,2013
3791,34974962000,2,2,2,2,6,6,2013
3803,7401876728,4,5,5,5,5,5,2013
3815,35578724300,14,14,14,14,14,14,2013
3825,55845274800,4,4,4,4,4,4,2013
3838,56007566200,1,2,2,2,2,2,2013
3843,7404030367,3,3,3,3,3,3,2013
3851,23391945200,3,3,3,3,3,3,2013
3870,55340354200,15,15,15,15,15,15,2013
3877,55263354100,8,8,8,8,8,8,2013
3885,26025614100,6,6,6,6,6,6,2013
3929,7004772662,6,24,38,38,38,38,2013
3939,55816600000,3,3,5,5,6,6,2013
3960,56331412400,10,11,12,13,13,13,2013
3961,8982965500,3,3,3,3,3,3,2013
3981,56415553000,4,8,8,8,8,8,2013
3988,55819801100,3,3,3,3,3,3,2013
4032,22985680200,3,3,3,3,3,3,2013
4033,55885945600,2,2,2,2,4,4,2013
4034,55916357100,3,3,3,3,3,3,2013
4055,55608485500,3,3,3,3,3,3,2013
4059,55841731200,3,3,3,3,3,3,2013
4078,55817184900,4,4,4,4,4,4,2013
4080,35744832200,12,12,12,12,12,12,2013
4082,54987361400,18,18,18,18,18,18,2013
4084,6602595244,4,4,4,4,4,4,2013
4103,55012360900,16,16,16,16,16,16,2013
4122,6603192143,6,6,6,6,6,6,2013
4123,56035323900,3,3,3,3,3,4,2013
4125,7005557357,5,5,5,5,5,5,2013
4141,56648264100,3,3,3,3,3,3,2013
4142,55973675500,2,12,12,25,29,35,2013
4146,55871971900,6,6,6,6,6,6,2013
4157,36351314600,7,7,7,7,7,7,2013
4172,9132996800,5,5,5,5,5,5,2013
4176,56039624100,3,5,5,6,6,6,2013
4181,35088272100,5,5,5,5,5,5,2013
4199,7004893698,4,9,9,9,9,9,2013
4201,39161765900,7,8,8,8,8,8,2013
4205,35614239000,13,20,23,23,23,23,2013
4207,55734431500,3,3,3,3,7,7,2013
4211,6603403882,6,6,6,6,6,6,2013
4215,55731830700,3,7,7,7,10,10,2013
4233,36092845600,3,3,3,3,3,3,2013
4299,55428856300,7,7,7,7,7,7,2013
4303,14021178000,7,7,7,7,9,9,2013
4315,30967631500,5,5,5,5,5,5,2013
4342,55480850100,1,1,1,1,1,1,2013
4368,13007835700,5,5,9,9,11,14,2013
4369,7005734491,3,3,4,4,4,4,2013
4388,55890465800,1,1,1,1,1,1,2013
4398,25521944400,3,3,3,8,8,8,2013
4405,55574213952,3,3,3,3,3,3,2013
4407,7005946091,7,9,9,9,9,9,2013
4409,55190003600,2,2,2,2,2,2,2013
4411,12544631000,1,1,1,1,1,1,2013
4413,55776906600,5,5,5,5,5,5,2013
4420,56084585800,2,2,2,2,2,4,2013
4431,6506386951,4,4,4,11,11,11,2013
4441,7003533496,2,2,2,2,2,2,2013
4444,55820081400,2,4,5,5,5,5,2013
4448,23668399600,4,4,4,4,7,7,2013
4463,55617340600,26,26,29,29,31,37,2013
4477,56102213700,4,4,4,4,4,4,2013
4509,15052098800,16,16,16,16,16,16,2013
4512,55805724000,3,3,3,3,3,3,2013
4535,25639040500,4,5,7,9,9,9,2013
4568,42262071000,2,2,2,2,2,2,2013
4607,37026400000,2,2,2,2,2,2,2013
4619,36976481900,1,2,23,23,23,23,2013
4632,55907305900,13,13,13,13,13,13,2013
4634,36740445300,2,2,2,2,2,2,2013
4638,55646431200,7,7,7,7,16,20,2013
4640,15822947100,7,12,14,17,17,19,2013
4673,55464175000,2,2,2,4,4,4,2013
4736,7102423451,4,4,4,4,4,4,2013
4738,56103912200,3,3,4,4,4,4,2013
4744,55879838800,3,3,3,3,3,3,2013
4774,7101990813,57,57,57,57,57,57,2013
4778,54935118500,3,3,3,3,3,3,2013
4783,55368556500,5,5,5,5,5,10,2013
4788,34880781600,9,9,9,9,9,9,2013
4806,55876955900,3,3,3,3,3,3,2013
4844,55677785700,5,5,5,5,5,5,2013
4845,55614663700,12,12,12,12,12,12,2013
4851,55957638800,1,1,1,1,1,1,2013
4864,35320290600,9,9,9,9,9,9,2013
4879,55658329300,28,28,28,28,28,28,2013
4885,7801354690,2,2,2,2,2,2,2013
4886,55861456000,19,19,19,19,19,19,2013
4887,55926566900,9,9,9,9,9,9,2013
4917,23487281800,2,2,2,2,2,2,2013
4927,56097198000,1,1,1,1,1,1,2013
4929,55807589500,6,6,6,6,6,6,2013
4983,57188672005,6,6,6,6,6,6,2013
4989,24069910600,5,5,6,6,6,6,2013
4990,6506978474,8,8,8,8,8,8,2013
4994,55967153100,3,4,4,4,4,4,2013
5024,55203484300,3,3,3,3,3,3,2013
5035,6602182642,1,1,2,2,2,3,2013
5045,13005855700,11,11,11,11,11,11,2013
5084,55820261700,2,2,2,2,2,2,2013
5094,34881927400,5,8,8,8,8,8,2013
5099,36661796900,8,8,8,8,26,26,2013
5131,55729731000,4,4,4,4,4,8,2013
5137,22136456000,3,8,8,8,8,8,2013
5138,55904892600,2,2,2,7,10,10,2013
5153,55070185400,4,4,7,8,8,8,2013
5167,6506438423,14,14,14,14,14,14,2013
5180,9242166800,6,15,30,30,30,34,2013
5184,55645353900,6,10,10,10,10,10,2013
5189,55841444700,7,7,7,7,7,7,2013
5197,36184724800,11,11,11,11,11,11,2013
5234,6506001534,5,5,5,5,5,5,2013
5235,55786986000,3,5,5,5,6,6,2013
5240,56927011800,6,6,6,6,6,6,2013
5244,7004050153,3,3,3,3,3,3,2013
5246,55646124600,12,12,12,12,12,12,2013
5259,55633243900,1,1,5,9,9,10,2013
5268,56378174600,5,5,5,5,5,7,2013
5281,14321113500,15,15,15,15,15,15,2013
5288,25221446400,5,5,5,5,5,5,2013
5297,55640100100,26,26,27,27,27,27,2013
5298,56028474000,3,3,3,3,4,4,2013
5301,55835328000,3,4,4,4,4,4,2013
