ID,2014,2015,2016,2017,2018
7003729382,2,2,2,2,2
56091446600,5,5,5,5,8
6603228789,3,3,3,3,3
55892354500,3,3,3,3,3
56490304600,2,2,2,2,2
57199470231,77,77,77,77,77
56003475600,6,6,6,6,6
56278368100,4,5,5,5,5
55905767600,6,17,24,24,24
56764415200,1,1,1,1,1
55390323200,2,2,4,4,4
55531427200,9,9,9,9,9
56080718100,7,7,7,7,7
54785262900,4,7,9,9,9
7201884734,6,6,6,6,6
37110778700,2,2,2,2,2
8554454800,8,8,8,8,8
55961075000,2,2,2,3,8
8920845500,57,57,57,57,57
7003376187,14,14,14,14,14
7005337879,14,14,14,18,18
6506921991,13,13,13,13,13
25627283300,6,6,6,6,6
35238939800,2,2,2,2,2
7101782257,5,5,5,5,5
26430482000,1,1,3,3,3
7101820325,2,4,6,6,6
8210164900,5,5,5,5,5
55507392400,4,4,4,4,9
7003663098,71,71,104,104,104
23989107600,19,19,19,19,19
57190798269,12,12,12,12,12
7102447001,8,9,9,13,13
56323460100,2,4,6,6,7
56463148700,63,63,63,63,63
7102700855,1,1,1,1,1
6507989604,4,4,4,4,4
56056477500,3,5,5,5,5
35292611200,5,5,5,5,5
55513194100,6,16,16,16,16
56515297200,18,18,18,18,18
36170379700,3,3,3,3,3
57201265019,4,4,4,4,4
55210404700,2,5,5,5,5
7103381652,57,57,185,185,223
56724226600,3,3,3,3,3
34978108100,22,22,22,22,22
56368652700,3,3,3,3,3
7003288074,69,69,69,69,69
36665846700,12,12,12,12,12
56442094500,1,1,1,1,1
6701814469,4,4,4,4,4
55800824800,6,6,6,6,6
56303734800,4,4,4,4,4
53364401900,1,1,2,2,2
56600628100,2,2,3,3,3
35225209300,1,1,1,1,1
55845598600,1,3,4,4,4
7102504355,68,68,68,68,68
55056139500,2,2,2,2,6
14826391900,10,10,20,20,28
6602070971,3,3,3,3,3
7006055356,5,11,20,23,26
35794846500,8,8,8,8,8
56600853100,2,2,2,2,2
7006300324,6,8,8,8,8
8331410200,29,29,29,29,29
26540948400,1,1,1,1,1
56305144400,7,7,7,7,7
6602131692,3,3,3,3,3
55329916500,3,3,48,48,48
57185537000,3,3,3,3,3
23568612400,6,6,6,6,6
56690567000,8,8,8,8,8
6603017352,5,5,5,5,5
56548893100,8,8,8,8,8
55235036700,10,15,15,34,34
56418593600,2,2,2,2,2
26429318000,37,37,40,40,40
35316018200,3,3,4,7,7
7004159827,83,83,83,83,83
55562055200,3,3,3,3,3
56485392200,3,3,3,3,3
6506942098,10,10,10,10,10
48861000500,2,2,2,2,2
56080939100,3,3,3,3,3
56405507800,2,3,3,5,5
55247696300,3,3,4,4,4
7202709950,2,15,15,15,15
56514689400,90,90,90,90,106
56416174100,5,5,5,5,5
53984089800,1,1,1,1,1
49962985800,8,9,9,9,9
7004440552,13,13,13,13,13
24070104000,6,6,6,6,6
56515509200,31,31,31,31,31
55912205900,2,2,2,2,2
7003642653,5,5,5,5,5
56872545300,6,6,6,6,6
56304222900,2,2,2,2,2
34870369100,1,1,1,1,1
15074491000,12,12,12,12,12
8840160700,7,7,7,7,13
57193917441,3,3,3,6,6
55670342800,6,7,7,7,11
56421924000,12,12,12,12,12
