ID,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
56207914800,5,5,5,5,24,24,24,24,24,24,26,26,26,26,26
6602758613,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7102790108,4,4,4,4,35,35,35,35,35,35,35,35,35,35,35
7003886643,3,6,6,6,6,6,6,6,6,6,6,6,6,6,12
6603436225,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
55951491100,1,1,1,1,1,2,7,8,10,12,13,17,18,19,21
57203196605,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
54991396700,3,3,3,5,5,5,5,5,5,5,7,7,7,7,7
8581874600,6,14,17,19,28,30,30,32,32,32,32,32,32,32,32
14037737500,2,2,2,2,4,4,4,5,6,6,6,7,7,7,10
6505983821,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25
35579118100,47,47,47,47,47,47,47,47,47,77,77,160,160,167,167
23034164300,2,2,2,2,10,10,19,19,24,27,33,35,46,48,55
7004840890,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
6603758277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6701642469,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
24775194900,13,13,13,13,13,13,28,28,28,28,28,28,106,116,116
7006621131,5,5,7,7,12,12,12,12,12,12,12,12,12,12,12
6506024854,2,2,2,2,20,20,23,23,45,45,58,58,67,67,67
7004518289,7,7,14,16,16,16,16,16,16,16,16,16,16,16,16
7003554262,22,22,22,22,40,40,40,40,40,40,40,40,40,40,40
7201524785,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
6508025844,2,2,2,2,4,6,6,6,6,14,14,14,14,16,16
7003908626,8,12,19,19,19,23,26,28,29,29,33,33,36,38,38
55948240600,8,8,25,25,33,33,96,96,171,190,228,228,250,250,260
6506922416,6,6,6,6,6,6,6,6,31,31,99,99,142,142,179
6507792527,17,21,21,23,23,23,23,23,33,40,40,40,40,48,48
8321501200,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
56363833000,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
15737264900,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10
12140214000,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7003660479,15,15,15,27,88,88,115,115,115,115,115,115,115,115,115
6701710477,6,6,6,6,55,66,81,81,81,81,81,81,81,81,111
7402172965,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
6506932461,3,5,7,7,7,7,7,7,14,18,18,21,21,26,26
7003554136,1,1,4,4,4,4,4,4,4,4,6,10,15,15,15
55907357800,4,4,4,4,4,4,6,6,6,15,15,20,20,20,20
7101910293,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
8569843600,3,3,3,3,3,3,3,16,16,16,16,23,26,26,26
57202107233,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
6507776388,9,19,19,19,19,19,19,19,22,22,22,22,22,22,22
23977653400,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5
22633267000,4,5,6,6,6,6,6,9,11,13,15,21,27,30,34
6602983831,2,2,2,2,2,2,2,2,2,16,16,16,16,19,19
7005583997,9,9,25,25,64,70,70,70,81,81,81,82,82,82,82
6604059069,6,6,6,6,6,6,6,6,6,6,6,6,6,13,13
8317979700,3,3,4,4,4,4,4,4,18,20,20,20,20,20,20
15046066200,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5
7402884230,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
35310832300,1,5,8,8,8,11,11,11,14,16,18,22,22,22,22
6602119814,2,2,3,3,4,4,4,7,7,7,7,7,7,7,10
15764974500,8,8,11,17,18,24,24,24,29,29,36,37,37,37,40
7102958979,6,6,8,8,9,9,9,12,12,13,13,13,13,15,16
7102662932,2,3,3,6,6,6,6,7,9,11,12,12,18,19,24
55878398500,2,2,2,2,2,6,11,11,15,23,26,26,27,32,33
24366328700,2,2,2,2,2,5,10,13,14,14,15,17,25,25,29
6602699071,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6603760704,1,1,1,1,1,1,1,9,13,13,13,13,13,13,13
6602104920,10,10,10,10,10,10,10,13,13,13,19,19,19,32,32
35575927400,2,2,2,2,3,3,3,3,3,3,5,5,5,5,5
6602537855,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7005019893,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22
6507689548,2,2,3,3,3,3,7,7,7,7,7,7,7,7,7
6506968790,2,3,7,8,8,10,18,32,114,141,158,164,195,207,218
8354986600,32,37,53,66,83,83,83,84,84,84,84,100,100,115,115
56256020300,2,4,4,7,7,8,8,8,8,8,9,9,9,9,9
6701621806,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
13411458300,3,3,6,6,14,14,14,14,14,29,29,32,36,36,36
7005358328,21,21,21,34,34,34,34,34,34,34,34,34,34,34,34
56617935700,3,6,9,9,9,9,9,9,10,10,10,19,19,19,22
56102896400,2,28,70,78,102,103,121,134,139,155,169,173,209,216,230
6601950645,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6
16552005800,2,2,2,2,3,3,4,6,7,7,7,10,10,11,11
6603932250,2,5,12,12,15,19,20,20,20,26,26,26,26,27,27
56015665400,6,10,10,10,10,10,10,10,16,16,16,16,16,16,16
15074035700,2,3,3,3,4,4,6,6,6,6,6,6,11,11,11
6603682116,4,4,4,6,6,6,6,6,8,8,8,8,8,8,8
16040151000,7,7,7,7,7,7,30,30,30,30,48,48,55,55,107
9334341500,6,6,6,6,6,6,6,13,14,14,14,14,14,14,14
7006255547,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7005550044,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55945839900,4,4,4,4,4,4,4,4,46,46,71,71,99,99,119
55494972100,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7101686861,26,26,36,48,48,48,48,48,48,48,48,48,48,48,48
22951294900,3,3,3,5,5,5,5,5,5,5,9,9,10,10,10
7005759823,2,2,2,12,15,25,25,25,25,25,25,25,25,25,25
7102314252,3,3,3,3,7,10,10,10,13,13,13,13,13,13,13
56264196800,17,19,74,74,77,87,118,120,131,131,196,196,256,256,260
7004091309,6,6,6,10,10,10,10,10,10,10,16,16,34,34,80
8527884800,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9
7004135845,1,1,1,1,4,4,4,4,4,4,7,7,10,10,12
6603082202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36082712800,3,3,3,3,6,14,14,17,17,32,32,32,32,32,32
6701913649,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7202407127,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4
14834099900,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
6505632983,2,2,2,2,2,2,2,2,2,2,12,12,12,12,12
7004349378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16305475400,2,2,2,6,8,8,8,9,12,12,13,13,16,16,16
6603803537,37,37,37,37,55,55,55,55,55,55,81,81,81,81,143
6506734920,2,4,5,7,7,7,10,10,10,12,14,16,17,17,17
6603428490,7,11,14,16,16,23,23,29,31,31,31,37,37,37,37
7102278522,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
54383118700,13,13,13,13,13,13,28,28,28,28,38,38,38,38,38
55977000100,3,3,3,3,3,3,3,3,3,3,3,3,25,25,25
10046231500,3,3,7,10,11,12,18,18,18,18,24,24,28,32,33
6602389192,6,6,6,6,6,6,6,6,6,6,6,6,14,17,17
55977266400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6507641510,4,4,4,4,4,4,40,40,40,40,46,46,46,49,49
56424118600,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6701820455,4,4,7,7,7,7,7,10,13,13,13,13,14,19,19
35332603700,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7
10739055200,10,10,10,10,24,24,24,24,94,129,137,137,141,141,156
7005890850,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
26656928600,31,31,52,52,54,54,58,58,87,87,91,91,126,126,183
56076266400,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3
6602346099,6,27,37,44,60,67,69,69,69,69,69,69,69,69,69
7004438027,1,1,3,5,5,6,7,7,9,10,13,17,18,21,21
6603198439,8,8,8,8,8,10,10,16,20,22,24,27,27,28,31
6506503732,4,5,5,11,11,15,15,20,20,32,34,34,35,41,49
11539260100,38,38,38,38,56,60,79,79,79,79,79,79,79,79,79
55546800700,40,40,40,40,55,55,66,66,99,99,119,119,144,144,166
57199919026,37,37,37,37,37,37,37,53,66,66,66,66,66,66,66
6507859164,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6701904540,45,45,45,55,59,59,60,60,60,60,60,60,60,60,60
35247824800,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
7005536579,7,7,7,7,25,25,55,68,92,92,92,92,92,92,92
8594446600,11,11,11,11,11,11,11,15,20,20,26,26,26,40,40
55438959000,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6601956424,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6
6602277677,5,7,7,9,9,9,12,15,15,15,15,17,17,17,17
8546784100,3,3,3,3,3,4,4,5,9,9,9,9,9,9,9
7003585081,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
7004281809,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18834107900,4,5,6,24,24,24,25,26,27,27,29,29,32,35,38
8914458200,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6603071556,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
36238284500,28,34,38,38,38,42,42,42,42,42,42,42,70,70,164
24547335500,5,5,9,9,10,10,10,13,13,13,13,13,13,13,13
6505759829,7,7,7,7,7,7,7,7,7,12,12,12,12,12,12
8208639700,2,3,9,14,15,20,23,26,28,29,31,31,32,32,33
7005260327,1,1,4,4,4,4,4,4,5,5,5,6,6,6,6
6701799413,6,6,6,6,14,14,14,14,23,26,26,26,26,26,26
7006159996,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
6603823522,6,6,11,11,11,11,11,11,11,11,11,11,11,11,11
7005277905,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12
6701322867,11,11,11,11,11,11,11,11,11,11,33,33,33,33,33
8558271200,2,3,3,3,3,3,3,3,3,3,16,16,16,27,27
8878266300,8,8,15,16,25,27,27,27,27,27,27,27,27,27,27
6603498911,12,12,12,12,12,12,12,23,30,33,45,45,45,45,45
6603194762,3,3,3,3,3,3,3,3,3,3,21,21,21,21,29
8927256800,3,3,3,3,3,8,10,10,10,10,10,10,10,16,16
56277076300,4,4,11,11,11,11,16,16,16,16,16,16,16,16,16
7102439344,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
36626342700,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7007168154,4,4,4,4,11,11,11,11,11,11,11,11,11,11,11
8558271300,2,3,4,6,6,6,11,11,11,11,11,11,11,11,11
7006734665,4,10,15,18,21,30,41,45,48,48,49,49,49,49,52
7404696330,1,2,2,2,2,2,2,4,8,8,8,8,8,8,10
23098485300,3,6,6,6,10,10,10,10,10,10,10,10,10,10,10
