Unnamed: 0,ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
27,14619163500,2,2,2,2,2,2,2,2,2,2010
32,11738782000,2,2,2,2,2,2,2,2,2,2010
52,36082756400,3,3,3,3,3,3,3,3,3,2010
69,36816324700,3,3,3,3,8,9,12,12,12,2010
101,7004354274,2,2,2,2,2,2,2,2,3,2010
107,36453712700,5,5,5,5,5,5,5,5,5,2010
113,36190699900,6,6,6,6,6,6,6,6,6,2010
178,55880050400,2,2,2,15,15,15,34,34,34,2010
213,56835894200,3,26,26,28,28,28,28,28,28,2010
222,23567554100,3,5,5,5,5,5,8,8,8,2010
231,36630798700,3,3,3,3,3,3,3,3,3,2010
256,7004173174,2,11,15,15,15,17,17,17,22,2010
260,36713774200,2,2,2,2,2,2,2,3,3,2010
305,54421301400,6,6,6,6,6,6,6,6,6,2010
323,16024795900,4,4,4,4,4,4,4,4,4,2010
327,35773795200,6,6,6,6,6,6,6,6,6,2010
334,36602617400,5,5,5,5,5,5,5,5,5,2010
346,36615299200,4,4,4,4,4,4,4,4,4,2010
363,56417168500,5,5,7,7,8,9,9,9,9,2010
411,8986539700,4,4,4,4,4,4,4,4,4,2010
429,55731374100,5,5,5,5,5,5,5,5,5,2010
446,36664812700,3,3,3,3,3,3,3,3,3,2010
467,55629643800,16,18,18,18,18,18,18,18,18,2010
528,36149156600,14,14,14,14,14,14,14,14,14,2010
536,57196716304,4,4,4,4,4,4,4,4,4,2010
550,36782061800,1,1,1,1,1,1,1,1,1,2010
554,54397760400,3,3,3,3,6,6,6,6,6,2010
578,36060113200,6,6,6,7,7,7,7,7,7,2010
585,6602331414,2,2,2,2,2,2,2,2,2,2010
589,36816589200,3,3,3,3,3,3,3,3,3,2010
604,55617584700,3,3,3,3,3,3,3,3,3,2010
615,36679991000,4,5,5,5,5,5,5,5,5,2010
620,7202920765,33,36,40,40,48,48,102,102,135,2010
644,37061485200,8,12,12,23,23,24,25,25,25,2010
655,6701769322,22,22,22,22,22,22,22,22,22,2010
699,35101799900,1,1,1,3,3,3,3,3,3,2010
723,15760500900,22,22,22,29,40,40,40,56,56,2010
746,6504350389,3,3,3,3,3,3,3,3,3,2010
750,37074222900,4,6,6,6,8,9,9,9,12,2010
768,26041121100,5,5,5,5,5,5,5,5,5,2010
770,57197357863,2,2,2,2,2,2,2,2,2,2010
788,55612084300,3,3,3,3,3,3,3,3,3,2010
817,6602934119,2,5,5,5,5,5,9,9,9,2010
828,36706434100,4,6,6,6,6,6,6,6,6,2010
833,36239540900,9,9,9,9,9,9,9,9,9,2010
846,57205051591,4,10,10,10,10,10,10,10,10,2010
870,35176316700,3,5,7,7,7,7,7,7,7,2010
878,53879643900,2,2,2,2,2,2,2,2,2,2010
886,9040778700,2,3,3,3,3,3,3,3,3,2010
917,8300989400,7,7,7,7,7,7,7,7,7,2010
930,36704068100,6,6,9,9,21,25,25,30,30,2010
967,55256491700,1,3,5,8,8,8,8,10,12,2010
1003,37054657100,11,11,11,11,11,11,11,11,11,2010
1016,24921132200,9,43,44,58,58,68,83,83,83,2010
1039,8859966300,1,1,1,1,1,1,1,1,1,2010
1057,36184933300,2,2,2,2,2,2,2,2,2,2010
1072,9842396400,3,3,3,3,3,3,3,5,5,2010
1090,57197793190,7,7,7,7,7,7,7,7,7,2010
1147,24331617300,6,6,6,6,6,6,16,16,16,2010
1183,36622910000,5,5,5,5,5,5,5,5,5,2010
1186,57197532858,7,7,7,7,7,7,7,7,7,2010
1187,36336811900,7,7,7,7,7,7,7,7,7,2010
1196,9635978700,4,4,4,4,4,4,4,4,4,2010
1312,6701479988,5,5,5,5,5,5,5,5,5,2010
1332,35222083800,2,2,2,2,2,2,2,2,2,2010
1342,56538506300,7,7,7,7,7,7,7,7,7,2010
1369,36240435100,6,6,6,6,6,6,6,6,6,2010
1372,57190492621,1,2,2,2,2,2,2,2,2,2010
1396,24377090800,3,3,3,8,8,8,8,8,8,2010
1399,7006127274,13,19,25,25,27,28,30,30,30,2010
1412,6506341607,4,13,28,46,46,52,70,82,82,2010
1432,41662420000,1,1,1,1,1,1,1,1,1,2010
1476,56022706200,3,34,34,34,34,34,34,34,34,2010
1494,56630435200,2,6,6,6,6,7,11,11,14,2010
1564,36544152800,3,3,3,3,3,3,3,3,3,2010
1595,8867213600,75,75,75,75,75,75,75,75,75,2010
1620,36469843500,5,7,7,9,9,9,9,11,11,2010
1627,7003463832,14,14,14,14,14,14,14,14,14,2010
1652,24733735600,27,27,27,27,62,62,62,62,62,2010
1734,6603588897,4,4,4,4,4,4,4,4,4,2010
1772,8079328500,7,7,7,7,7,7,15,15,15,2010
1806,35117526000,12,12,17,17,17,17,20,25,33,2010
1824,15060619700,3,3,3,3,3,3,3,3,3,2010
1839,6603316510,5,5,5,10,14,19,19,20,20,2010
1862,36622219400,2,2,2,2,2,2,6,6,10,2010
1867,6504743854,3,3,3,3,3,3,3,3,3,2010
1917,36457213500,3,4,4,4,9,10,10,10,10,2010
1919,6506078081,9,9,12,12,12,12,12,12,12,2010
