Unnamed: 0,ID,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
29,25939623700,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1993
96,7003684364,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1993
160,6701334024,2,3,7,7,7,10,11,13,13,18,21,22,22,25,25,27,32,33,33,36,36,36,36,38,38,41,1993
277,23009472100,1,1,2,2,2,2,2,5,5,5,6,7,7,7,8,8,9,9,9,10,10,10,10,10,10,10,1993
317,57195389633,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1993
534,7004674188,4,4,5,7,7,7,7,7,9,9,10,10,10,11,11,12,12,13,14,14,15,17,18,19,21,22,1993
609,6504377321,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1993
637,7003680929,1,2,2,3,3,3,3,3,5,6,6,6,6,6,8,8,10,10,20,20,20,27,27,27,29,29,1993
668,6506380271,2,2,3,4,5,5,5,5,5,5,5,5,7,19,19,22,22,26,33,33,33,33,33,37,37,40,1993
756,7004682339,2,3,3,3,5,5,5,13,20,31,33,34,35,35,35,35,35,39,39,39,39,39,39,39,47,47,1993
913,6505853534,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1993
966,6602553044,1,1,1,2,4,8,8,11,11,13,13,13,15,15,19,21,28,29,33,33,37,37,43,44,44,46,1993
1009,7003443578,1,1,1,3,3,5,5,5,5,5,5,8,8,8,8,8,8,12,14,15,15,15,15,15,15,15,1993
1240,7006129507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1993
1267,7801594242,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,7,7,11,11,11,11,1993
1291,6601995666,2,2,2,2,2,13,13,14,14,19,24,24,26,26,33,37,38,40,42,48,48,49,49,49,49,49,1993
1306,7004687440,1,4,5,5,5,7,7,7,7,9,9,11,21,25,28,34,44,44,46,46,46,47,47,49,49,49,1993
1374,8709852100,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1993
1418,24305135100,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1993
1442,57199601841,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1993
1483,57104958500,2,2,2,7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1993
1500,7005318353,1,2,2,3,3,3,4,4,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,1993
1530,16157477600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1993
2037,6604014834,2,3,6,9,10,10,12,12,12,12,14,14,16,16,16,18,18,20,21,22,22,22,22,22,22,22,1993
2062,6508056979,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1993
2147,7005296843,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1993
2165,6603108536,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1993
