Unnamed: 0,ID,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
2197,6506208823,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
2237,7101766675,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
2279,6602509846,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,2004
2306,57196655437,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2004
2355,55534140961,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2004
2384,6602452487,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2004
2392,55888269800,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2004
2405,6507512730,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
2410,23975627600,3,3,3,3,4,4,4,7,8,8,8,9,9,10,10,2004
2412,6505561198,2,2,2,2,4,4,4,7,10,10,10,10,10,10,10,2004
2434,22333659000,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
2438,35495413600,8,8,8,8,8,8,8,8,8,22,22,22,22,22,22,2004
2467,6603832406,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
2501,6506691204,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
2700,36766255500,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
2707,6508370575,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
2731,7005529009,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
2737,56524368600,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,2004
2781,7005940891,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,2004
2872,6505667397,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2004
2879,24343470300,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2004
2901,6506247514,4,4,7,7,7,7,7,9,9,9,9,9,13,13,13,2004
2913,56268440100,7,7,7,7,7,7,13,13,13,13,13,13,13,13,13,2004
2986,6602182508,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2004
3022,57196074966,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,2004
3085,56001046200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2004
3114,6505778641,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2004
3116,22433529700,2,2,2,2,2,4,6,6,6,6,6,6,24,24,29,2004
3164,8885586900,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
3189,8437455400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
3248,6601970604,17,17,17,28,35,35,35,49,49,49,64,75,75,84,84,2004
3297,22433668000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
3325,10038902900,5,7,8,10,14,14,21,23,26,30,30,30,34,34,35,2004
3334,6507112233,20,20,20,28,28,28,28,28,28,28,28,28,28,28,33,2004
3354,56216326200,1,1,1,1,1,1,1,1,4,4,4,4,4,4,12,2004
3402,6508000980,17,21,21,23,23,23,23,23,23,23,23,23,23,23,23,2004
3445,55944243500,1,1,1,1,1,2,6,6,10,10,11,11,11,11,17,2004
