Unnamed: 0,ID,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
2707,8134743800,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,2003
2724,6506422789,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
2729,8728011000,3,4,4,4,6,6,6,6,9,9,9,12,13,13,13,13,2003
2734,6506288100,4,4,4,4,5,5,6,8,9,9,9,9,9,9,9,9,2003
2754,6506771855,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2003
2802,6507968288,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2003
2827,56216959400,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2003
2878,6506663461,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2003
2911,35305025100,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2003
2916,7004137330,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2003
2930,6602585257,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2003
2933,55978046100,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2003
2975,22981687400,2,3,3,3,4,5,5,8,13,13,22,24,30,34,38,47,2003
2979,55804397300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2003
3001,23467230400,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
3043,24343609200,8,8,8,8,16,30,50,54,63,63,67,67,67,67,67,67,2003
3081,7007164623,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
3088,6506177259,4,5,5,5,5,17,17,19,19,19,19,19,19,19,19,19,2003
3097,56617780700,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
3123,7003754962,2,3,3,11,14,14,19,23,26,26,31,31,31,32,32,32,2003
3131,14053492500,3,3,7,7,7,11,13,13,13,13,13,15,19,21,23,41,2003
3138,7201718132,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
3139,6603414724,22,22,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2003
3175,6602882266,2,3,3,5,5,5,5,5,5,8,8,8,10,10,10,10,2003
3192,23767881700,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
3226,6506416902,1,1,1,1,1,1,1,1,3,3,3,6,7,7,7,12,2003
3239,10739703300,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2003
3249,17434913000,3,5,5,10,10,10,10,11,12,22,32,32,38,38,47,50,2003
3266,7006218279,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2003
3294,55239117100,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
3354,6603925966,5,5,5,5,5,5,5,5,5,5,5,12,12,12,12,12,2003
3446,57192923969,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
3529,7003440435,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2003
3560,7006630065,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2003
3661,6506211207,1,1,19,19,20,20,20,20,20,20,20,20,20,20,20,44,2003
3666,56236610100,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2003
3679,9733243800,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
3739,16641447700,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
3741,7006664030,32,78,84,84,105,115,121,124,139,149,154,166,169,169,169,183,2003
3790,24075332600,1,1,6,7,10,10,12,12,13,13,15,18,18,18,19,19,2003
