Unnamed: 0,ID,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
70,55945636700,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1995
200,6701760555,2,2,6,6,6,12,12,12,12,22,22,26,39,49,57,57,57,69,69,69,71,76,76,81,1995
685,7801589808,3,3,3,3,3,6,6,7,7,8,8,8,8,8,8,8,21,21,28,28,28,28,28,28,1995
753,26643275400,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1995
1189,7006470900,3,3,3,3,3,3,3,4,4,4,4,11,12,12,12,12,18,21,23,29,29,29,34,34,1995
1237,56064235100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995
1388,57117171900,2,2,2,2,3,3,3,3,3,3,3,7,7,7,10,11,11,16,19,21,24,27,28,28,1995
1681,57191526157,2,2,2,5,5,7,7,11,11,11,11,17,19,23,27,38,48,52,66,67,76,90,94,94,1995
2108,7006019194,7,7,7,7,7,11,11,11,11,11,11,24,24,28,28,43,47,53,69,69,69,69,69,69,1995
2278,7006943609,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995
2401,57196396429,3,3,3,3,3,23,23,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1995
2477,6603118231,1,1,1,1,7,7,7,7,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,1995
2570,7006783180,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
2675,7004181133,2,2,2,2,9,9,9,9,9,9,14,14,18,21,24,27,30,32,32,37,37,37,37,39,1995
3073,7003344442,5,9,18,18,28,31,34,35,35,35,36,39,43,46,47,47,47,47,47,47,47,47,47,47,1995
3164,6603033095,2,2,5,5,9,11,11,13,13,15,16,18,28,33,35,39,43,46,47,48,50,52,57,58,1995
3209,6603295605,2,4,5,9,13,15,15,22,22,22,22,22,22,27,27,33,33,33,33,33,48,50,53,53,1995
3242,7006276528,2,2,2,2,2,2,7,8,9,9,9,9,9,9,9,9,9,11,11,13,13,25,29,32,1995
3269,7005170445,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1995
3480,6602242543,3,3,3,3,3,3,3,3,3,3,3,4,7,7,7,7,11,13,20,20,23,23,23,23,1995
3571,56261556300,1,1,1,4,4,4,14,15,16,16,16,18,19,26,29,29,30,32,32,34,34,35,38,41,1995
3596,7007010465,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,1995
3831,55934464100,2,6,6,6,6,6,6,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,14,21,1995
3953,36040796700,2,3,3,4,4,6,7,8,10,10,10,10,10,10,12,12,14,14,14,14,14,14,14,14,1995
4056,24428805500,1,2,2,2,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,10,10,10,10,10,1995
4417,7005788982,2,2,2,2,2,2,3,3,3,3,6,6,6,15,19,19,19,21,21,21,22,22,22,22,1995
5184,35580567700,4,4,4,8,9,11,11,11,13,13,13,15,24,27,28,28,30,30,32,32,32,32,32,34,1995
5482,6505966874,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
5746,7102895439,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
5770,7801382794,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995
5959,6603361103,2,4,5,5,5,7,8,8,9,11,15,17,23,25,25,31,41,44,47,50,53,53,57,67,1995
6102,7005911153,6,6,11,11,17,21,22,22,22,22,22,23,23,23,23,23,23,25,25,28,28,28,34,34,1995
6115,6604025140,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1995
6429,7102257884,3,3,7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1995
