Unnamed: 0,ID,2018,start_year
13,35575819100,12,2018
16,56985435800,8,2018
59,57205427735,2,2018
67,8525292600,6,2018
83,56079662200,7,2018
85,57204397298,4,2018
116,55452991000,6,2018
123,57203179449,4,2018
131,56245385900,6,2018
147,24464505800,1,2018
150,16070341400,2,2018
172,57203101107,4,2018
187,55629547200,2,2018
205,10044860900,9,2018
216,57205349755,5,2018
221,57206490200,4,2018
238,57203229438,12,2018
244,56305691900,2,2018
248,57204440999,6,2018
276,57193844980,8,2018
278,57195559331,3,2018
285,6603096510,9,2018
299,57190980395,9,2018
327,57194835427,10,2018
329,57207468590,9,2018
352,7103138947,3,2018
382,6603212866,3,2018
386,56548968900,6,2018
393,57190573713,4,2018
432,6602293547,10,2018
441,56452559000,29,2018
444,57202889895,2,2018
448,57163047100,2,2018
456,57021574800,5,2018
474,36240772300,2,2018
482,57203204624,3,2018
515,57195940191,6,2018
523,57206736873,1,2018
525,55346238800,3,2018
567,56747980200,6,2018
586,56257263600,85,2018
591,7410389613,3,2018
602,35579517100,4,2018
605,57194144148,2,2018
624,57203964565,7,2018
659,57202308622,2,2018
664,23501064100,3,2018
665,57202293265,3,2018
673,57190001162,7,2018
689,6506175112,8,2018
713,57203228472,3,2018
721,36177268800,4,2018
729,57205205269,3,2018
731,6602704112,1,2018
751,12647414100,9,2018
754,56135211500,25,2018
760,37091588100,6,2018
776,57192113111,4,2018
786,56086562300,7,2018
793,37080173500,2,2018
812,57189464937,2,2018
816,57194829795,3,2018
823,35335928400,16,2018
828,56500665400,10,2018
865,57189067538,3,2018
867,35608588800,4,2018
879,57205276364,4,2018
880,57193837049,5,2018
895,35097705100,53,2018
901,57193573319,34,2018
906,57202218414,7,2018
916,55198926300,5,2018
941,25031812100,4,2018
964,57190854987,8,2018
974,56195317700,6,2018
989,57203753228,3,2018
1007,57204151682,18,2018
1018,6503944394,22,2018
1023,57192708193,5,2018
1053,57204921300,3,2018
1055,57132195300,4,2018
1056,57205197386,2,2018
1076,55227532300,6,2018
1120,56857628600,5,2018
1128,6506173536,17,2018
1142,7004580383,8,2018
1156,57207659369,5,2018
1158,57202452343,20,2018
1159,56841677200,34,2018
1160,57188925334,7,2018
1162,57193717368,3,2018
1173,14834116500,11,2018
1177,13606583600,3,2018
1181,55647164349,9,2018
1221,24171745600,3,2018
1233,57202463996,2,2018
1265,57205865258,9,2018
1266,55547286400,6,2018
1268,57190765982,17,2018
1272,6506963115,4,2018
1298,57201524269,4,2018
1302,55776619300,3,2018
1322,55920231400,46,2018
1329,57203979023,3,2018
1342,57202195982,4,2018
1364,57199121290,4,2018
1367,7006536439,8,2018
1372,16152544600,3,2018
1397,57202019974,3,2018
