Unnamed: 0,ID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
43,7005865095,6,6,6,6,6,6,6,6,6,6,6,8,2007
80,23008692200,43,43,62,62,62,62,62,62,62,62,62,62,2007
106,7103065327,3,3,3,3,12,12,12,21,34,34,36,36,2007
108,6508252665,4,9,9,9,9,9,9,9,9,9,9,9,2007
117,24469712500,4,6,6,9,11,11,14,14,15,15,15,15,2007
126,18437015900,2,2,2,2,2,2,2,2,2,2,2,2,2007
167,57204345850,3,3,3,6,6,6,6,7,13,16,16,16,2007
196,13005751700,10,10,10,10,10,10,10,10,10,10,10,10,2007
197,6508024595,4,4,4,4,4,4,4,4,4,4,4,4,2007
202,55715631800,4,4,4,4,4,4,4,4,4,4,4,4,2007
203,23100304500,9,9,9,9,9,9,9,9,9,9,9,9,2007
224,56030195400,4,4,4,4,4,4,4,4,4,4,4,4,2007
228,26767632400,1,1,1,1,1,1,1,1,1,1,1,1,2007
253,57194907127,5,5,5,5,5,5,5,5,5,5,5,5,2007
319,26026181500,2,2,3,6,6,6,9,9,9,9,9,9,2007
331,23984606900,3,3,3,3,3,3,3,3,3,3,3,3,2007
339,16178095900,1,1,1,1,1,1,1,1,1,1,1,1,2007
351,24722993500,2,2,2,2,2,2,2,2,2,2,2,2,2007
368,55738721200,2,2,5,5,5,5,5,5,5,5,5,5,2007
372,23397629300,3,3,4,4,4,4,4,4,4,4,4,4,2007
379,8319802300,4,6,6,6,6,6,6,6,6,6,6,6,2007
402,8552286100,1,1,1,1,1,1,1,7,7,7,7,7,2007
422,6507778855,7,7,7,7,7,60,60,60,60,60,60,60,2007
434,16417168600,1,1,1,1,1,1,1,1,1,1,1,1,2007
511,37091242100,13,13,13,13,13,13,13,13,13,13,13,13,2007
526,55912445100,5,5,5,5,5,5,5,5,5,5,5,5,2007
561,22940989000,2,2,2,2,2,2,2,2,2,2,2,2,2007
630,23006340400,3,3,3,3,3,3,3,3,3,3,3,3,2007
698,7005170650,1,1,1,1,1,1,1,3,8,8,11,11,2007
730,54985679700,6,6,6,6,6,6,6,6,6,6,6,6,2007
