Unnamed: 0,ID,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
1,6508297663,4,4,4,4,4,7,7,8,8,8,8,8,8,8,2005
9,8852651700,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2005
11,8980426100,2,5,6,8,14,14,22,24,24,29,34,34,51,53,2005
71,57203533737,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2005
79,14019498900,3,4,4,7,7,12,12,13,13,13,13,15,15,15,2005
149,56399300100,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2005
268,8894614600,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
269,17134577000,1,1,2,2,2,3,8,8,8,8,8,9,11,12,2005
272,7407378316,7,8,8,8,8,8,8,8,8,8,8,8,8,8,2005
333,26643312600,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2005
342,7005730125,10,10,10,19,19,19,19,19,19,19,19,19,19,19,2005
377,14831456100,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
397,7003711298,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2005
412,6603780207,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
438,8357416500,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
478,7005676879,14,14,14,14,14,22,22,22,22,22,22,22,22,22,2005
493,57200783233,38,38,38,38,38,38,38,38,38,38,38,38,38,38,2005
508,8286910100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2005
529,16635523100,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
545,7005877653,3,3,3,3,3,7,7,7,7,7,7,7,7,7,2005
560,13104887800,4,4,4,4,4,7,7,7,7,7,7,7,7,7,2005
590,13607175900,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
594,6507025980,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2005
687,7801627219,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
742,8403722600,1,3,3,3,3,3,3,3,3,3,3,3,3,6,2005
743,6505635037,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
755,22333263900,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2005
784,8706421200,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
819,12141109900,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
837,6701417695,1,1,1,1,1,1,1,5,5,5,5,5,5,5,2005
854,57195724819,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
887,11140790500,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2005
1015,7006797863,5,9,9,9,9,9,9,9,9,9,9,9,9,9,2005
1052,6603351085,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2005
1065,10142859300,3,4,7,10,12,17,23,23,25,25,25,25,25,25,2005
1082,15923420900,7,13,19,22,25,25,28,32,35,42,47,48,48,49,2005
1113,55665644100,2,2,2,4,4,4,4,6,6,6,6,6,6,6,2005
1132,55395549800,10,12,12,12,16,16,19,19,19,19,19,19,19,19,2005
1176,14016658000,4,4,5,5,5,5,5,5,5,5,5,5,5,5,2005
1258,56115733900,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2005
1286,35607176600,2,2,2,2,2,2,6,6,6,6,6,6,6,7,2005
1310,12544780400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
1312,8878656200,23,27,42,42,42,42,42,42,42,42,42,42,42,42,2005
1333,55423994500,48,48,48,48,48,48,48,48,48,48,48,48,48,48,2005
1448,13006340600,6,6,6,7,7,7,7,7,7,7,7,7,7,7,2005
1463,55002836300,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
1511,8971699800,3,3,3,3,35,35,35,35,35,35,35,35,35,39,2005
1556,8539997700,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
1559,8517932600,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2005
1562,6507306354,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2005
1586,12789909000,1,1,1,1,3,3,3,3,3,4,7,13,21,21,2005
1613,23469845400,3,5,5,7,7,7,7,7,7,7,7,7,7,7,2005
1628,7003302108,8,8,8,8,8,8,8,40,40,40,40,62,93,93,2005
1643,57203367164,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2005
1652,14518855700,2,3,3,3,3,7,7,11,11,11,19,21,23,23,2005
1665,6507313856,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2005
1708,56668817000,3,3,3,3,3,10,10,10,10,10,10,10,10,10,2005
1739,23397678200,2,2,3,5,8,8,9,9,11,12,12,14,20,29,2005
1779,8334078800,2,6,10,12,14,14,14,14,14,16,18,18,18,18,2005
1788,16743922100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2005
1807,6602978212,5,5,5,5,16,16,16,16,16,16,16,16,16,16,2005
1808,24178846200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2005
1834,7004075315,6,6,6,6,6,6,6,9,9,9,9,9,9,9,2005
1855,6508250671,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
1952,13007657500,2,2,2,5,5,8,8,15,17,17,19,19,19,19,2005
1958,57197906415,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2005
1992,8693837100,3,7,7,8,8,8,9,9,12,12,15,15,17,19,2005
2032,8596314500,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2005
2043,6603856765,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2005
2078,6603515487,3,3,4,4,4,6,6,6,7,7,9,9,11,21,2005
2131,6505586309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2005
2191,8588520200,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2005
2234,16642317200,2,2,4,4,5,5,5,7,11,11,12,12,14,14,2005
2256,8665883200,3,3,3,7,8,11,11,11,11,11,11,11,11,11,2005
2279,25638406800,1,1,1,1,3,3,3,3,3,3,5,5,5,5,2005
2360,6506645501,1,2,7,10,12,21,31,39,43,74,81,89,105,108,2005
2391,14039765600,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
2403,7003595227,1,1,1,7,7,7,7,7,7,7,7,33,33,33,2005
2419,6602159947,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2005
2429,56262780800,3,6,6,6,6,6,11,12,12,13,14,14,14,14,2005
2461,9739850400,4,8,13,17,24,24,32,33,35,45,46,49,56,56,2005
2479,56635026400,7,7,7,7,7,7,7,7,7,7,7,7,7,18,2005
2507,23092429500,2,3,3,3,3,7,7,8,9,11,13,15,15,15,2005
2578,13613875100,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
2579,6507744783,2,2,2,2,2,2,2,2,2,2,2,2,9,9,2005
2602,6506485127,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2005
2607,35787936200,4,5,5,5,5,5,7,7,7,7,7,7,7,11,2005
2613,13008204000,2,2,2,8,8,8,8,8,8,8,8,8,8,8,2005
2635,6602387655,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2005
2667,14032993800,3,5,5,5,5,5,5,5,5,5,5,5,5,5,2005
2736,16177563000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
2740,21739690800,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
2769,6602732768,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2005
2779,7004083299,5,5,5,5,11,11,14,14,14,14,14,14,14,15,2005
2790,15837711300,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
2817,56250628800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2005
2822,8959846000,2,4,4,6,6,10,10,11,12,13,13,15,16,17,2005
2839,16550617900,4,4,4,4,4,4,6,9,9,9,76,76,76,76,2005
2871,55707316500,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
2875,15521074700,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
2902,7004033219,8,11,12,12,12,12,12,12,12,12,12,12,12,12,2005
2967,8860022200,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2005
3030,7006520566,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2005
3079,7005333814,6,7,7,7,7,7,12,12,12,12,12,12,12,12,2005
3163,6506882001,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
3168,7005532755,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
3173,55604019400,5,5,6,13,16,16,18,22,36,45,49,60,65,65,2005
3179,8846837500,6,6,6,14,16,16,16,20,21,21,21,21,21,21,2005
3182,13105671300,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2005
3218,8227559800,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
3236,6701720058,4,4,4,4,4,4,8,8,8,8,8,8,8,8,2005
3263,6507119311,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2005
3295,8546094600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2005
3345,6602575815,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
3372,57196669317,5,5,5,5,8,8,8,8,8,8,8,8,8,8,2005
3440,12546190900,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2005
3458,15070161600,3,4,5,7,7,7,7,7,7,7,7,7,7,7,2005
3508,55580318300,4,4,4,4,4,4,4,4,4,4,4,13,13,13,2005
3534,6506471121,13,13,13,13,14,14,14,14,14,14,19,19,19,19,2005
3539,6602921174,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2005
3557,35592489100,6,6,6,9,9,9,9,9,9,9,9,9,9,9,2005
3612,15136752000,9,14,14,14,14,14,14,14,14,14,14,14,14,14,2005
3628,7005741798,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2005
3663,15922467200,7,11,11,11,11,11,11,11,11,11,11,11,11,11,2005
3670,14028497800,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2005
