ID,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
16647629300,2,2,5,9,9,9,12,18,18,18
35182485100,17,18,24,24,24,24,40,40,40,40
16549448700,5,5,17,17,17,17,21,26,26,26
26322177400,4,4,4,4,4,4,4,4,4,4
35226165500,3,3,3,3,3,3,3,3,3,3
34880389100,0,2,2,2,2,2,2,2,2,2
35076902200,0,0,2,2,2,5,9,9,11,13
34979238400,4,4,4,4,4,10,10,10,33,33
55312131100,0,0,0,2,2,2,2,2,2,2
6504763098,1,1,1,1,1,1,1,1,1,1
56450461900,1,1,1,1,1,1,1,1,1,1
14056573000,4,9,9,9,9,9,9,9,9,9
7102415326,0,6,6,6,6,6,6,6,6,6
6505920401,0,0,0,0,0,0,0,78,78,112
26425023900,0,0,0,5,5,5,5,5,5,5
25823366100,2,2,3,3,6,6,6,6,6,6
26635763700,0,0,0,0,0,2,2,2,2,2
7004272195,5,5,6,6,6,6,6,6,6,6
6603123732,13,13,13,13,13,13,13,13,13,13
36159311900,0,0,0,12,12,13,13,13,13,13
56597543700,2,2,2,2,2,2,2,2,2,2
35868023100,6,6,6,6,6,6,6,6,6,6
57195529441,1,1,1,1,3,6,6,6,8,8
26640856900,0,0,0,0,0,0,0,0,16,16
35253501500,0,0,3,3,3,3,3,3,3,3
35148674400,1,1,1,1,1,1,1,1,1,1
7003486376,3,8,8,8,8,8,8,8,8,8
27467638000,2,4,4,15,15,15,15,15,15,15
57197222348,2,2,2,2,2,2,2,2,2,2
55036442600,0,9,9,9,9,45,45,45,45,69
36918481800,0,5,5,5,5,5,5,5,5,5
23978348200,0,0,0,0,0,8,8,10,10,11
7102921516,3,3,3,3,3,3,3,3,3,3
16229393700,7,12,12,12,12,12,12,12,12,12
35179363000,0,0,0,0,0,0,0,2,2,2
6603748349,0,0,0,0,0,0,9,9,9,9
13310286800,5,5,5,5,5,5,5,5,5,5
23768005200,0,0,0,0,0,0,0,0,8,26
29068026200,0,0,0,0,0,6,6,6,6,6
9942956800,4,4,8,8,8,8,12,28,43,57
35276255400,8,8,8,8,8,8,8,11,11,11
35145708800,6,6,6,6,6,6,6,6,6,6
8092430100,4,4,6,6,7,8,8,8,9,9
57199396124,8,8,8,8,8,8,8,8,8,8
35271092200,3,3,3,3,3,3,3,3,3,3
25628158400,0,0,0,0,0,0,0,0,0,5
47061060000,5,5,6,6,6,6,6,6,6,6
36615560200,2,2,2,2,2,2,2,2,2,2
35226484600,13,13,13,13,13,13,13,13,13,13
26039562300,0,0,17,17,17,17,17,17,17,17
25957633800,0,0,0,0,0,6,6,6,6,6
14831857200,3,4,15,21,27,31,42,48,53,65
36807284800,1,1,1,1,1,1,1,1,1,1
35146662800,0,2,2,2,2,2,2,2,2,2
35204372400,2,3,3,6,6,9,11,17,41,43
22961156500,0,0,0,0,0,0,0,4,4,7
16506125600,4,6,8,8,8,8,8,8,8,8
14017643700,0,0,0,0,0,0,0,0,5,5
55918790000,0,3,3,3,3,3,13,13,25,25
21935067700,0,0,0,0,0,0,0,0,39,43
15052098800,0,0,0,0,16,16,16,16,16,16
25639040500,0,0,0,0,4,5,7,9,9,9
35811580800,0,0,0,1,1,1,1,1,1,2
35092968300,2,2,2,2,2,2,2,2,2,2
26427753800,2,5,6,15,16,16,16,16,16,16
6701576158,0,0,0,0,0,0,0,0,5,5
19638440700,4,4,5,5,5,5,5,5,9,9
25628094900,3,3,3,5,5,5,5,5,5,5
36022692400,4,4,12,15,15,17,18,19,19,19
35790702800,5,5,5,5,5,5,5,5,5,5
6701413184,0,0,0,5,5,5,9,9,14,14
35748950700,4,4,6,8,15,15,15,16,16,16
6602378446,0,0,0,1,1,1,1,1,2,2
8696710100,0,0,0,0,0,0,3,3,3,3
35247753000,0,0,0,4,4,4,4,4,4,4
57198024499,7,9,15,15,15,15,15,15,17,17
34976543000,2,2,3,4,4,4,4,4,4,4
35147864000,2,2,6,6,6,6,6,6,6,6
7007023897,0,0,0,0,0,0,0,0,20,20
32867515500,2,2,2,2,7,7,7,7,7,7
6602300871,0,0,0,58,58,103,103,166,166,238
26433067100,0,6,6,6,6,6,6,6,6,6
57191268442,2,2,2,4,6,6,6,6,6,6
35173725500,0,0,3,3,3,3,3,3,3,3
6603793044,0,0,0,1,1,1,1,1,1,1
9734730000,4,4,6,6,7,8,9,9,9,9
26531384800,5,5,6,8,8,8,8,8,8,8
57197229859,13,13,13,13,13,13,13,13,13,13
35101354500,3,3,4,4,4,4,4,4,4,8
6602508569,29,29,29,29,29,29,29,29,29,29
26635447400,0,0,5,10,10,10,10,10,10,10
27867805500,5,11,11,11,14,16,16,61,61,61
36625963300,4,4,4,4,4,4,4,4,4,4
34771280000,1,1,1,1,1,6,7,7,7,7
35309628600,0,3,4,4,4,4,4,4,4,4
26649351300,2,2,5,8,8,8,8,8,8,8
55793189029,0,0,0,0,0,0,0,0,9,9
12345096900,21,21,21,24,24,24,41,41,41,41
25923909500,0,0,0,0,0,0,2,2,2,2
23476581200,3,3,3,3,3,5,7,7,7,7
35070983600,0,10,22,29,36,36,36,62,76,109
56448213300,4,4,4,4,4,4,4,4,4,4
26658021600,0,0,0,0,0,0,0,6,6,6
35306509400,0,2,2,2,2,2,2,2,2,2
35766884700,3,3,3,3,7,7,7,7,7,7
37051150800,0,0,0,0,0,5,5,5,5,5
32668016600,4,7,8,13,16,20,20,20,20,20
6603002948,2,2,2,2,2,4,4,4,4,4
16303283700,3,7,10,12,13,15,15,17,17,17
35789802600,3,3,3,3,3,3,5,5,5,5
6603582447,0,0,12,12,12,12,12,12,12,12
