Unnamed: 0,ID,2012,2013,2014,2015,2016,2017,2018,start_year
2344,36674219200,30,30,30,30,30,30,30,2012
2388,55460991000,3,3,3,3,3,3,3,2012
2395,55598321100,3,3,3,3,3,3,3,2012
2401,6603360689,4,4,4,4,4,4,4,2012
2468,9232973200,2,2,5,5,17,21,21,2012
2474,54968739700,5,5,6,6,6,6,6,2012
2487,6505812107,2,2,2,2,4,4,4,2012
2495,6701896819,9,10,10,10,10,10,10,2012
2497,36786475300,6,6,6,6,6,6,6,2012
2523,56441548900,6,8,8,8,8,8,8,2012
2560,55937215200,6,6,6,6,6,6,6,2012
2563,56526691400,8,11,11,11,11,11,11,2012
2606,15072104100,5,5,5,5,5,5,5,2012
2612,46161352900,13,13,13,13,13,13,13,2012
2617,55496409100,5,5,5,5,5,5,5,2012
2618,55207330400,2,4,4,4,18,18,18,2012
2625,55960307400,5,5,5,5,5,5,5,2012
2643,8568874300,1,1,1,3,3,3,3,2012
2651,7103118811,5,5,8,8,8,8,8,2012
2653,35303978600,4,4,4,4,4,4,4,2012
2665,55444174100,3,3,3,3,3,3,3,2012
2667,7403240913,31,31,31,31,31,31,31,2012
2709,55365446500,3,3,3,3,3,3,3,2012
2718,6603868770,8,8,8,8,8,8,8,2012
2721,56246174400,5,5,5,7,7,7,7,2012
2751,15076854500,24,29,29,29,29,29,29,2012
2765,8977652000,4,4,4,4,4,4,4,2012
2785,7005125652,17,17,17,17,17,17,17,2012
2788,34873759400,3,3,3,3,3,3,3,2012
2801,7004088894,6,6,6,6,6,6,6,2012
2807,7003518743,4,4,4,4,4,4,4,2012
2817,53164333900,15,31,31,31,36,36,36,2012
2835,50062317300,5,5,5,5,5,5,5,2012
2867,16052685300,4,4,4,4,4,4,4,2012
2876,37057718800,2,2,2,2,2,2,2,2012
2881,55220832800,7,7,7,7,7,7,7,2012
2952,55488929900,4,4,4,4,4,4,4,2012
2968,55430994200,2,2,2,2,2,2,2,2012
2992,6603132415,3,3,3,3,3,3,3,2012
3034,26635246400,3,3,7,7,7,7,7,2012
3035,8664355300,3,3,3,3,3,3,3,2012
3037,55413425100,4,4,5,5,5,5,5,2012
3046,7004602618,4,4,4,6,10,11,11,2012
3052,55268968500,2,2,2,2,2,2,2,2012
3060,55361625500,1,2,2,2,2,2,2,2012
3076,13613683600,2,2,2,2,2,2,2,2012
3084,55533899000,7,7,7,7,7,7,7,2012
3101,55190796100,4,4,4,4,6,6,13,2012
3151,55439961200,8,8,8,8,8,8,8,2012
3157,55575328700,5,11,11,14,14,14,14,2012
3190,57201349927,5,5,5,5,5,5,5,2012
3200,56027778300,4,16,16,21,21,21,21,2012
3216,22957933900,24,24,24,24,24,24,24,2012
3242,6603429832,4,4,4,4,4,4,4,2012
3243,18042484900,4,4,7,9,13,13,15,2012
3245,55542737400,59,59,59,59,59,59,59,2012
3262,56279072100,46,63,63,63,63,63,63,2012
3268,8569127200,30,30,40,40,40,40,40,2012
3276,55886405600,2,2,2,2,2,2,2,2012
3303,7102125229,4,9,9,9,9,9,9,2012
3316,56599131400,2,2,2,2,2,2,2,2012
3322,14017770300,6,6,6,6,6,6,6,2012
3340,55534762500,3,3,3,3,3,3,3,2012
3366,24476273800,19,24,24,24,24,24,24,2012
3375,6601992370,8,8,8,8,8,8,8,2012
3376,7003946927,9,22,22,22,22,22,22,2012
3382,34870896000,2,2,2,2,2,2,2,2012
3428,7403032496,1,9,9,9,9,9,9,2012
3434,7003344927,29,29,29,29,29,29,29,2012
3441,8899520500,47,47,61,61,81,81,101,2012
3474,19638413800,4,4,4,4,4,4,4,2012
3490,24766646600,8,8,8,8,8,8,8,2012
3554,55111049900,7,7,29,34,34,34,34,2012
3562,57196814360,11,11,11,11,11,11,11,2012
3573,36464991300,2,2,2,2,2,2,2,2012
3576,54586143600,19,19,19,19,19,19,19,2012
3598,55263344300,3,3,3,3,3,3,3,2012
3603,56081377700,19,19,19,19,19,19,19,2012
3614,55322349800,2,2,2,2,2,2,2,2012
3645,55364829300,1,1,3,3,3,3,3,2012
3651,19639164500,5,5,5,5,5,5,5,2012
3667,55316975300,2,2,2,2,2,2,2,2012
3736,22933748200,7,7,7,7,7,7,7,2012
3747,55551921100,5,5,5,5,5,5,5,2012
3749,55331331600,2,2,3,3,3,3,3,2012
3764,56084489000,4,4,4,4,4,4,4,2012
3770,56786467200,2,2,2,2,2,2,2,2012
3785,55248278500,1,1,1,1,1,1,1,2012
3833,57203131591,31,31,31,31,31,31,31,2012
3842,56085168200,3,14,14,14,14,14,14,2012
3851,23501411400,2,4,4,4,4,4,4,2012
3854,55303419200,5,5,5,5,5,5,5,2012
3857,26654148900,16,23,23,23,23,23,23,2012
3865,7003343329,8,8,8,8,8,8,8,2012
3869,25723719000,2,2,2,2,2,2,2,2012
3872,55703770200,4,4,4,8,8,8,8,2012
3896,7005863798,6,6,6,6,6,6,6,2012
3898,35227260700,62,70,82,82,88,88,88,2012
3903,36872230700,4,4,4,4,4,4,4,2012
3906,36165131200,2,5,5,5,8,9,16,2012
3920,55633965000,3,3,3,3,3,3,3,2012
3929,36241067100,4,4,4,4,4,4,4,2012
3933,7005674425,2,4,4,4,4,4,4,2012
3939,55312131100,2,2,2,2,2,2,2,2012
3956,53164715400,5,5,5,5,5,5,5,2012
3967,22033609500,9,9,9,9,9,9,9,2012
4014,7005212046,10,10,10,10,10,10,10,2012
4030,23033204800,28,28,30,30,31,31,31,2012
4104,25825020700,4,4,4,4,4,4,4,2012
4121,7006563068,2,2,2,2,2,2,2,2012
4124,56253769500,7,7,7,7,7,7,7,2012
4139,24802681800,4,4,4,4,4,4,4,2012
4147,12042505800,2,2,2,2,2,2,2,2012
4151,26425023900,5,5,5,5,5,5,5,2012
4155,8248398400,12,12,14,14,14,14,30,2012
4187,55183460700,2,2,2,2,2,2,2,2012
4191,6505923699,11,11,11,11,11,11,11,2012
4192,55328141200,2,2,2,2,2,2,2,2012
4202,57094878200,6,6,6,6,6,6,6,2012
4211,7003444816,6,6,6,6,6,6,6,2012
4245,57194571217,6,6,7,7,7,7,7,2012
4250,8901243000,15,15,15,15,15,15,15,2012
4286,55428692000,3,3,3,3,3,3,3,2012
4300,56370728300,3,3,5,5,5,5,5,2012
4307,36159311900,12,12,13,13,13,13,13,2012
4309,6701734948,5,5,5,5,6,6,6,2012
4312,23668182400,10,10,10,10,10,10,10,2012
4328,55110452500,13,13,13,13,13,13,13,2012
4329,57101226400,4,4,4,4,4,4,4,2012
4330,57197257164,2,6,6,6,6,6,6,2012
4338,36470166200,4,4,5,9,9,9,12,2012
4358,57198290813,3,3,3,3,3,3,3,2012
