Unnamed: 0,ID,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
5789,6602221442,1,5,5,5,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1998
5961,7006159104,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1998
5965,7004143529,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,13,13,16,16,1998
6013,6603931236,2,3,5,5,6,6,6,7,7,7,7,7,10,14,17,17,17,17,17,17,17,1998
6084,6602653283,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1998
6265,6507913073,2,3,3,3,6,6,15,21,21,26,27,27,32,32,32,32,32,32,64,64,70,1998
6332,6602358438,2,2,2,2,2,2,2,2,3,5,5,5,6,6,7,7,7,7,7,11,11,1998
6364,7404045257,12,14,14,14,14,14,14,14,18,19,19,19,19,19,19,19,19,19,19,19,19,1998
6439,7202122991,2,4,7,8,10,15,15,19,19,19,19,19,19,23,23,23,27,27,27,27,27,1998
6452,7004085808,1,1,1,1,5,6,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,1998
6463,7004835803,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1998
6620,57193551665,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,19,19,19,19,19,1998
6855,6701419829,1,1,1,1,1,2,2,2,3,3,3,4,4,8,8,8,8,8,8,8,8,1998
7356,7101942080,3,3,3,10,12,17,24,25,30,49,51,93,106,114,129,132,143,158,174,190,198,1998
7370,7402144024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1998
7397,7402896880,2,2,2,2,3,5,6,6,8,8,8,12,13,13,13,14,17,19,31,33,33,1998
7713,6603681338,3,3,3,3,4,4,7,7,7,7,7,7,18,18,19,19,19,19,19,19,19,1998
7783,6701608941,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1998
8098,7003418990,3,3,3,7,7,12,12,12,14,21,23,24,36,36,38,38,38,38,38,41,41,1998
8104,6603478625,2,2,4,4,4,4,4,4,5,8,11,21,24,24,25,25,25,25,25,25,25,1998
8110,13613076500,5,12,13,13,13,13,13,13,13,13,14,14,14,15,15,15,15,15,15,15,15,1998
8146,7006381851,5,8,10,10,10,10,10,10,10,10,11,11,14,14,14,19,19,22,22,22,22,1998
8633,15059874600,1,1,1,1,1,1,1,1,1,1,1,1,3,7,11,14,18,22,32,46,55,1998
8760,7102110919,4,5,5,6,6,7,9,10,10,14,21,23,26,34,39,39,39,43,44,48,48,1998
8770,56247683800,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1998
8911,7005841886,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,1998
8947,7103018112,1,1,4,4,5,7,7,8,8,8,8,8,8,9,9,11,11,23,23,25,25,1998
8979,9434909000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84,84,84,84,1998
9017,23389572300,2,2,2,2,2,2,2,3,8,10,10,10,14,24,34,37,41,51,58,62,68,1998
9063,6508004152,4,4,4,4,4,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,18,1998
9139,55965366000,4,4,5,10,10,11,14,17,22,22,22,25,27,33,34,34,35,36,41,42,42,1998
9180,6508022939,6,6,6,6,6,6,6,6,9,10,17,22,24,24,25,26,26,26,26,26,26,1998
9464,8576050000,6,6,6,6,6,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,1998
9505,6508269203,4,4,4,4,4,4,4,4,4,8,8,8,12,13,13,13,13,15,15,15,15,1998
9725,7202349865,3,3,3,3,3,3,3,3,3,3,3,3,5,15,15,15,15,16,16,23,23,1998
9755,15623882500,1,3,3,5,9,9,11,14,16,18,19,24,27,27,33,45,47,55,55,55,55,1998
9759,7003533665,2,2,9,9,9,9,9,9,9,9,9,9,9,9,14,14,14,14,14,18,18,1998
9799,7004183661,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,4,1998
9921,6506923629,3,4,4,6,6,6,7,7,9,11,13,17,17,17,26,31,32,38,43,47,55,1998
10246,6603910743,15,15,15,15,15,15,30,30,88,88,88,88,91,91,91,91,91,91,176,176,182,1998
10247,7006155193,3,3,3,3,3,3,4,7,7,7,10,10,10,10,10,10,10,10,10,10,10,1998
10333,7003761166,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,18,18,18,18,18,18,1998
10361,14021132900,2,4,5,5,5,8,8,9,10,11,15,18,20,21,25,26,26,29,29,33,33,1998
10441,7004035387,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1998
10526,6602405521,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,5,8,8,8,8,1998
10552,6602175758,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1998
10571,6601930165,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1998
10830,57194073410,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1998
10851,7006178166,40,40,40,40,40,40,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,1998
11362,6505953522,4,4,4,4,4,4,4,4,7,7,7,9,9,9,9,9,9,9,9,9,9,1998
11364,7005603490,14,14,18,18,102,118,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,1998
11530,6603092337,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1998
11673,16436160200,37,53,53,53,53,53,53,53,53,107,107,107,107,107,107,107,107,107,107,107,107,1998
11675,7004130199,10,10,10,10,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1998
11800,6603761021,3,3,3,4,6,6,6,6,8,10,11,13,16,17,19,19,21,21,25,25,26,1998
11861,14037197600,1,1,1,1,6,6,6,8,13,14,18,18,18,20,21,22,22,22,22,28,30,1998
11939,6506565103,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1998
12002,57190724692,3,7,7,14,14,14,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,1998
12120,56261618100,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1998
12147,6601977665,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,1998
12249,35444600200,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1998
12459,35556336100,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1998
12699,7006751122,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1998
12843,7801436487,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1998
13208,6602869092,4,4,5,5,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,1998
13222,35606387000,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,1998
13268,6701606366,4,4,5,5,5,5,6,9,9,9,9,11,13,14,17,20,27,27,27,30,30,1998
13275,7005064554,4,4,4,4,4,4,4,8,10,10,10,10,10,10,10,10,10,10,10,10,10,1998
13391,24321838000,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1998
13446,8133204900,10,25,25,25,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1998
13563,57204349691,4,4,6,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1998
13597,6602950214,2,2,2,4,4,4,4,4,4,4,12,12,12,12,12,12,12,12,12,12,12,1998
13652,56038759800,2,2,3,3,5,5,5,5,5,6,6,6,9,9,9,11,11,11,11,11,11,1998
13856,12799869300,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,1998
13912,6603289652,5,5,5,5,5,5,5,5,5,5,5,7,10,10,10,10,10,11,11,11,11,1998
14013,23091663200,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1998
14025,16175828300,2,2,5,5,5,5,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,1998
14204,55704334100,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1998
14237,24829648800,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,1998
14587,7401512474,37,53,53,53,53,53,53,53,53,107,107,107,107,107,107,107,107,107,107,107,107,1998
14679,6602863188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1998
14696,7003775790,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1998
14746,7003959172,6,6,6,6,15,16,29,43,46,52,61,63,71,76,89,91,93,93,97,97,97,1998
14789,7004943370,17,17,35,35,150,166,192,199,242,243,280,280,280,286,383,387,419,433,479,485,489,1998
15027,6508075854,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1998
15050,7005207621,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,1998
15112,6507779455,2,2,2,2,4,4,4,4,7,9,9,9,9,12,12,14,16,17,19,19,21,1998
15142,7003313654,9,9,9,9,9,9,9,9,68,77,83,83,83,83,83,83,83,83,83,83,83,1998
15422,24351791100,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,10,10,1998
15670,6602743930,29,29,33,33,38,38,49,49,103,103,145,145,164,164,189,189,247,247,413,413,495,1998
15861,35242899800,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,7,7,10,10,1998
16180,7102620818,4,4,4,4,4,4,4,13,13,33,33,49,81,87,87,102,102,109,109,109,109,1998
16271,7006270511,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1998
16322,6602303697,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1998
16348,6603677796,8,9,13,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1998
16490,7006444416,10,10,10,17,17,17,27,27,27,27,27,27,27,27,27,27,27,27,27,33,33,1998
16514,7402213617,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1998
16624,6602980250,3,3,4,4,10,13,14,14,14,15,15,23,24,24,24,28,28,29,30,34,35,1998
16889,7201826638,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,8,8,8,1998
16973,6603572948,8,8,8,8,8,8,8,8,8,11,11,11,15,15,22,32,32,32,32,38,38,1998
17139,7004303091,9,9,9,9,9,9,26,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1998
17222,6603631865,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1998
17224,22333533900,2,2,8,9,9,9,14,14,15,15,18,20,22,24,26,26,26,27,27,27,27,1998
17298,7004073960,9,9,9,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1998
17406,55904203100,1,1,1,1,3,6,8,12,12,12,15,15,16,20,20,28,28,30,34,39,40,1998
17630,56240232600,3,3,3,3,16,16,16,16,16,16,16,16,16,16,19,19,19,19,19,41,52,1998
17678,7005102494,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,5,5,5,1998
17690,24516496600,9,14,14,14,14,14,14,14,29,29,29,29,29,29,29,29,29,29,29,29,29,1998
17730,14121441800,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1998
17848,6603566098,15,15,15,16,16,16,18,18,23,23,24,26,26,27,30,31,31,31,31,31,31,1998
17869,55275710100,2,2,2,2,2,2,2,2,2,12,18,20,20,20,20,20,20,21,24,24,24,1998
17871,6507586696,1,2,2,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1998
18021,24779985600,3,3,3,3,3,3,3,3,3,3,3,12,15,15,15,15,15,15,15,15,15,1998
18111,8722450100,4,4,4,4,4,4,4,9,9,9,9,9,20,23,23,23,23,23,25,25,25,1998
18414,6602188705,2,2,3,6,6,7,9,10,10,12,18,25,30,33,36,43,43,48,49,53,55,1998
18502,55663419200,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1998
18600,6701818965,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1998
18642,7006369753,5,5,5,5,5,5,7,7,8,9,9,9,9,17,18,18,18,18,21,21,21,1998
18780,7003735479,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1998
18792,53872377600,4,4,4,4,6,6,6,7,7,7,10,10,10,10,11,23,23,23,31,31,31,1998
18813,7006005041,1,1,1,1,1,3,3,3,4,4,9,12,14,16,20,23,24,24,32,34,46,1998
18907,6701855832,12,12,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1998
19072,6507455481,2,2,2,2,2,2,2,2,2,8,8,8,17,17,17,19,19,19,24,29,34,1998
19079,6508321568,3,4,4,4,4,5,6,6,7,11,13,15,15,16,16,17,19,21,26,29,29,1998
19137,13008634900,5,5,5,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1998
19146,7006829147,6,6,6,20,20,23,56,56,74,74,79,79,83,90,91,99,110,122,128,129,130,1998
19166,56368980200,5,5,5,5,8,8,8,8,8,8,37,37,43,82,106,107,111,111,141,141,163,1998
19263,25947493100,1,2,3,3,3,10,10,15,17,17,20,22,23,25,35,38,44,44,44,44,47,1998
19266,16177668800,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,12,1998
19440,6602869235,5,5,5,5,5,5,5,5,5,5,5,5,5,11,11,11,11,11,16,16,16,1998
19707,7005918739,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,1998
20539,6603270197,2,2,2,2,2,2,3,6,7,13,20,24,24,24,30,30,35,35,35,35,35,1998
