Unnamed: 0,ID,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
71,7003667638,1,1,1,1,1,1,1,1,1,1,2009
73,7005152559,2,2,2,4,4,4,4,4,4,4,2009
90,7102067286,2,2,2,2,2,2,2,2,2,2,2009
95,14631570600,10,10,10,10,10,10,10,10,10,10,2009
96,57159978600,3,3,3,3,3,3,3,3,3,3,2009
100,24288728800,8,11,13,16,26,28,37,39,50,50,2009
114,7801486018,6,6,6,6,6,6,6,6,6,6,2009
135,7101647136,8,8,8,8,8,8,8,8,8,8,2009
138,36069432900,1,1,1,1,1,1,1,1,1,1,2009
196,35114583400,8,8,8,8,8,8,8,8,8,8,2009
222,26430511700,3,3,3,3,3,3,3,3,3,3,2009
261,6506844420,4,4,4,4,4,4,4,4,4,4,2009
287,23009028700,2,4,4,8,8,8,8,8,8,8,2009
300,15925920700,3,3,3,3,3,3,3,3,3,3,2009
308,7403291857,3,3,3,3,3,3,3,3,3,3,2009
336,7102555799,6,6,65,65,65,65,66,66,66,66,2009
364,35225421300,7,7,7,7,7,7,7,7,7,7,2009
367,36103964500,7,7,7,7,7,13,13,13,13,13,2009
382,7006495003,4,4,4,4,4,4,4,4,4,4,2009
398,15835646600,3,3,3,3,3,3,3,3,5,5,2009
432,35070019100,2,2,2,4,4,4,5,5,5,7,2009
464,26321761100,1,1,3,5,5,5,5,5,5,5,2009
507,9740828000,7,7,7,7,7,7,7,7,7,7,2009
510,6506405382,3,3,3,3,3,3,3,3,3,3,2009
526,56641408700,2,2,2,2,2,2,2,2,2,2,2009
548,57196302792,4,4,4,4,4,4,4,4,4,4,2009
554,57197695978,5,5,5,5,5,5,5,5,5,5,2009
561,24922890200,3,3,3,3,3,3,3,3,3,3,2009
584,36115275500,16,16,16,16,16,16,16,16,16,16,2009
590,56175534000,5,5,5,5,5,5,5,5,5,5,2009
606,6506116372,7,7,7,22,22,22,35,35,35,35,2009
611,24484862400,6,6,6,6,6,6,6,6,6,6,2009
616,7005810184,2,2,2,2,2,5,5,5,5,5,2009
630,35168696400,4,6,6,6,6,6,6,6,6,6,2009
640,57193510529,3,3,3,3,21,21,21,21,21,21,2009
676,35146083500,6,6,6,6,6,6,6,6,6,6,2009
721,36715149800,3,3,3,9,9,13,14,22,22,22,2009
749,6507056350,2,2,2,6,10,10,10,10,10,10,2009
768,56393147900,4,4,4,4,4,4,4,4,4,4,2009
805,23393096300,18,18,18,19,19,19,19,19,19,19,2009
818,7003479767,3,3,3,3,9,9,9,9,9,34,2009
838,7005125073,4,4,4,4,4,4,4,4,4,4,2009
840,26435119700,3,3,3,6,6,6,9,9,9,9,2009
850,7403518693,9,9,9,9,9,9,9,9,9,9,2009
857,6701689507,3,3,3,3,3,3,3,3,3,3,2009
874,6506579443,10,10,10,10,10,10,10,10,10,13,2009
879,36022789600,5,5,9,9,9,9,9,9,9,9,2009
890,16175168500,15,15,21,21,21,21,21,21,21,21,2009
893,56854900700,3,3,3,3,3,3,3,3,3,3,2009
928,6602752766,7,7,7,8,8,8,8,8,8,8,2009
942,57192816670,4,4,4,4,4,4,4,4,4,4,2009
952,6505792378,6,6,6,6,6,6,6,6,6,6,2009
960,55788281700,12,12,12,12,12,12,12,12,12,12,2009
973,57197475266,3,3,3,3,3,3,3,3,3,3,2009
985,7003713793,3,3,3,3,3,3,3,3,3,3,2009
987,7004058432,1,1,1,1,1,1,1,1,17,17,2009
1009,55617514600,6,7,7,7,7,7,7,7,7,7,2009
1010,22035688000,2,2,2,2,2,2,2,2,2,2,2009
1018,35191179100,1,3,3,5,5,5,5,5,5,5,2009
1033,55445085200,2,2,2,4,5,5,6,9,9,9,2009
1047,55497329900,1,1,1,1,1,1,1,1,1,1,2009
1087,35168386600,4,4,4,4,4,4,4,4,4,4,2009
1122,56618197800,2,8,10,11,11,11,11,11,11,11,2009
1128,57131392800,2,2,2,2,2,2,9,9,9,13,2009
1144,55875642100,16,16,16,16,16,16,16,16,16,16,2009
1148,7404174677,3,3,3,3,3,3,3,3,3,3,2009
1165,9234774400,3,3,3,3,3,3,3,3,3,3,2009
1174,23474799500,6,6,10,10,10,22,22,22,22,22,2009
1195,27667472500,4,5,8,15,15,15,18,18,18,18,2009
1235,7801464166,13,13,13,13,13,13,13,13,13,13,2009
1245,16029040600,4,4,7,7,12,14,14,31,31,31,2009
1282,6603321277,3,3,8,8,8,8,13,13,13,13,2009
1357,22981925400,4,4,4,14,14,14,14,16,16,16,2009
1387,56835559100,2,2,2,2,2,2,2,2,2,2,2009
1401,24475529800,5,5,5,5,5,5,5,5,5,5,2009
1422,35302494500,2,2,2,2,5,5,14,17,17,19,2009
1427,7404506656,15,15,15,15,15,15,15,21,21,21,2009
1431,34880328400,6,10,10,13,16,17,17,27,28,28,2009
1435,36711635700,5,5,5,5,5,5,5,5,5,5,2009
1442,6601968404,6,8,10,11,11,12,19,28,42,42,2009
1449,24512366100,4,4,4,4,4,4,4,4,4,4,2009
1470,35115454100,4,4,4,4,4,4,4,4,4,4,2009
1501,57063369300,1,1,1,1,1,1,1,1,1,1,2009
1505,36777340600,2,2,2,2,2,2,2,2,2,2,2009
1543,7402000409,6,6,6,6,6,6,6,6,6,6,2009
1580,56506631200,6,6,25,29,29,29,29,29,29,29,2009
1593,16680400300,3,3,3,3,3,3,3,3,3,3,2009
1603,6505653036,3,3,3,3,3,3,3,3,3,3,2009
1610,55788653800,6,6,6,6,6,6,6,6,6,6,2009
1652,6508040906,2,2,2,13,13,16,29,29,29,29,2009
1653,16319079100,12,12,12,12,12,25,44,44,44,44,2009
1669,6506359644,8,8,8,8,8,8,8,8,8,8,2009
1687,54082826900,3,3,3,3,3,3,3,3,3,3,2009
1699,23035654500,4,4,4,4,4,4,4,4,4,4,2009
1710,7202179975,2,2,2,2,2,2,2,2,2,2,2009
1725,23091502800,22,22,22,22,22,22,22,22,22,22,2009
1761,56219509000,2,2,2,2,2,2,2,2,2,2,2009
1767,35090143100,6,6,6,6,6,6,6,6,6,6,2009
1790,36011516300,10,10,10,10,10,10,10,10,10,10,2009
1812,7006058671,3,3,3,3,3,3,3,3,3,3,2009
1817,7004386216,29,29,29,29,29,29,29,29,29,29,2009
1820,36773528500,4,4,4,4,4,4,4,4,4,4,2009
1835,7006173733,3,3,3,3,3,3,3,3,3,3,2009
1848,24578016800,2,2,2,2,2,2,2,2,2,2,2009
1857,35761074700,3,3,3,3,3,3,3,3,3,3,2009
2003,57194322114,3,3,3,3,3,3,3,7,7,7,2009
2008,23484315300,4,4,4,4,8,8,9,9,9,11,2009
2016,8948342200,4,4,4,4,4,4,4,4,4,4,2009
2047,8563892500,4,4,6,6,6,6,6,6,6,7,2009
2050,56311027300,2,2,2,2,2,2,2,2,2,2,2009
2063,15020183900,1,2,4,6,7,8,8,9,9,13,2009
2081,6603704033,21,21,21,21,21,21,21,21,21,21,2009
2082,24342928100,1,1,3,3,3,3,4,4,4,4,2009
2104,56890598600,2,2,2,2,2,2,2,2,2,2,2009
2123,25824865200,5,5,11,11,11,11,11,11,11,11,2009
2126,35174796800,2,3,3,8,8,8,11,11,16,16,2009
2138,8623797900,4,4,4,4,4,4,4,4,4,4,2009
2143,15623178800,2,2,2,2,2,2,2,2,2,2,2009
2157,57197958479,3,3,3,3,3,3,3,3,3,3,2009
2160,26039654200,2,3,3,3,3,3,3,3,3,3,2009
2176,55754808800,1,1,1,1,1,1,1,1,1,1,2009
2206,35101372700,1,3,3,3,3,3,3,3,3,3,2009
2208,23986944000,3,3,3,8,8,8,8,8,8,15,2009
2221,55574220503,37,37,37,37,37,37,37,104,104,104,2009
2227,54584253000,28,28,33,33,43,46,46,48,48,48,2009
2251,56276872900,8,8,8,14,16,16,16,16,21,21,2009
2264,26967862800,1,1,1,1,1,1,1,1,1,1,2009
2265,6603833526,19,19,19,19,19,19,19,19,19,19,2009
2269,6602077883,5,8,8,8,8,8,8,8,8,8,2009
2295,57200597708,7,7,7,7,7,7,7,7,7,7,2009
2301,34873853300,3,3,3,3,3,3,3,3,3,3,2009
2317,18036679500,1,5,5,6,6,7,7,12,12,12,2009
2339,6701918866,2,2,2,2,2,2,2,2,2,2,2009
2355,35203131200,20,20,20,20,20,20,20,20,20,20,2009
2379,36026128400,11,11,11,13,13,13,13,13,13,13,2009
2380,27567876400,2,2,2,2,2,2,2,2,2,2,2009
2425,6701792636,10,10,10,10,10,10,10,10,10,10,2009
2436,23994149000,32,32,32,32,32,32,32,32,32,32,2009
2442,16308985300,3,3,3,3,3,3,3,3,3,3,2009
2443,57190872677,2,2,2,2,2,2,2,2,2,2,2009
2454,36161267400,4,5,5,5,5,5,5,5,5,5,2009
2468,15623462300,2,2,2,2,2,2,2,2,2,2,2009
2485,24778725700,3,3,3,7,7,7,7,7,7,7,2009
2506,8641225800,8,8,8,8,8,8,8,8,8,8,2009
2521,6602527290,4,4,4,4,4,4,4,4,4,4,2009
2541,16241808600,7,7,37,37,37,37,37,37,37,37,2009
2545,55666939200,2,2,2,2,2,2,2,2,2,2,2009
2623,55919930400,17,27,35,50,58,94,110,118,127,140,2009
2633,35088941500,2,2,2,2,2,2,2,2,2,2,2009
2745,12781836600,2,2,3,3,3,3,3,3,3,3,2009
2773,26031562000,3,3,3,3,3,3,7,7,10,10,2009
2799,36117556700,10,10,10,10,10,10,10,10,10,10,2009
2801,26968131700,3,4,7,12,15,15,20,21,21,30,2009
2805,7005636102,4,4,4,4,4,4,4,4,4,5,2009
2822,7006389016,2,2,2,2,2,7,9,12,12,12,2009
2826,57202960579,6,6,9,9,13,13,32,32,32,32,2009
2830,23397235600,3,3,7,7,12,12,12,12,12,12,2009
2831,7003589075,1,4,8,11,13,13,13,13,15,15,2009
2841,35810377900,3,3,6,6,6,6,6,6,6,8,2009
2842,25031238600,4,4,4,4,9,11,11,11,12,12,2009
2866,6507912264,5,5,5,5,5,11,11,11,11,11,2009
2899,25930306600,1,1,1,1,1,1,1,1,1,1,2009
2905,26432253600,4,4,4,4,4,4,4,4,4,4,2009
2925,36159735300,5,5,5,5,5,5,5,5,5,5,2009
2969,6603345858,8,8,8,8,8,8,8,8,8,8,2009
2985,7801413959,4,4,4,4,4,4,4,4,12,12,2009
3085,57203259001,4,4,4,4,4,4,13,21,30,31,2009
3104,35589367700,2,2,2,2,2,2,2,2,2,2,2009
3120,10839530100,6,6,14,14,14,14,14,14,14,25,2009
3146,35253294700,4,5,5,5,12,12,12,12,12,12,2009
3174,55842468000,20,20,108,143,146,146,154,154,169,169,2009
3209,6701487300,2,2,2,2,2,2,2,2,2,2,2009
3211,57197844289,10,10,10,10,10,10,10,10,10,10,2009
3214,23036062700,6,6,6,6,11,11,11,16,16,16,2009
3216,7006437864,5,18,18,24,28,31,31,31,49,55,2009
3217,36697915000,2,2,2,2,2,2,2,2,2,2,2009
3220,12143066200,3,3,3,3,6,8,8,8,8,8,2009
3270,55672845100,5,5,5,5,5,5,9,9,9,9,2009
3313,35179791100,3,3,3,5,5,12,14,17,19,19,2009
3315,35070887700,3,3,8,8,8,8,8,8,8,10,2009
3339,35079408800,7,8,8,8,8,8,8,8,11,11,2009
3359,35226372900,6,8,8,9,9,9,9,9,9,9,2009
3385,26428029800,2,2,2,2,6,11,12,13,13,13,2009
3399,24721344600,2,2,3,3,3,3,3,3,5,5,2009
3414,27367539200,1,1,1,1,1,1,1,1,1,1,2009
3463,35321401400,4,4,10,12,16,26,29,39,44,59,2009
3526,35792169300,2,12,12,50,54,54,54,54,54,60,2009
