ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
7005038167,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5
6603318715,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6601996253,1,2,3,3,3,3,3,9,12,13,13,13,14,14,14,21,23,24,24
35580412700,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
16231772700,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7403537224,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7004097280,5,10,10,10,10,15,21,27,29,29,29,29,29,29,29,29,29,29,29
12791104400,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
57189021698,4,4,4,4,4,4,4,4,4,4,4,4,4,10,10,10,10,10,10
36083887800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,7
14319066400,14,14,14,14,26,26,30,30,30,30,30,30,30,30,30,30,49,49,49
7003372573,8,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
7404183997,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7102215531,9,9,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
6701902942,12,12,28,28,28,28,28,28,28,28,28,28,28,28,28,43,43,43,43
35105737100,2,2,3,3,3,3,3,3,3,5,5,5,5,5,5,8,8,10,10
54419121500,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7005908284,1,1,1,4,4,6,6,6,6,8,11,15,23,28,28,33,37,40,44
22333729700,2,2,2,2,6,6,6,12,13,16,23,23,23,23,23,23,23,23,23
7103329159,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6603811201,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
57197668099,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
56283831500,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7005646046,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
6507929604,31,31,40,40,43,43,43,43,43,43,66,66,141,141,141,141,141,141,141
6701855652,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,10,10,10
7005685897,5,5,6,6,6,13,16,17,20,20,25,28,31,31,31,34,37,37,37
6506374807,1,1,1,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6603444082,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4
6603005292,3,3,3,3,3,3,3,3,3,3,3,5,5,5,16,22,24,24,29
15749913700,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7801425477,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,6,6
35576025900,6,6,6,8,8,8,11,12,12,12,12,12,12,12,12,12,12,12,12
7403735426,9,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
8270019500,3,3,3,7,8,9,9,19,25,28,29,33,35,41,45,48,62,70,74
7202767570,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7
7005524881,8,8,8,8,8,8,8,8,8,26,26,26,26,26,26,26,26,26,26
6503883197,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6603756458,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3
15752170600,4,4,8,11,13,14,25,29,36,37,47,56,62,82,101,111,119,128,139
7004524059,5,5,5,5,6,6,6,8,10,10,10,10,10,10,10,10,10,10,10
56785863200,5,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
56276407100,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6603281990,6,6,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10
15021491400,6,6,6,6,6,6,6,6,11,11,11,11,14,14,14,14,14,14,14
7006555878,2,2,2,2,2,2,2,2,8,8,8,8,9,9,10,10,11,17,18
7003447505,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
22433690600,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6701491387,3,3,3,9,9,9,9,9,9,9,13,13,13,13,13,13,13,13,13
35409709500,1,1,1,1,1,1,1,1,4,4,7,17,27,27,28,28,30,34,36
56247938100,7,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11043442100,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7004034323,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24438826500,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7005801202,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
24923649000,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,8,8
6602833686,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
36818472300,3,3,3,4,4,5,5,5,6,6,6,6,14,14,14,14,14,14,14
7404732357,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
8755775300,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
57197594166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28367922800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7003841637,6,16,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
55475162300,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3
7103039767,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,11
7402687184,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7004148271,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
55631301200,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7006861701,6,8,8,8,8,11,11,11,14,14,14,14,14,14,14,14,14,14,14
35463671600,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
56652454800,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,11,11,11
6603749857,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
57200342052,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6603833952,2,2,5,5,5,5,6,9,9,9,9,10,11,11,11,13,13,13,17
6603597276,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
36791638100,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7
6602643899,1,2,2,2,2,2,4,4,7,7,7,7,7,7,9,9,9,14,14
6602273189,2,4,5,5,8,8,10,16,23,26,29,35,36,37,38,41,44,44,44
7004327525,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6507123121,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7003847707,2,5,6,6,6,10,15,15,19,19,25,27,27,28,28,31,35,35,40
