ID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
24398617700,6,6,6,6,6,6,6,6,6,6,6,6
24778725700,0,0,3,3,3,7,7,7,7,7,7,7
27167536300,0,8,11,12,12,12,12,12,12,12,12,12
56372091500,1,1,1,1,1,1,1,1,1,55,55,55
23111927200,0,0,0,0,3,3,3,3,3,3,5,11
23668851400,0,0,0,0,2,2,2,2,2,2,2,2
35777498100,3,3,3,3,3,3,3,3,3,3,3,3
57188779286,2,2,2,2,2,2,2,2,2,2,2,2
21742449200,5,5,5,5,10,10,13,16,19,23,29,35
17436450900,2,2,2,2,2,2,2,4,4,4,4,4
23006109100,29,29,29,29,29,29,29,29,29,29,29,29
36181378200,10,10,17,17,17,17,17,17,17,17,17,19
20336570900,3,5,5,5,5,5,5,5,5,5,5,5
16411828300,31,31,31,31,31,31,31,31,31,31,31,42
57200136872,3,3,5,5,5,5,5,5,8,10,10,10
55521612300,0,0,0,11,11,11,11,20,21,21,21,22
23397474200,2,2,2,2,2,2,2,2,2,2,2,2
24332545900,0,1,1,1,1,1,1,1,1,1,1,1
57197531212,3,6,6,6,6,6,6,6,6,6,6,6
36832635500,0,5,8,9,9,11,11,14,14,14,14,14
6603771073,2,2,2,2,2,2,2,2,2,2,2,2
9741781000,7,7,7,7,9,9,9,9,9,9,9,9
6603964872,0,6,7,7,7,7,7,14,14,16,16,16
8244804200,0,0,0,0,0,0,0,0,0,0,0,3
25031238600,0,0,4,4,4,4,9,11,11,11,12,12
57198849476,6,6,6,6,6,6,6,6,6,6,6,6
16052658100,3,3,3,3,3,3,3,3,3,3,3,3
6602557782,4,4,4,4,4,4,4,4,4,4,4,4
6602751489,0,0,0,0,0,0,12,12,12,12,12,12
55369049500,0,0,0,0,0,0,0,0,0,0,0,4
6506901500,0,0,0,0,0,0,10,10,10,10,10,10
7102506029,0,0,0,0,0,0,0,0,0,0,2,2
14018720900,5,5,5,5,5,5,5,5,5,5,5,5
56000160900,2,7,10,10,10,21,21,21,26,50,57,59
23969363600,0,0,0,0,0,0,0,0,0,0,0,4
22735553700,7,7,7,7,7,7,7,7,7,7,7,7
6603260099,0,0,0,0,0,0,0,0,0,70,70,70
57198541170,3,3,3,3,3,3,3,3,3,3,3,3
8837253400,4,10,21,24,24,24,40,58,71,81,94,98
7006437864,0,0,5,18,18,24,28,31,31,31,49,55
55740430900,5,5,5,5,5,5,5,5,5,5,5,5
16309794100,0,0,0,0,0,0,0,0,0,6,6,6
6505885023,3,3,3,3,3,3,3,3,3,3,3,3
23009695100,5,5,5,5,5,5,5,8,8,8,8,8
6507278898,0,3,3,3,3,3,3,3,3,3,3,3
23008936900,2,2,2,2,2,2,2,2,2,2,2,2
23008940000,15,15,15,15,15,15,15,15,15,15,15,15
24822571500,0,2,5,5,10,10,10,10,10,13,17,17
15520146800,1,2,5,6,8,8,8,17,17,27,30,30
8899520500,0,0,0,0,0,47,47,61,61,81,81,101
23009311100,15,15,15,15,15,15,15,15,15,15,15,15
35516283100,0,0,0,0,7,7,7,7,7,7,7,7
6601997040,7,7,7,7,7,7,7,7,7,7,7,7
36888870100,4,4,4,4,4,4,4,4,4,4,4,4
23495207800,13,13,13,13,13,13,13,13,13,13,13,13
7407523188,0,0,0,25,25,28,28,34,34,36,36,40
12645466300,0,0,0,7,7,7,7,7,7,7,7,7
57200235166,3,3,3,3,4,4,4,4,9,11,14,14
7403619349,0,0,0,0,0,0,0,0,0,4,4,4
36143117100,0,0,0,3,3,4,4,4,4,4,4,6
23974416400,0,0,0,0,3,3,3,3,3,3,3,3
24483713200,0,5,12,12,12,12,12,12,12,12,12,12
6603050023,0,0,2,2,2,2,2,2,2,2,2,2
22233631200,0,0,0,0,4,4,4,4,4,4,4,4
23390709400,11,11,11,11,11,11,11,11,11,11,11,11
57189320212,2,2,2,2,2,2,2,2,2,2,2,2
35113819700,2,2,2,2,2,2,2,2,2,2,2,2
7403463887,9,9,9,9,9,9,9,9,9,9,9,9
16246709400,38,59,59,59,59,59,59,59,59,59,59,59
9535657800,3,3,3,3,3,3,3,3,3,3,3,3
25723719000,0,0,0,0,0,2,2,2,2,2,2,2
24468428200,31,31,31,31,31,31,31,31,31,31,31,31
23095434000,2,2,2,2,2,2,2,2,2,2,2,2
56329975700,3,3,3,3,3,3,3,3,3,3,3,3
15757632500,0,3,3,3,3,3,3,3,3,3,3,3
22033609500,0,0,0,0,0,9,9,9,9,9,9,9
7003606982,0,11,11,11,11,11,11,11,11,11,11,11
57196913097,12,12,12,12,12,12,12,12,12,12,12,12
16317175400,2,3,3,4,4,4,7,7,7,7,7,7
7404198484,7,7,7,7,7,7,7,7,7,7,7,7
23388241300,2,2,4,4,5,6,6,8,8,11,11,11
22949837900,5,5,5,5,5,5,5,5,5,5,5,5
25646468900,0,0,0,3,3,3,3,3,3,3,3,3
23391776600,2,2,2,2,2,2,2,2,2,2,2,2
57199423487,1,1,1,1,1,1,1,1,1,1,1,1
16506408800,3,3,4,5,5,5,8,8,8,8,8,8
57199938179,1,1,1,1,1,1,1,1,1,1,1,1
43061118800,0,0,0,0,0,0,2,2,2,2,2,2
55568511927,2,2,2,2,2,2,2,2,2,2,2,2
19337293000,4,4,4,4,4,4,4,4,4,4,4,4
55894124100,9,9,13,15,17,17,25,25,25,25,25,29
16245707800,25,25,25,29,29,29,29,29,29,29,29,29
7403998352,4,4,4,4,4,4,4,4,4,4,4,4
7005136055,4,4,4,4,4,4,4,4,4,4,4,4
7004435348,0,0,9,9,9,9,9,9,9,9,9,9
7101608933,2,3,3,3,3,3,7,7,7,7,7,7
6602380062,13,13,21,21,21,21,21,21,21,21,21,21
24923524900,4,4,4,4,4,4,4,4,4,4,4,4
13808136400,3,3,10,17,19,21,23,28,28,29,33,33
23977452100,0,0,0,0,10,10,10,10,10,10,10,10
24467510400,11,11,13,13,13,13,13,13,13,13,13,13
23005404700,0,11,16,16,16,16,16,16,16,16,16,16
55986071300,4,4,4,4,4,4,4,4,4,4,4,4
7102537174,28,41,51,54,59,59,63,63,63,63,63,63
16246169000,0,0,0,0,0,0,0,0,0,0,0,4
8620939600,11,11,11,11,11,11,11,11,11,11,11,11
7005147476,0,0,8,8,8,8,8,8,8,8,8,8
8694487000,2,2,2,2,2,2,2,2,2,2,2,2
18535492600,0,0,0,0,0,0,0,1,1,1,1,1
7202383105,4,5,5,5,5,5,5,5,5,5,5,5
24476805800,0,0,4,4,4,4,4,4,4,4,4,6
24482878600,0,0,4,5,9,9,9,9,9,9,9,9
57191608116,3,3,3,3,3,3,3,3,3,3,3,3
23391945200,0,0,0,0,0,0,3,3,3,3,3,3
56160068200,2,2,10,10,10,10,10,10,10,10,10,10
23388123200,2,2,3,3,3,3,3,3,3,3,3,3
56212894300,8,8,8,8,8,8,8,8,8,8,8,8
25646095600,4,4,4,4,4,4,4,4,4,4,4,4
24476539600,3,8,8,9,9,9,9,11,11,11,15,18
7007152623,3,3,3,3,3,3,3,3,3,3,3,3
7401929029,3,3,3,3,4,4,4,4,4,4,4,4
57196703052,1,1,2,2,2,2,2,2,2,2,2,2
23010562700,43,43,43,43,43,43,43,43,43,43,43,43
24463464200,0,4,10,10,10,10,10,10,15,29,29,29
21233322500,0,6,6,6,6,6,6,6,6,11,11,11
16548896600,2,4,7,12,17,20,22,29,39,45,50,54
24470146400,3,3,3,3,3,3,3,3,3,3,3,3
6508371419,0,0,0,0,0,0,0,0,0,0,0,2
23397945300,2,2,2,2,2,2,2,2,2,2,2,2
9746738100,7,7,7,7,7,7,7,7,7,7,7,7
24337676600,0,0,0,0,0,0,0,0,0,0,5,5
35778848600,7,7,7,7,7,7,7,7,7,7,7,7
23980170200,15,15,15,15,15,15,35,35,38,38,53,60
16417177100,5,5,5,5,5,5,5,5,5,5,5,5
24721189500,5,5,5,5,5,5,5,5,5,5,5,5
55942555100,0,0,0,0,0,0,0,0,8,8,8,8
23007399700,0,6,6,27,27,27,27,27,27,27,27,27
24450759500,6,6,6,6,6,6,6,6,6,6,6,6
23092275800,4,4,4,4,4,4,4,4,4,4,4,4
55916556200,4,4,4,4,4,4,4,4,4,4,4,4
24337695700,0,2,2,2,2,2,2,2,2,2,2,2
15924472100,0,0,0,0,0,0,0,3,3,3,3,3
6603646979,3,3,4,9,13,14,41,50,52,55,55,55
23389662800,3,3,3,3,3,3,3,3,3,3,3,3
23398240500,4,4,4,4,4,4,4,4,4,4,4,4
24179132200,0,4,4,4,4,4,4,4,4,4,4,4
57197639594,0,0,0,0,13,25,25,25,25,25,25,25
22333948000,3,4,6,6,6,6,6,6,6,11,11,14
24586883200,0,0,0,6,6,6,6,6,6,6,6,6
15830054000,4,4,4,4,4,4,4,4,4,4,4,4
55513537700,3,3,3,4,4,4,4,4,4,4,4,4
23097433600,1,5,11,11,11,16,17,17,28,32,36,42
35515050000,0,0,0,0,8,8,31,31,31,31,31,31
6504596932,10,10,10,10,10,14,14,14,15,15,15,15
55204661300,2,2,5,5,5,5,5,5,5,5,5,5
24450042100,2,2,2,2,2,2,2,2,2,2,2,2
22636349700,17,17,17,17,17,17,17,17,17,17,17,17
23484311500,4,4,4,4,4,4,4,4,4,4,9,9
23091224200,5,5,5,5,5,5,5,5,5,5,5,5
22934728500,0,0,0,0,0,10,10,10,10,10,10,10
55218248600,6,6,6,6,6,6,6,6,6,6,6,6
56941303500,3,3,3,3,3,3,3,3,3,3,3,3
23393058000,4,4,4,4,4,4,4,4,4,4,4,4
15131540700,1,1,2,6,6,11,14,14,16,16,16,16
24464996300,2,2,2,2,2,2,2,2,2,2,2,2
36482930700,1,1,1,1,1,1,1,1,1,1,1,1
24069910600,0,0,0,0,0,0,5,5,6,6,6,6
57198614820,3,3,3,3,3,3,3,3,3,3,3,3
25929152800,4,5,5,5,5,5,5,5,5,5,5,5
55962573100,0,0,0,2,3,3,3,3,3,3,3,3
23389701800,3,3,3,3,3,3,3,3,3,3,3,3
24464372100,0,0,0,0,0,0,0,0,0,0,17,17
10143724200,0,0,0,0,0,0,0,0,26,26,26,34
6603754297,0,2,2,2,2,2,2,2,8,8,8,8
7004199220,0,0,0,0,0,0,0,0,0,0,0,9
7003444839,4,4,4,4,7,7,7,7,7,7,7,10
23477109300,2,5,5,5,5,5,11,14,14,16,16,16
22233782700,0,0,0,0,0,0,0,0,6,6,6,6
23003825600,0,0,1,1,1,1,1,1,1,1,1,1
16506662800,0,0,0,0,0,0,0,69,69,90,90,90
25823324200,4,4,4,25,25,25,25,25,25,25,25,25
6603434315,4,4,4,4,4,4,4,4,4,4,4,4
55664171900,0,0,18,18,18,32,32,32,35,35,40,40
36459504700,0,0,0,4,4,4,4,4,4,4,4,4
25031859300,3,3,3,3,3,7,7,10,10,10,10,15
23669121900,0,0,0,7,30,53,55,57,57,57,57,57
9942178300,0,0,0,0,0,0,0,0,0,65,65,65
23466583200,2,2,2,2,2,2,2,2,2,2,2,2
24724013200,4,4,4,4,4,4,4,4,4,4,4,4
22735465000,3,3,3,3,3,3,3,3,3,3,3,3
56618593100,0,0,0,0,2,2,2,2,2,2,2,2
23398391400,1,1,3,4,4,4,7,7,7,7,10,12
23111619000,3,3,3,3,3,3,3,3,3,3,3,3
17434088200,3,5,7,7,7,12,12,12,12,12,12,12
7102960632,0,0,0,0,0,0,0,0,0,29,29,91
7801412368,1,1,1,1,1,1,1,1,1,1,1,1
26039350700,1,1,1,1,2,2,2,2,2,2,3,5
17434505500,0,0,0,13,13,13,13,13,13,13,13,13
23989372200,0,0,0,0,0,0,0,0,0,72,72,79
15926020900,0,0,0,0,0,0,0,0,0,4,4,4
16031388600,0,6,6,6,6,6,6,6,6,6,6,6
27367817800,8,8,9,11,13,13,13,13,13,13,13,13
16240990400,4,7,7,11,11,11,11,11,11,11,11,11
23389291900,4,4,4,4,4,4,4,4,4,4,4,4
14068495700,0,0,0,0,0,0,0,3,3,3,3,3
24725054300,0,0,0,0,0,0,5,5,5,5,5,5
24529065400,0,2,2,2,4,4,4,4,8,11,11,11
6602988315,11,11,11,11,11,11,11,11,11,11,11,11
57199610881,4,7,8,8,8,8,8,8,8,8,8,8
24367226200,2,2,2,2,2,2,2,2,2,2,2,2
23394243400,3,3,3,3,3,3,3,3,3,3,3,3
19638562300,10,10,10,16,16,16,16,16,16,16,16,16
23394231300,4,4,4,4,4,4,4,4,4,4,4,4
24776501500,4,9,9,9,9,9,9,9,15,15,15,22
57057585300,0,0,0,0,0,0,0,0,0,3,3,3
