ID,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
20434298400,0,0,1,1,1,3,3,3,3,3,3,3,3,3
6701366133,2,6,11,12,18,33,36,39,41,43,51,51,58,62
14025125700,0,0,6,6,6,7,7,7,10,10,10,11,14,14
9432422300,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7401663431,0,0,0,13,13,15,25,26,26,26,26,26,26,26
24483050500,3,3,3,3,3,20,20,20,20,29,30,30,30,30
23389858600,0,0,8,8,8,8,8,8,8,8,8,12,17,17
55890694300,2,2,2,2,8,8,8,8,9,9,16,17,20,21
11339804900,3,3,6,6,6,6,11,11,12,30,32,32,32,32
23390381800,2,2,5,7,7,9,15,16,17,17,17,17,17,17
14919493600,0,4,4,4,4,4,4,4,4,4,4,4,4,4
56265403600,6,6,6,7,7,7,7,7,8,8,8,8,9,13
8631072500,0,0,0,0,0,0,4,4,4,4,9,9,9,9
30267549000,0,0,0,0,0,0,22,30,30,54,54,55,55,55
8284686300,0,0,0,0,0,0,3,3,4,5,5,5,5,5
36867501900,0,2,2,2,2,2,2,4,4,4,4,4,4,4
7005891727,0,0,0,0,0,0,0,0,0,47,47,47,47,47
16029349900,0,0,12,12,12,12,12,12,12,12,12,12,12,12
7103329271,0,0,0,0,0,0,0,0,0,0,0,0,10,10
35445061200,0,0,0,0,0,0,9,9,9,9,24,24,24,24
8409839300,0,0,0,0,0,0,0,0,0,0,0,0,5,5
10638782700,0,0,0,0,0,5,5,5,5,5,5,5,5,5
12789360100,3,5,8,9,10,15,20,21,26,30,31,35,36,39
36965955200,0,2,2,2,9,9,14,14,14,14,14,14,14,14
7102894395,4,4,4,5,6,6,9,15,24,29,32,44,51,60
37022886800,1,1,1,1,1,1,1,1,3,3,3,3,3,5
15757730900,0,0,6,7,7,7,10,10,10,10,10,10,10,10
7101643712,0,32,32,32,32,32,32,32,32,32,32,32,32,32
9747798600,0,0,0,0,0,0,0,0,0,5,5,10,10,10
6507748427,0,0,1,1,1,1,1,1,1,1,1,1,1,1
55938653300,0,0,0,0,0,4,4,4,4,4,4,4,4,4
57203072478,2,2,2,2,11,11,11,11,11,11,13,13,15,18
14319115400,0,17,19,19,19,19,32,32,44,44,44,44,44,44
7403505493,0,0,0,0,0,0,0,28,28,28,28,28,28,28
6602493159,0,0,0,0,9,9,9,9,9,9,9,9,9,9
55965948900,0,0,2,2,2,2,2,2,2,2,2,2,2,2
6602823948,0,0,0,0,0,0,0,0,0,0,7,7,7,7
6507737306,0,0,0,6,6,6,6,6,6,6,6,6,6,6
