ID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
6603438406,2,10,10,10,16,25,26,38,38,44,53,80,86,97,100,114,131
12645434100,4,4,4,4,7,7,22,26,26,37,43,48,48,48,55,55,73
7003781230,1,1,1,1,4,6,6,6,6,6,6,6,6,6,6,6,6
6602076340,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6603575928,6,15,15,15,15,19,19,19,41,50,50,50,50,60,60,60,60
57203052268,3,5,5,5,5,8,8,12,12,12,12,12,12,12,14,14,14
24284980100,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6603657341,6,9,11,12,18,30,35,35,37,38,38,43,43,43,48,48,48
23103523500,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
35364126500,6,6,6,12,13,14,27,35,36,44,50,55,61,62,65,69,81
6603960935,6,8,9,12,14,17,21,25,25,27,30,33,40,50,52,55,57
6701513404,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
16024248400,2,2,2,2,6,6,7,7,11,11,11,11,11,11,11,15,15
35267945300,4,4,4,4,7,7,7,7,7,7,7,8,8,8,12,12,15
8058520300,32,32,32,32,32,32,32,32,32,32,45,45,45,84,84,84,84
9532361600,32,32,32,32,32,32,32,32,32,32,32,32,32,72,72,72,72
55407633600,5,13,13,13,13,13,13,13,13,13,13,13,13,13,13,26,26
7003941004,1,1,2,2,7,7,12,12,12,12,12,12,12,12,12,12,12
8358959200,3,3,3,3,4,8,10,10,10,11,15,15,18,20,21,22,23
10539134300,3,3,6,9,9,10,10,10,10,10,10,10,10,10,10,14,14
23036301900,2,3,8,11,14,14,14,19,22,25,31,44,50,64,65,68,69
6603413971,4,5,5,5,5,5,5,5,18,22,22,22,22,22,22,27,27
6602695375,3,3,9,17,17,17,32,38,42,47,49,55,59,60,60,60,60
6507983251,6,6,8,8,8,8,8,8,8,8,8,8,8,15,15,15,15
34881358700,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6508329666,4,6,8,13,16,19,20,20,25,26,31,38,40,43,48,50,50
7004517846,15,15,15,15,18,21,21,23,23,23,23,23,31,31,36,36,36
7005938930,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
25641871100,9,9,9,9,11,21,21,25,26,26,33,33,33,42,49,50,50
7003897842,18,18,33,33,35,71,78,79,79,79,79,104,149,149,191,191,220
35616300400,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8
57193599572,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
56368172200,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5
8387512500,2,2,2,3,5,7,11,12,18,23,33,45,50,53,58,66,70
56255289500,3,3,3,3,3,5,5,5,5,5,12,18,28,28,28,28,28
57192669196,10,13,13,16,17,19,21,22,26,27,27,27,27,31,35,38,38
7003448240,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7003458628,6,6,6,6,6,6,6,6,6,6,15,26,26,26,26,26,26
6506189480,3,4,6,7,8,9,17,23,30,33,33,37,50,55,60,64,70
7005057735,8,8,8,11,11,11,19,19,19,19,19,19,19,19,19,19,19
24325576900,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6701916635,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,45,45
7004839211,3,3,3,3,3,3,3,3,7,7,8,8,8,8,15,15,15
35983830900,3,3,4,4,4,4,26,30,48,57,57,80,90,92,92,98,98
6603777809,18,18,25,33,38,41,53,58,74,75,99,120,133,144,169,189,197
23397064800,1,3,4,5,6,6,9,15,20,24,25,27,27,33,38,41,42
6602881868,9,12,16,19,25,32,41,73,87,96,107,124,148,161,192,192,198
6602762447,8,8,16,16,19,21,24,29,30,60,64,68,74,85,103,106,113
7801520528,5,6,6,6,6,6,6,9,10,10,12,16,17,23,26,34,42
7005270780,4,5,6,6,12,12,31,38,42,45,52,56,62,64,71,75,76
7101900837,5,5,5,5,6,6,6,6,7,7,10,10,14,16,19,19,19
55159105300,5,5,5,5,5,13,15,19,19,27,27,35,35,35,40,40,40
10244805800,5,5,30,32,32,36,119,119,136,161,213,229,295,300,361,361,379
7004041016,4,4,4,4,4,8,8,8,8,14,17,18,26,29,29,29,33
35869314700,4,4,4,4,4,4,4,4,4,4,4,11,11,11,11,11,11
6603580493,3,4,4,4,4,4,4,11,15,24,28,31,31,40,50,62,67
12242656500,4,4,6,10,15,17,46,55,57,62,71,81,94,104,113,120,125
7005584295,3,3,3,7,7,12,16,16,16,16,16,16,16,16,16,16,16
57204260006,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7005736739,37,37,72,72,84,84,118,124,150,150,274,274,343,343,373,373,405
7004698581,4,4,10,12,12,18,18,23,24,27,27,27,51,54,54,55,70
55621886200,2,2,2,3,6,9,14,20,23,27,30,44,50,51,55,59,61
7005551951,5,12,12,12,12,12,12,12,15,17,19,20,20,24,24,24,24
8642958700,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7004188153,8,8,8,8,8,8,8,8,8,8,10,15,15,15,15,15,15
6602922157,4,4,4,4,9,9,9,9,17,17,29,38,52,59,63,63,71
6602810646,7,15,15,15,15,15,15,15,21,21,22,22,22,22,22,22,22
7003452681,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,12,12
7006283998,2,2,2,5,6,12,15,22,30,42,44,44,44,48,48,55,60
7006133263,30,30,30,30,30,30,30,30,30,30,30,30,54,54,85,85,122
