Unnamed: 0,ID,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
20,15725722200,3,3,4,4,6,10,10,15,22,22,27,28,32,37,46,52,2003
141,7007024271,3,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,2003
304,8694294100,4,4,4,6,6,6,8,8,9,11,11,11,13,16,19,21,2003
396,6507130393,2,3,4,5,10,12,12,16,17,21,26,26,27,32,33,33,2003
398,7003535976,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,2003
405,7103015940,4,4,5,5,6,11,13,20,21,25,29,30,32,35,36,36,2003
418,6508067295,5,5,5,8,9,9,9,14,21,24,24,33,33,33,33,33,2003
500,22981687400,2,3,3,3,4,5,5,8,13,13,22,24,30,34,38,47,2003
634,24075332600,1,1,6,7,10,10,12,12,13,13,15,18,18,18,19,19,2003
1014,6601955695,5,5,5,9,13,13,16,16,16,23,23,23,25,30,31,31,2003
1016,35804030200,7,14,22,34,34,56,70,119,127,148,168,168,183,190,201,205,2003
1082,6508083309,2,2,3,4,4,6,6,8,17,19,22,23,24,30,32,34,2003
1141,7103002082,4,6,6,6,7,7,8,8,8,13,13,13,17,23,23,23,2003
1158,6604057211,4,4,4,4,4,7,7,8,9,11,16,17,22,22,28,28,2003
1167,6507427250,5,7,7,7,8,11,13,13,22,24,25,27,29,30,37,46,2003
1171,7201649249,7,7,7,7,7,7,7,7,7,7,7,7,14,14,16,16,2003
1176,8940894600,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
2044,7005475323,14,14,14,14,14,14,14,14,14,17,17,17,17,28,28,28,2003
2083,7102959087,1,1,1,1,1,1,3,3,3,3,3,8,8,8,8,8,2003
2364,7003796804,5,5,5,5,5,5,5,10,10,10,10,10,10,10,10,10,2003
3227,7006416778,6,13,24,25,31,36,42,46,49,49,53,60,69,69,73,73,2003
3349,6603328316,7,7,14,14,14,18,18,20,20,20,20,22,25,26,26,26,2003
3658,6507163348,2,4,5,5,10,13,13,14,16,19,21,24,26,29,31,35,2003
3677,7005312854,3,6,6,13,15,15,15,16,17,17,18,18,19,19,20,20,2003
3809,14071345600,3,3,5,5,12,16,22,29,35,43,63,67,76,91,118,126,2003
4321,23060054700,2,4,4,7,14,17,19,24,27,27,33,33,33,35,36,36,2003
4534,55931318000,5,5,5,15,17,21,21,30,30,30,30,30,30,30,30,35,2003
4868,7003884610,5,13,14,35,35,112,117,117,120,128,128,128,128,132,132,132,2003
