Unnamed: 0,ID,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
421,9739850400,4,8,13,17,24,24,32,33,35,45,46,49,56,56,2005
1069,7005396019,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2005
1314,6701366133,2,6,11,12,18,33,36,39,41,43,51,51,58,62,2005
1545,12789360100,3,5,8,9,10,15,20,21,26,30,31,35,36,39,2005
1553,7102894395,4,4,4,5,6,6,9,15,24,29,32,44,51,60,2005
1589,57203072478,2,2,2,2,11,11,11,11,11,11,13,13,15,18,2005
1604,24482872600,3,3,3,6,13,13,15,17,17,20,26,27,27,29,2005
1892,36606353800,2,5,7,7,8,17,17,29,30,35,35,45,47,47,2005
2101,6602854427,4,4,6,6,6,7,7,7,7,53,53,53,53,53,2005
2231,22033780200,2,2,2,7,12,18,21,27,35,64,78,84,85,88,2005
2404,55682557800,2,2,2,2,2,2,2,2,2,2,2,8,8,8,2005
2505,35175222400,2,4,4,4,8,13,18,19,19,26,32,41,54,66,2005
2737,7101901920,26,34,34,34,34,34,34,34,34,91,91,91,94,94,2005
2784,35434771200,9,9,9,9,10,10,10,10,10,10,12,12,12,12,2005
3713,7403463175,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
3904,56133227800,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
3925,16313455900,1,4,4,4,4,4,4,54,60,61,75,82,85,91,2005
4270,56036766600,5,5,5,5,5,5,5,5,5,5,12,12,17,20,2005
4601,16052679700,16,16,66,66,66,66,83,83,91,134,163,163,163,163,2005
4770,8700367400,6,13,16,20,21,23,28,32,37,39,41,41,41,43,2005
4919,7003283901,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2005
4975,13609390600,2,2,3,7,7,18,25,28,30,30,32,41,42,42,2005
5115,10339982700,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2005
5833,7004240858,5,5,12,14,14,14,14,14,14,14,14,14,14,14,2005
5968,6603879325,10,19,22,22,48,55,55,76,86,86,95,99,104,104,2005
6059,10739297000,6,21,21,27,27,44,60,74,101,123,123,249,261,295,2005
