ID,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
26967944200,7,11,11,11,11,11,18,18,18,18,18
35774377200,0,0,9,10,19,19,22,22,22,30,30
35345513500,0,0,0,0,0,0,0,0,7,7,26
8205262700,0,0,2,2,10,10,12,12,12,12,12
24330847800,0,0,0,0,0,0,0,0,0,2,2
7005565428,0,0,0,0,0,0,0,0,0,0,8
26433417000,2,2,2,2,2,2,5,7,10,11,11
57159885700,1,17,22,25,26,26,30,31,42,43,45
55959859200,0,0,3,3,3,3,3,4,4,4,4
7402840048,0,0,0,0,11,11,11,11,11,11,11
6507324882,0,0,0,3,3,3,3,3,3,3,3
6602858858,2,7,28,28,33,38,47,50,56,59,60
27267482000,0,0,4,4,7,7,7,11,11,11,11
37007396600,0,0,0,1,1,3,3,3,22,26,26
7003348010,5,5,7,8,8,8,8,17,17,17,17
25631940800,4,6,11,15,17,20,26,45,45,61,82
23989863900,11,11,11,21,21,21,21,21,21,21,21
25927450000,0,0,3,3,4,4,5,9,9,12,12
26427771900,0,6,6,6,6,6,14,14,14,14,14
24482290500,1,2,2,4,4,4,4,4,4,7,7
25927244300,6,10,15,20,29,38,44,47,57,58,60
6602895297,24,27,101,101,101,101,114,114,114,117,129
8889535100,2,3,9,9,9,9,10,12,14,14,14
6603106945,0,0,0,7,7,15,17,17,17,17,17
24922117000,0,0,0,0,0,0,0,0,0,0,5
23033057300,0,0,0,0,0,0,0,5,5,5,5
37048509100,0,0,0,0,0,0,3,4,4,4,4
57203215271,6,20,22,23,26,27,27,27,27,31,38
26023293400,1,2,3,5,9,9,10,11,12,14,16
7409181460,0,0,7,7,7,7,10,10,10,10,10
25031200000,1,1,4,7,11,13,19,24,30,33,38
35077569500,0,0,0,0,0,2,2,2,2,2,2
6603408266,2,2,2,2,5,5,5,5,5,5,5
8977925500,0,0,0,0,0,0,3,7,7,7,7
6603392923,0,0,0,0,0,8,8,8,9,9,9
22434266000,3,14,16,17,21,27,29,31,31,32,33
7005116640,0,0,0,0,0,0,0,5,7,7,9
16023463900,9,9,15,25,25,28,28,30,30,30,30
35100764400,3,3,3,3,3,3,3,3,9,9,9
6603017212,0,0,0,0,0,0,2,2,2,2,2
23005409800,7,7,7,13,18,20,20,20,20,20,20
6508222379,12,16,19,19,19,19,19,19,21,28,31
25654364800,5,6,8,27,42,51,53,53,53,53,81
23098165900,0,13,13,13,13,13,13,13,13,13,13
7005238392,6,6,6,8,9,9,9,9,11,11,11
23470200100,0,0,0,0,0,0,4,4,4,4,4
24777934100,3,3,4,4,7,7,9,10,11,11,12
8422930100,3,5,5,11,11,11,11,11,14,14,14
24528115600,3,4,4,10,10,10,10,10,20,20,20
7801629474,0,0,0,0,0,0,20,20,20,20,20
15049702700,0,0,0,0,0,0,0,0,4,4,4
35771346400,0,0,0,0,0,0,0,0,0,0,6
23098785900,1,1,1,2,2,2,2,2,2,8,8
35107208400,2,2,2,2,2,2,2,4,4,4,4
25640230900,3,3,3,3,3,3,3,3,5,5,5
55983261900,0,0,0,0,0,0,0,7,14,14,14
25947718600,0,5,5,5,8,8,8,8,8,8,8
38261157600,0,0,0,6,6,6,6,6,6,6,6
55546084800,0,0,7,7,7,7,12,18,21,23,23
6504744448,0,0,0,6,6,6,6,6,6,6,6
24279246000,0,0,0,0,0,0,2,2,2,2,2
23489096100,0,0,2,5,5,6,6,7,7,7,7
35272632300,0,0,5,5,10,10,10,10,10,10,10
57102257500,0,0,0,0,0,17,17,17,17,17,17
24765051600,3,3,3,5,5,5,7,11,12,13,18
55318984100,0,0,0,0,0,0,0,0,5,5,5
56677391200,0,0,6,6,6,6,6,6,6,6,6
25925027700,0,0,8,8,23,23,23,23,23,23,23
25421511100,0,0,0,0,0,12,15,15,15,15,15
54790024400,0,0,0,0,0,0,0,0,4,4,14
36026205300,0,0,0,0,0,0,0,2,6,6,6
24468755400,4,4,6,9,9,11,12,12,15,15,15
24832305200,0,0,0,8,8,8,8,8,8,8,8
24169998800,0,0,0,0,0,0,0,0,5,10,11
7202761416,0,0,0,0,0,0,68,68,68,68,68
6603083225,0,0,0,0,0,6,6,6,6,6,6
25647238000,9,9,79,79,85,85,90,95,95,95,95
24765430200,0,0,0,0,0,0,0,0,0,0,9
6602511435,5,9,11,11,13,14,19,24,24,24,24
7102773403,0,0,0,5,5,5,5,5,5,5,5
57201927107,0,0,0,0,0,0,0,0,0,2,2
6506186443,0,0,0,0,0,0,0,0,7,7,7
56684557700,0,13,15,15,15,15,15,15,15,15,15
25960255600,2,2,2,3,6,8,9,9,10,10,10
23669325500,0,0,1,1,1,3,3,3,3,3,3
24773867700,0,0,0,2,2,2,3,3,3,6,7
24440153400,0,0,0,9,13,13,13,13,13,13,13
24328880600,7,9,9,9,9,9,9,9,9,9,9
35320804500,0,0,18,24,84,84,92,92,105,115,118
36450076700,3,3,3,7,7,7,7,7,7,13,13
6508358738,20,20,20,20,20,20,20,20,20,20,20
36240597900,0,0,2,2,2,2,15,15,15,21,21
25824882500,0,5,5,5,5,12,12,15,20,24,30
