ID,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
22633267000,4,5,6,6,6,6,6,9,11,13,15,21,27,30,34
6602730249,0,0,24,24,29,35,35,35,40,40,40,56,64,64,64
55887764300,0,0,0,0,0,0,0,0,85,85,85,85,120,120,120
8317979700,3,3,4,4,4,4,4,4,18,20,20,20,20,20,20
7004664017,0,0,0,0,3,4,7,11,19,19,19,19,19,26,26
35310832300,1,5,8,8,8,11,11,11,14,16,18,22,22,22,22
24766002000,0,0,0,0,0,0,0,0,0,0,2,2,2,10,14
15764974500,8,8,11,17,18,24,24,24,29,29,36,37,37,37,40
7102958979,6,6,8,8,9,9,9,12,12,13,13,13,13,15,16
7404063887,0,0,0,0,0,0,0,0,0,3,3,3,3,3,9
7202110225,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18
55878398500,2,2,2,2,2,6,11,11,15,23,26,26,27,32,33
23974116800,0,8,10,12,14,14,16,16,17,17,18,20,20,21,21
6506968790,2,3,7,8,8,10,18,32,114,141,158,164,195,207,218
8354986600,32,37,53,66,83,83,83,84,84,84,84,100,100,115,115
24476241600,0,4,5,5,5,5,5,13,13,16,16,16,16,16,16
6701621806,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
7801351597,0,0,0,0,0,20,20,20,20,20,20,20,21,22,22
56102896400,2,28,70,78,102,103,121,134,139,155,169,173,209,216,230
9638930800,0,5,8,11,14,14,15,16,20,21,22,24,24,26,28
7402556178,0,0,0,0,0,0,0,0,8,8,11,11,11,11,11
16552005800,2,2,2,2,3,3,4,6,7,7,7,10,10,11,11
9335815300,0,0,0,0,0,12,18,21,21,35,35,35,35,45,45
11140219400,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9
16040151000,7,7,7,7,7,7,30,30,30,30,48,48,55,55,107
23389770200,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
57202570880,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
55920332400,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
55945839900,4,4,4,4,4,4,4,4,46,46,71,71,99,99,119
6506606989,0,4,4,5,7,10,10,39,39,39,44,53,53,53,53
6508184727,0,0,0,0,2,2,2,2,2,2,6,6,6,6,6
9737524300,5,5,6,6,7,11,11,24,24,26,29,30,30,31,33
12445890100,0,0,0,0,6,6,10,10,14,14,19,26,29,29,33
10939518900,0,0,0,0,5,7,7,7,7,10,10,16,18,18,18
56011200900,0,0,0,0,0,9,10,14,14,21,21,21,21,21,21
24329321000,0,0,0,0,0,3,3,3,3,3,5,5,5,11,11
12782108500,0,0,4,18,18,18,18,18,18,18,18,24,55,59,59
6602427597,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17
56264196800,17,19,74,74,77,87,118,120,131,131,196,196,256,256,260
8527884800,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9
11139739000,0,0,0,0,0,0,0,0,0,0,0,7,7,8,8
36082712800,3,3,3,3,6,14,14,17,17,32,32,32,32,32,32
6507622590,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3
16048305800,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7
35227984800,0,0,15,15,19,19,19,19,19,19,19,19,19,19,19
16305475400,2,2,2,6,8,8,8,9,12,12,13,13,16,16,16
56962725000,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23
56261623200,0,3,3,4,7,7,12,12,22,24,25,28,29,34,38
7004191595,0,0,3,3,3,12,12,12,12,12,12,12,12,12,12
23486553100,0,0,7,16,16,16,16,16,16,16,16,16,16,21,21
8871717400,0,0,1,1,4,7,7,7,7,7,9,9,9,9,9
16319059800,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5
23003806600,0,0,0,11,17,22,22,26,26,50,51,52,57,60,60
10739175600,0,0,0,0,0,0,0,0,0,0,31,31,116,116,147
10046231500,3,3,7,10,11,12,18,18,18,18,24,24,28,32,33
6506453347,0,0,0,0,0,0,0,14,14,14,14,16,16,22,22
24315254400,0,0,0,0,7,7,17,22,24,24,25,27,38,39,40
12799630500,0,0,0,0,0,0,23,23,41,45,45,51,56,89,109
14018182100,0,0,0,2,2,2,2,2,4,4,4,6,6,6,6
56034849500,0,3,3,6,10,12,12,12,12,14,14,14,14,14,14
6504653977,0,0,0,0,1,2,2,4,6,11,15,20,44,55,74
19639016500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
12141748700,0,0,0,0,0,0,0,0,3,3,11,14,14,14,14
7004127960,0,0,0,0,0,0,0,0,0,0,51,51,93,93,123
26656928600,31,31,52,52,54,54,58,58,87,87,91,91,126,126,183
36062465900,6,10,11,11,13,15,15,20,20,21,21,21,21,21,27
7004436970,0,0,2,11,11,11,11,11,23,25,25,25,25,25,25
35146413200,0,0,3,3,3,3,3,3,8,8,8,8,8,8,8
12791191700,0,0,2,2,2,2,6,6,6,6,6,6,6,6,6
6506503732,4,5,5,11,11,15,15,20,20,32,34,34,35,41,49
15623589400,2,5,9,10,12,17,31,36,38,41,41,45,46,52,57
55546800700,40,40,40,40,55,55,66,66,99,99,119,119,144,144,166
35336737300,0,0,0,0,0,0,0,0,0,28,28,28,28,73,73
56247731400,0,0,0,0,0,0,0,0,87,87,87,87,87,87,87
7004660990,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
26665866000,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
24339400400,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8
10340051200,0,0,0,0,0,0,42,42,42,42,42,42,42,42,42
56166510800,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3
16444653600,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5
7005504231,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20
14034183600,0,0,0,8,8,8,8,8,8,8,8,14,14,14,14
6505664359,0,0,0,0,0,0,0,0,11,11,24,24,24,24,31
35580691300,0,0,0,1,1,1,2,2,3,3,3,3,3,5,5
7102397902,0,0,0,0,0,0,0,0,0,0,6,6,6,27,34
6504779345,0,4,4,4,4,4,12,12,12,12,15,15,15,15,15
12802681900,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
7102335675,0,0,0,0,0,2,2,2,2,2,4,5,5,5,5
16176014600,0,0,0,13,13,13,35,42,42,65,65,65,65,65,65
6602740449,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2
9238664600,0,0,0,0,0,0,0,0,0,4,4,5,5,5,5
6506869382,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
24391172200,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8
8358959200,3,3,4,8,10,10,10,11,15,15,18,20,21,22,23
13606337500,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
7006384531,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8
17344998700,0,0,0,5,11,11,11,11,11,14,14,14,14,18,22
6508101392,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6
7004081145,0,0,0,2,4,4,9,9,10,10,10,10,10,10,10
6507612508,0,0,0,2,2,2,5,8,11,11,11,19,20,24,30
56229342500,3,3,3,5,31,41,41,47,49,62,62,64,72,76,77
8530828800,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10
16030245100,0,0,0,0,0,0,0,0,0,0,0,3,3,9,9
56371641400,0,0,0,0,7,7,7,7,7,12,12,12,12,12,12
13103632900,2,4,5,7,10,11,15,16,17,19,22,22,24,24,24
8362283200,17,17,17,17,23,23,29,29,36,36,108,108,121,121,166
6601971525,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4
7004164353,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8676478800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
56043796300,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5
14049633500,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
6507002866,2,2,2,2,3,3,3,5,5,5,5,5,5,5,7
6506942181,5,5,5,5,5,5,5,16,16,16,16,16,17,17,17
7003558061,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
23036301900,8,11,14,14,14,19,22,25,31,44,50,64,65,68,69
15925903800,0,0,0,0,3,3,4,4,4,4,4,8,8,12,16
15071768600,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4
23995037400,0,6,6,6,7,7,10,12,18,25,25,25,25,29,33
6507534597,0,6,6,6,6,6,14,14,14,14,14,14,14,14,14
6506953605,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8
56207371100,11,11,11,14,17,17,34,38,45,54,60,73,82,139,140
7006245533,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3
23110003000,4,7,17,20,20,22,22,32,32,35,37,42,43,46,46
36972446100,0,0,0,0,0,0,9,13,15,15,17,18,18,20,24
23009164900,2,2,3,3,4,4,4,4,4,6,8,11,11,11,11
6503998102,0,4,4,4,4,6,7,7,9,9,13,15,15,18,18
9535285400,0,0,0,4,4,6,6,6,6,6,6,6,6,6,6
