ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
7403240913,0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,31,31,31,31
7201463973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8
6602598068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
6506469936,20,20,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
8839217100,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,13,16,20,20
7004563454,0,9,9,22,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
6507211249,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
22980480200,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6507128801,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7
23767881700,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7004362520,0,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
6506654142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5
6603292956,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6507793725,3,3,3,3,3,3,9,9,11,15,18,18,18,20,42,42,42,42,45
56973975400,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
56489440200,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
7801496180,2,2,3,3,3,3,3,3,3,3,3,3,5,7,7,7,7,7,7
6506304639,3,3,3,5,7,8,11,14,16,16,16,24,25,33,33,38,42,42,43
7501542249,0,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
23501520800,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6
6507663949,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
56024559200,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7801453614,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7801443620,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7005485079,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12645434100,0,0,4,4,4,4,7,7,22,26,26,37,43,48,48,48,55,55,73
55813738200,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7103089565,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6603772150,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6504090957,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
8247164300,0,1,1,1,1,2,3,3,3,3,3,7,9,9,9,12,12,12,12
6504720451,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
15122837200,4,4,4,4,4,4,6,8,8,9,23,26,27,28,40,47,58,58,62
6602165045,0,0,0,2,2,5,5,5,5,6,6,6,6,6,6,6,6,6,6
6701844757,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5
6508197163,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6601952104,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
25030814700,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7005571188,22,22,22,22,37,45,58,58,58,58,58,58,58,58,58,58,58,58,58
6701741232,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2
