ID,2012,2013,2014,2015,2016,2017,2018
36634548900,4,9,9,9,9,9,9
55146647600,4,4,11,11,13,13,13
9436849500,3,3,24,24,29,29,29
23005317000,7,7,7,7,7,7,7
55995655700,2,2,2,3,3,7,17
8937681800,6,6,6,6,7,7,7
54396240700,2,2,2,23,23,23,23
14044821700,3,3,3,8,11,14,14
56603526600,6,6,6,6,6,6,6
7004889724,16,16,16,16,64,64,89
55545451400,2,2,2,2,2,4,6
6506961099,7,7,7,7,7,7,7
55509195900,3,3,3,5,5,5,11
55355619500,2,3,4,4,4,5,7
56226169900,4,4,4,4,4,4,4
55248308500,1,1,3,3,4,4,4
36570451600,2,2,7,7,7,7,7
56023454200,3,3,3,3,3,3,3
36666791400,26,26,26,29,36,36,36
57200513432,3,3,7,7,7,7,7
56731825000,2,2,2,4,4,4,4
36938648000,14,14,14,14,14,14,14
55598321100,3,3,3,3,3,3,3
9232973200,2,2,5,5,17,21,21
6505812107,2,2,2,2,4,4,4
15072104100,5,5,5,5,5,5,5
7103118811,5,5,8,8,8,8,8
55365446500,3,3,3,3,3,3,3
53164333900,15,31,31,31,36,36,36
16052685300,4,4,4,4,4,4,4
7004602618,4,4,4,6,10,11,11
55361625500,1,2,2,2,2,2,2
55190796100,4,4,4,4,6,6,13
55575328700,5,11,11,14,14,14,14
18042484900,4,4,7,9,13,13,15
56279072100,46,63,63,63,63,63,63
7003946927,9,22,22,22,22,22,22
8899520500,47,47,61,61,81,81,101
55111049900,7,7,29,34,34,34,34
19639164500,5,5,5,5,5,5,5
35227260700,62,70,82,82,88,88,88
36165131200,2,5,5,5,8,9,16
7003444816,6,6,6,6,6,6,6
36470166200,4,4,5,9,9,9,12
36163895900,8,10,15,17,17,17,17
7004065769,8,8,8,8,13,13,18
6506673194,10,10,10,10,10,10,10
7005662649,5,20,29,45,51,55,60
37090425600,2,2,2,2,2,2,2
7102250485,2,3,3,3,3,3,3
49360979100,2,3,4,4,4,14,16
55307733700,2,2,2,4,4,4,4
7403193548,2,2,2,2,2,2,2
35725875000,15,31,31,31,31,31,31
6701413184,5,5,5,9,9,14,14
6603709176,3,3,3,3,3,3,3
55497275500,2,2,2,4,4,4,4
36998492600,3,6,6,18,18,18,18
55351421700,5,5,5,11,11,14,17
55633475000,6,6,6,6,9,9,9
36483679200,52,52,100,100,100,100,100
36935807700,1,1,12,13,13,13,13
22836597000,3,3,3,3,11,18,18
55061084700,3,3,3,4,4,5,16
55546184300,3,3,3,3,6,6,6
7006114072,8,8,8,8,8,8,8
7004522318,23,23,23,23,23,23,23
55549626100,13,13,17,19,19,24,24
7004113296,85,85,85,85,105,105,105
55317520400,2,3,3,3,6,7,11
55360265100,3,3,3,3,3,3,3
55538928100,4,4,5,5,5,5,5
16635449000,12,12,32,32,42,42,79
7102741063,39,39,39,39,39,39,39
35769026000,3,4,4,5,5,12,16
55915908500,2,2,2,2,2,2,2
55662368200,4,4,4,4,4,4,4
55370968200,1,10,12,14,14,17,17
35723249900,6,6,6,6,6,6,6
24725470100,4,4,4,4,4,4,4
42862281800,4,9,9,22,24,25,25
55613351800,3,3,3,5,5,5,5
55829889400,8,8,8,10,10,13,13
7005651253,4,4,10,10,10,22,22
6601990079,8,12,12,12,12,12,12
55111470500,9,9,9,11,11,11,17
6603293949,3,3,3,3,3,3,3
55030182900,26,26,26,26,26,26,26
55548178400,5,5,5,9,9,11,11
25222212100,7,7,7,7,7,7,7
34971273500,1,3,5,5,5,5,5
36544740400,9,9,12,12,12,12,12
20336838200,5,8,8,9,19,19,19
6701455884,46,46,46,46,46,46,46
35278357200,53,53,53,53,53,53,53
25521396000,6,6,9,12,13,19,23
55221050200,4,4,5,5,5,5,7
37012411200,15,15,23,24,24,24,24
56524174800,8,8,8,8,8,8,8
57192264731,4,4,4,4,4,4,8
36624861800,6,6,6,6,6,6,6
7003474676,7,7,7,7,7,7,7
14010506300,6,6,6,6,7,7,7
35579443800,8,8,8,8,8,8,8
8578128200,7,7,7,7,7,7,7
7006050927,7,7,7,7,7,7,7
7403414696,4,7,19,20,21,23,23
57198192687,3,3,6,6,6,6,6
55916702300,3,3,3,4,7,8,8
55785453700,3,5,5,5,5,5,6
55550253900,14,14,14,22,22,22,25
56269052900,6,6,6,6,12,12,12
55614767900,3,3,3,3,6,6,6
7005797457,1,1,8,8,15,17,19
7003560370,27,27,27,60,64,68,68
57190300339,7,7,14,14,14,21,21
11140219400,9,9,9,9,9,9,9
52663190900,2,2,4,4,4,4,4
55770361000,2,2,4,4,4,5,6
24399312200,11,11,11,11,11,11,12
8359720900,4,4,7,7,9,11,11
54079567300,5,5,9,9,9,9,9
55354640400,2,2,4,4,6,6,6
36344414400,64,64,80,80,80,80,111
6701680556,42,42,58,58,96,96,139
7102302494,7,7,7,7,7,7,7
26658661700,7,7,20,20,89,89,89
55512982300,5,5,7,11,11,11,11
25927438700,2,9,9,9,9,9,9
36509010000,8,11,11,11,11,11,11
6602788919,43,45,45,57,118,118,118
56038482800,3,3,6,6,15,17,17
44061770000,3,3,3,6,6,9,9
6602532118,4,4,4,4,4,4,4
55611409500,3,3,3,3,3,8,12
6602480465,10,10,10,14,19,19,19
57195363265,2,4,5,10,11,11,11
55617653100,6,8,12,14,15,16,16
55260196300,3,3,6,6,8,8,8
55512123900,3,3,3,5,6,6,6
36180760000,2,2,2,3,3,6,9
16319059800,5,5,5,5,5,5,5
6603422890,5,5,5,5,5,5,5
56239624400,1,1,1,1,1,1,3
55223857400,3,4,6,6,8,9,12
8394955900,3,5,5,11,12,13,13
55574338100,5,8,8,8,8,17,20
7202955989,3,7,10,13,14,14,14
36473660200,4,4,5,5,5,5,5
55005593100,2,2,4,5,5,5,9
55324066000,2,2,2,2,2,2,4
55617285400,3,3,3,3,3,3,3
40461294600,3,16,30,33,33,36,39
12141748700,3,3,11,14,14,14,14
55514076400,3,3,6,6,9,9,9
6602959438,13,21,21,21,21,21,21
24298153000,3,3,3,3,3,3,3
26643051400,2,3,3,3,4,4,4
55484899000,10,15,15,15,20,20,20
55824555700,2,2,2,2,2,2,2
35559306700,9,9,9,9,9,9,9
6603787464,5,5,5,5,5,5,5
55220810400,3,3,3,3,3,7,7
56247731400,87,87,87,87,87,87,87
24734224500,4,7,8,8,8,8,8
23009719000,7,7,11,11,14,14,15
36496392800,26,26,26,26,26,26,26
55538545300,1,1,1,3,3,3,3
50263152500,7,8,16,19,19,24,30
8866785000,2,3,3,5,5,5,5
55248131500,6,6,6,6,6,6,6
24597928200,7,11,11,11,13,13,16
6508329894,4,4,4,4,4,9,9
6701451188,11,11,11,11,11,11,11
35353151900,17,17,17,17,17,17,17
56235584200,9,13,19,30,30,30,33
55246430000,2,2,7,8,9,11,12
55328950200,6,6,9,12,15,20,22
55295855400,5,5,5,5,5,5,5
25634030900,6,6,21,21,21,21,21
10640865700,7,7,11,11,11,11,11
6507079874,52,52,118,118,118,118,148
55221780300,10,15,15,15,17,22,22
55350072800,2,2,2,4,4,4,4
55336404300,3,3,3,3,3,3,3
7005987058,5,5,5,5,5,5,9
14021972200,3,3,3,3,3,3,3
56078681100,3,3,6,7,10,11,11
54883990800,4,4,4,4,4,4,4
55363615700,5,8,9,9,10,10,10
7006765227,4,11,13,13,13,13,13
15043543400,4,4,4,4,4,4,4
49561296700,4,4,5,6,7,7,7
28567867800,25,25,25,30,30,30,30
41361303800,68,68,104,104,104,104,104
56231774300,15,15,15,15,15,15,15
8679677600,9,9,9,9,9,9,13
7004155562,9,9,9,9,9,9,9
8719934600,5,7,10,16,16,20,22
24073553800,3,7,10,16,28,39,43
55263409300,4,4,5,5,6,6,6
34879963400,2,3,3,4,4,19,35
7102702089,35,35,35,35,45,45,45
6603869705,4,4,4,4,4,4,4
55764426800,4,6,10,13,18,22,24
55501601700,3,3,3,8,10,13,15
12800348400,3,10,11,12,13,24,24
7004364208,8,8,8,13,13,19,19
55670886100,2,2,2,3,3,3,6
36796242600,4,4,4,4,4,6,6
55549097100,11,11,11,11,83,83,83
6504708635,9,9,9,9,20,20,22
6701466183,5,6,6,8,8,15,15
54383081400,7,7,7,7,7,37,37
55533245300,4,4,4,4,7,7,7
14219493000,3,3,3,3,4,4,4
36766811100,3,5,5,6,6,6,6
39861152700,3,3,3,3,4,4,4
35740238100,3,16,16,16,19,28,33
55325382800,3,3,4,4,4,7,7
55584822600,2,4,4,6,11,14,14
6507739131,4,4,4,4,11,11,11
6603369548,15,15,16,24,41,41,41
55617128000,1,5,5,6,6,6,7
24467691000,2,3,3,3,5,6,6
6701645511,2,2,2,2,2,2,2
55549222100,8,8,12,12,12,12,12
53876848400,12,12,12,12,12,12,12
36605078300,14,59,87,96,96,96,106
36455241100,2,2,2,2,2,2,2
55781339500,2,4,9,10,10,10,10
55293649000,3,3,3,5,5,5,6
55278227000,7,7,12,12,12,12,12
7004270070,10,10,10,14,19,19,19
55361212900,2,2,2,2,2,2,2
6603307945,14,30,30,30,30,40,40
7102513091,47,47,61,61,81,81,101
35366880000,6,6,6,8,13,13,13
55947860200,79,79,79,79,79,79,79
22978219700,4,16,16,18,23,25,33
8852333700,17,17,17,26,26,26,26
26667977800,4,5,5,5,5,7,9
15078369500,85,85,85,85,105,105,105
55667720100,1,1,1,1,1,3,3
55210022200,4,4,4,13,13,13,31
56707541600,5,5,5,5,12,12,12
55445774900,5,10,11,11,11,16,18
7006031213,18,18,20,28,28,28,28
57054186900,4,10,10,20,20,20,20
55368138900,5,5,5,8,8,13,13
7006810753,12,14,23,23,23,23,23
17346836600,9,9,9,9,83,83,83
7202319998,60,60,101,101,104,104,104
35311349100,3,6,15,22,22,22,22
32667536800,3,3,3,3,3,3,3
55445614200,6,6,6,6,7,11,14
36020436800,4,4,4,11,18,18,18
55549106000,64,64,80,80,80,80,111
7005337860,4,4,5,5,6,13,13
55452147300,2,2,3,3,3,3,3
37062264800,22,22,39,39,39,42,42
55548063400,18,18,18,23,23,23,23
8271528700,156,156,180,180,193,193,231
55616858800,5,5,5,5,5,5,5
36711970500,2,5,5,5,5,5,6
15051444500,6,6,9,9,9,9,12
55633495400,2,6,7,8,8,8,8
15128249100,16,16,16,16,64,64,89
7006642296,2,2,2,2,2,2,2
6504651150,4,4,4,4,4,4,4
16315312800,3,4,4,5,5,9,13
55990754900,3,3,4,4,4,4,4
55888562000,3,3,5,5,7,7,7
54785250200,7,16,16,20,20,20,20
7402879198,10,10,16,18,21,21,24
55430899100,5,5,6,6,7,7,7
6506473630,6,6,8,8,8,11,11
6602095664,25,25,25,30,30,30,30
24722171000,25,40,40,40,107,107,107
6603069255,3,3,3,3,3,3,3
55493114000,17,17,17,17,17,17,17
57205035994,1,11,11,11,18,22,22
24166367300,3,5,5,5,5,5,5
25921891800,2,2,2,2,2,2,2
7401672432,22,25,25,30,35,56,58
55368371300,1,2,6,7,7,7,7
36629086200,42,42,42,42,58,58,74
55561198100,3,3,3,3,6,12,17
54894546700,4,18,18,26,26,27,27
7101854015,25,25,25,30,30,30,30
36745511200,10,12,13,14,20,24,24
55759851900,2,7,8,8,8,8,8
55169535800,19,19,19,20,20,20,22
7004178217,5,5,5,5,5,5,5
9637157900,7,7,7,13,22,28,31
36489867900,11,15,15,17,17,17,17
7006629612,2,2,2,2,2,2,2
55325244400,6,10,10,10,10,10,10
55891464700,3,6,6,6,6,6,6
55336708700,1,1,1,1,1,1,1
37030862100,5,6,7,7,7,7,7
7801481317,4,4,6,6,6,6,6
53063834600,1,4,4,6,8,52,53
10640402400,7,7,29,29,29,29,29
35367098400,6,6,6,6,6,6,6
57198837555,4,4,4,13,14,14,14
6701610202,14,14,14,14,14,14,14
13408518200,8,8,8,10,10,10,10
36701173500,6,6,15,15,15,31,31
35552368000,3,3,3,3,3,3,3
24921144600,8,12,12,12,12,12,12
55428885400,5,5,6,9,9,9,9
55796061200,2,2,2,2,2,2,2
57202981280,7,17,27,40,41,43,43
55719990600,3,5,5,5,5,5,5
53867695700,3,6,6,12,17,17,20
36638263700,6,7,7,9,9,9,9
8651675100,4,4,18,37,40,40,40
35601218600,10,12,13,13,16,16,16
6603043601,7,7,7,7,7,7,7
57203501173,7,10,10,10,10,10,10
55210767000,10,16,19,19,19,22,22
53983566400,6,6,6,6,6,6,8
8423278400,1,1,1,1,1,1,1
23568096100,2,4,4,4,4,4,4
55346981800,6,9,10,15,23,23,24
7003572213,25,25,25,30,30,30,30
7101935554,3,3,8,8,21,24,31
24482078500,8,8,8,8,16,16,16
7006767394,46,46,46,46,46,46,46
55521591300,2,2,3,3,3,3,3
55512106300,16,16,16,16,22,22,24
53869264700,10,10,10,10,10,10,10
6701529090,5,5,5,5,5,5,5
55176932300,2,2,2,6,6,8,8
56007650900,7,12,12,17,17,17,17
55245967100,1,1,1,1,1,1,1
11141451800,1,1,8,8,8,12,12
23100506700,8,8,14,14,17,17,17
55613559200,3,3,3,3,3,3,3
7101767324,2,2,2,2,2,2,3
6602191591,4,8,8,8,12,14,14
55556513600,3,3,3,5,7,9,12
23097052900,8,8,8,8,8,8,8
55498169900,1,2,2,2,2,2,2
55577742400,2,2,2,7,7,7,7
55557193000,7,9,12,15,17,28,31
57191530191,2,2,2,2,2,9,9
55533530700,1,1,1,1,2,2,2
55751941100,9,18,33,63,67,75,86
7004498132,10,10,10,10,10,10,10
8079895700,22,22,29,29,29,29,29
57193206466,6,6,6,8,8,8,8
7003777941,18,18,54,54,54,54,54
7005323675,79,79,79,79,79,79,79
55336796200,4,4,4,4,4,4,4
55248106700,2,8,9,9,9,13,13
16318558900,5,5,5,10,10,12,12
23024216600,2,2,11,11,33,33,34
36180280200,4,4,4,4,4,4,4
55542373200,4,4,4,4,19,19,96
9733493500,4,4,4,4,4,4,6
35305721700,2,3,3,7,12,19,19
7005255041,1,1,4,4,8,8,8
55359456300,4,4,4,4,4,4,8
35730127500,3,5,7,8,8,8,8
57203428447,2,3,3,4,6,6,6
26423273800,10,10,10,10,10,10,12
55574704800,4,7,17,17,17,17,17
55217807100,30,34,34,41,45,45,45
36600696500,20,20,20,20,22,27,27
55180648900,12,12,13,13,13,26,35
7201370401,6,6,6,6,6,6,6
55188488700,4,5,5,5,5,5,5
7101908181,2,4,4,4,4,6,6
55505868300,1,1,1,1,1,1,1
7408367911,5,6,11,11,16,23,25
25636775500,4,5,5,5,5,5,5
7005825030,6,6,16,16,16,16,36
36695962000,18,20,20,24,26,27,27
7202458060,6,6,6,6,13,13,13
6602619027,11,11,11,11,11,11,11
7007039790,8,8,8,8,8,8,8
26039009900,7,10,10,10,10,10,10
55479821900,37,37,81,81,85,104,111
54931753200,3,3,3,3,3,3,3
55372017900,6,6,7,7,7,7,7
55035833600,8,10,13,20,20,21,24
6602954348,6,29,29,29,29,29,29
8311805400,1,1,1,1,3,3,3
24829297300,5,21,35,44,46,47,47
25629638900,2,2,2,2,5,5,5
37057350700,3,3,5,5,5,5,5
53364281100,5,5,5,15,15,15,15
24463413800,3,9,9,11,16,22,27
37103096800,5,5,10,15,15,15,15
6701726451,5,5,5,5,5,5,5
35775967500,23,23,23,23,23,23,26
14061816800,1,1,1,1,3,3,3
54953444600,9,45,45,51,73,75,75
26221026700,26,26,30,30,59,59,59
55216377000,4,4,12,18,18,20,21
35503628400,1,1,1,1,8,8,8
8439640900,4,4,4,4,4,4,4
12760632600,2,2,2,2,2,2,2
57196939944,3,4,5,8,10,13,13
57191875467,3,3,34,34,46,46,47
44661032400,2,7,7,10,10,14,19
55263584900,5,5,5,5,6,6,6
7004482906,5,5,5,5,5,5,5
23093043900,3,3,3,3,3,3,3
12794982000,5,5,5,11,11,11,11
26537724500,3,3,3,3,4,4,4
36343861600,3,3,3,3,3,3,3
24460344700,8,8,12,15,18,18,18
55638466400,8,8,8,13,16,16,16
8880436000,9,18,18,18,18,18,18
55567678100,2,2,2,4,7,7,7
55019681200,9,9,81,81,95,95,95
16027677700,3,3,3,3,3,3,4
54879351900,2,5,7,9,9,9,9
8592463100,1,1,1,1,1,1,1
37013712000,1,1,4,4,4,4,4
22940323800,1,1,1,1,1,1,5
55541687400,19,19,38,38,121,121,127
36018537700,8,8,8,8,8,8,8
24528409300,4,4,4,4,4,4,4
8219023200,8,8,8,14,15,18,18
7102054980,2,2,4,4,4,4,4
7003323413,3,3,3,3,3,3,3
7003523676,3,3,3,3,3,11,11
57202699084,18,18,18,20,20,20,20
55192764700,20,25,25,25,25,25,25
13405334600,8,8,8,8,8,8,8
57020411900,6,6,6,6,6,6,6
55651915700,4,5,7,8,14,14,14
55538669500,3,3,5,5,8,8,8
55253499700,7,7,7,7,15,15,15
7101747654,7,7,7,7,7,7,7
8299528500,39,39,39,39,39,39,39
36810264000,5,5,5,9,11,19,21
24376026500,4,4,4,4,4,4,5
