Unnamed: 0,ID,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
7051,6603278959,1,1,1,1,2,2,3,3,3,3,3,3,3,2006
7103,55880595600,3,3,3,3,3,3,3,3,6,6,8,8,8,2006
7167,24438905800,2,2,8,8,8,12,12,12,12,12,12,12,12,2006
7448,6506316829,3,3,3,5,5,6,6,8,8,10,10,10,12,2006
7460,6602757933,3,8,14,20,20,24,24,24,29,29,29,32,32,2006
7554,23008315300,3,5,5,10,13,13,16,20,25,31,47,47,49,2006
7652,7003553733,3,3,3,6,8,12,20,25,28,28,29,36,36,2006
7739,56014170800,11,11,12,19,19,21,21,21,21,33,33,33,36,2006
7743,8238843700,3,3,3,3,3,3,8,10,10,13,13,13,13,2006
7800,7401931345,3,3,3,3,3,3,3,3,3,3,3,3,3,2006
7837,7404584619,26,26,26,26,26,26,26,26,26,26,26,26,26,2006
7849,16052113900,2,3,3,5,7,7,9,12,15,17,24,31,38,2006
7954,9270640200,2,2,2,2,8,8,8,11,11,11,12,15,15,2006
8067,13003252300,5,5,5,5,5,5,5,5,5,5,5,5,5,2006
8322,23992060200,2,2,7,7,7,7,7,7,7,7,7,7,7,2006
8428,7801436507,7,7,15,22,32,43,78,93,115,119,119,119,119,2006
8488,7202301923,5,5,5,5,5,5,5,5,5,5,5,5,5,2006
8580,16308547800,10,14,17,23,23,32,32,38,39,47,50,54,54,2006
8590,55880162000,19,19,80,90,90,90,90,90,90,90,90,90,90,2006
8618,7005474610,9,9,9,9,9,9,9,9,9,9,9,9,9,2006
8709,13905318100,3,3,17,17,19,21,25,28,30,35,35,36,57,2006
8725,8545199600,15,15,15,15,15,36,36,36,36,36,90,90,118,2006
8829,22034270200,15,15,19,19,26,27,27,29,29,29,29,64,80,2006
8884,15063034600,3,5,11,19,23,23,23,24,30,34,36,36,36,2006
8904,6602806483,1,1,1,1,1,4,7,8,8,8,8,8,8,2006
8914,14043269900,3,4,4,4,5,5,5,5,5,8,8,8,8,2006
8920,24367741500,4,4,4,4,4,7,7,8,8,8,8,8,10,2006
8948,6507058002,5,5,5,5,5,18,18,21,32,32,32,32,32,2006
8999,23036015000,4,6,9,12,15,19,26,40,50,59,74,74,74,2006
9009,15042713000,2,2,2,2,2,6,6,6,12,17,18,20,22,2006
9011,57194148003,8,8,12,12,17,17,18,27,33,36,36,38,38,2006
9066,24467433000,3,3,3,3,6,17,51,64,70,73,78,85,96,2006
9200,15835961200,13,29,50,55,64,67,83,96,108,115,115,118,118,2006
9381,15065936300,1,1,1,1,3,3,3,3,4,4,4,7,7,2006
9419,22937480300,3,3,3,3,6,6,6,6,6,6,6,6,6,2006
9422,17436094300,3,3,3,3,3,3,3,3,3,3,3,3,3,2006
9436,24173523600,16,16,29,29,61,76,76,100,102,102,124,124,148,2006
9438,8247907800,6,6,6,8,8,8,8,8,10,10,10,14,14,2006
9595,15924858900,1,1,1,1,5,16,18,19,19,21,21,21,21,2006
9619,14630477600,12,12,16,16,33,33,51,61,72,74,74,74,85,2006
9766,16175826800,2,5,5,5,11,13,13,13,14,14,16,16,18,2006
9812,6603467165,18,22,22,22,22,22,22,22,22,22,22,22,22,2006
9864,11240147200,5,5,10,10,57,57,59,59,70,70,127,127,143,2006
9939,24344030900,3,6,8,9,9,20,23,27,32,38,40,40,43,2006
9946,8061605500,11,11,11,11,11,11,11,11,11,11,11,11,11,2006
10012,14830900200,3,3,3,4,6,7,9,12,13,13,18,18,18,2006
10027,55891190000,2,2,3,5,5,5,7,8,9,9,9,9,9,2006
10030,35729509300,4,7,24,42,70,91,107,127,149,172,193,208,211,2006
10039,55879448100,3,3,3,3,3,3,3,3,5,5,13,13,13,2006
10060,24359644800,32,32,32,32,32,32,32,32,32,32,79,79,142,2006
10115,25026867200,3,3,6,7,7,7,7,7,7,16,33,33,36,2006
10205,8406636000,4,4,4,4,4,4,4,4,4,17,27,31,31,2006
10242,7202964254,44,44,77,77,77,77,77,77,141,141,141,141,143,2006
10248,23395875300,3,4,7,9,11,15,23,32,36,41,41,44,44,2006
10293,22980532200,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
10371,57201695050,2,2,2,2,2,3,4,4,4,4,4,4,4,2006
10608,35415350700,10,10,10,10,10,10,10,10,10,10,10,10,10,2006
10626,23394027800,7,11,20,30,33,43,54,60,60,62,74,76,78,2006
10649,23005220000,2,3,3,4,7,8,8,10,10,16,16,22,22,2006
10736,7402370025,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
10782,23388144300,5,10,11,15,18,21,21,27,28,28,33,33,33,2006
10808,16040586900,1,4,15,17,24,37,46,47,51,58,66,72,78,2006
10830,6602667886,5,9,11,11,11,11,11,11,11,11,11,11,11,2006
10838,8860238600,5,5,7,18,19,24,36,39,45,55,67,67,67,2006
10895,11839198600,2,2,5,5,5,13,17,17,17,27,54,54,54,2006
10928,7006607836,6,8,9,9,11,13,16,16,25,30,30,34,39,2006
11050,6602276865,7,7,7,10,10,13,18,24,24,26,26,26,26,2006
11138,16549202900,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
11262,6701775834,9,9,9,9,9,9,9,9,9,9,9,9,9,2006
11345,23570771000,4,4,4,4,17,17,23,23,29,29,29,29,32,2006
11354,56213066200,3,3,5,5,7,7,9,13,13,16,24,26,35,2006
11475,16174999700,9,15,21,23,24,27,31,34,36,46,53,53,64,2006
11481,14010454100,6,6,6,6,6,6,6,6,6,6,6,6,6,2006
11485,23019867300,2,4,5,5,5,14,14,14,16,18,18,18,22,2006
11537,6602803868,2,2,2,2,2,5,7,7,7,7,7,7,7,2006
11554,7103031263,36,46,46,46,46,46,46,46,46,46,46,46,62,2006
11596,6701718244,5,9,10,10,12,13,13,13,13,13,13,13,13,2006
11614,6506743279,2,2,2,2,3,3,3,4,4,4,4,4,4,2006
11699,6507457125,10,10,35,55,76,84,93,100,102,105,118,142,146,2006
11703,6603400040,5,6,10,14,14,21,28,37,44,49,55,56,66,2006
11792,24376540100,7,7,34,34,34,34,34,34,34,34,48,48,48,2006
11916,17433279200,5,8,13,23,119,157,185,233,245,259,275,301,328,2006
11982,23767667200,7,7,7,13,16,25,29,29,29,50,50,50,68,2006
12388,24076850400,6,6,6,9,9,9,9,9,9,9,9,9,9,2006
12428,7003737624,1,1,1,1,1,1,1,1,1,1,1,1,3,2006
12501,7203034481,2,2,7,15,31,34,37,40,40,51,53,60,61,2006
12601,7801629335,5,17,17,17,17,17,30,35,35,35,35,35,35,2006
12674,8955344300,3,3,3,3,3,3,3,3,3,3,3,3,3,2006
12748,20337002800,2,2,2,5,6,7,13,13,16,18,18,18,20,2006
12776,14035112900,2,4,6,9,14,15,15,16,23,24,26,26,31,2006
12799,24580911300,8,8,8,8,8,8,8,8,8,8,8,8,8,2006
12901,13102569800,3,3,10,10,10,10,10,19,19,23,23,23,23,2006
13008,7202820884,20,20,20,20,20,20,20,20,20,35,35,35,41,2006
13056,24512715400,7,7,7,23,55,59,71,82,82,87,124,124,129,2006
13131,57204299136,3,3,3,3,3,17,20,41,44,70,73,74,74,2006
13235,14822828500,29,52,60,60,60,60,60,60,60,60,60,60,60,2006
13252,6603077303,7,7,7,7,7,7,7,7,7,7,7,7,7,2006
13343,6602910848,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
13503,6504439974,7,18,18,23,23,25,25,25,30,33,46,46,46,2006
13655,15047661000,6,33,35,36,63,63,65,68,70,72,75,80,80,2006
13717,15033163800,9,9,9,9,9,9,9,9,9,9,9,9,9,2006
13727,6507465034,20,27,27,27,27,27,27,27,27,142,142,142,149,2006
13781,6602915670,1,1,1,1,1,1,1,1,3,3,6,6,6,2006
13950,7004153936,6,6,6,6,10,29,29,34,44,46,48,48,84,2006
14047,23393076400,1,1,1,1,1,1,1,1,1,1,1,5,5,2006
14062,55903888700,4,9,12,14,14,14,14,14,16,16,16,16,16,2006
14066,24172482600,3,3,3,3,3,3,3,5,5,5,5,6,6,2006
14078,23012382400,9,11,12,12,12,12,12,12,12,12,12,12,12,2006
14242,7006216110,3,3,3,3,3,3,3,3,3,3,3,3,3,2006
14282,6604024339,11,11,11,11,19,19,19,19,19,19,33,33,33,2006
14358,36138607100,1,1,1,1,1,1,4,7,7,10,12,12,12,2006
14360,24768108500,2,4,7,13,13,15,24,31,43,54,54,59,59,2006
14460,6603340239,1,1,1,2,2,2,2,5,5,5,5,5,5,2006
14592,15130657500,1,2,2,2,2,4,6,6,7,10,10,10,19,2006
14688,6603168559,36,36,36,39,42,43,43,43,47,54,75,75,81,2006
14692,24605421700,6,11,11,11,26,26,26,26,26,26,26,26,26,2006
14857,55986848600,2,2,5,5,5,9,13,16,19,25,29,32,32,2006
14883,56231716900,9,9,9,9,9,15,15,19,19,20,20,20,20,2006
14917,14036575200,3,3,5,5,5,5,6,6,6,6,8,11,11,2006
15019,7005109683,7,7,7,7,7,7,7,7,7,7,7,7,7,2006
15103,16229264400,2,2,2,5,9,12,13,13,14,16,19,26,26,2006
15253,55936684000,1,4,4,6,8,9,10,10,10,10,10,26,29,2006
15300,7003669370,4,4,4,5,5,8,8,9,13,13,14,16,17,2006
15325,23025244700,6,6,6,6,6,9,14,14,14,14,14,14,14,2006
15436,15724514800,4,4,5,9,11,11,16,17,22,22,22,29,29,2006
15475,7006528683,6,6,6,6,6,6,6,6,6,6,6,6,6,2006
15515,16481472800,1,1,2,5,5,6,7,9,9,12,12,12,14,2006
15556,7005925768,3,3,3,3,3,3,3,3,5,5,5,5,5,2006
15738,6507311288,4,4,4,4,4,4,4,10,16,16,23,23,23,2006
15844,7006670877,7,7,7,7,7,7,7,7,7,7,7,7,7,2006
15955,7005058935,8,9,9,9,9,9,9,9,9,9,9,18,27,2006
16049,35183404700,3,3,3,3,3,3,3,3,3,3,3,3,5,2006
16100,7006314431,2,2,2,2,2,2,2,2,8,8,8,8,8,2006
16151,11939892200,11,11,29,29,32,32,50,59,69,69,69,69,69,2006
16349,7004534045,7,7,7,7,11,11,22,22,22,29,29,29,31,2006
16422,22135343900,1,1,10,21,31,42,59,63,64,72,81,87,103,2006
16476,10138985500,1,1,1,3,3,3,10,14,15,16,16,16,19,2006
16487,16069224800,5,5,5,5,5,5,7,10,10,13,13,17,21,2006
16693,55866974300,3,3,3,3,3,3,3,3,3,3,7,7,7,2006
16720,6507121641,8,11,11,11,20,32,44,50,50,53,67,73,97,2006
16798,6603935805,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
16992,6602492895,5,5,10,10,10,10,10,10,14,14,14,14,14,2006
17035,7006452341,3,3,3,3,3,3,3,3,3,3,12,12,12,2006
17189,7005043037,5,5,6,6,6,6,6,6,6,8,9,10,10,2006
17218,7004405659,11,11,11,11,19,19,19,22,24,29,45,45,46,2006
17222,6602645031,21,21,21,21,21,21,41,41,41,41,58,58,58,2006
17337,35570176700,5,5,5,5,5,5,5,5,5,5,7,9,9,2006
17347,6602094506,34,55,71,71,85,86,88,90,90,90,90,90,90,2006
17364,14822228100,21,21,33,33,53,58,68,68,83,83,115,115,151,2006
17661,6603263211,5,5,5,16,16,29,29,31,45,48,48,48,64,2006
17819,55967967000,34,34,38,38,38,38,38,38,38,38,38,38,38,2006
17872,7005752307,46,46,46,46,46,46,46,46,46,46,46,46,46,2006
17878,15032668000,5,8,8,13,16,24,24,28,31,38,38,38,38,2006
18008,7005226300,65,65,65,65,65,65,65,65,65,65,84,95,133,2006
18100,7005950294,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
18181,9336917500,13,22,28,28,35,41,46,50,55,60,73,85,85,2006
