ID,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
7004116704,5,5,5,5,5,12,12,12,12,31,31,41,41,42,42,42
6603229195,7,8,8,15,21,21,31,31,31,33,33,33,33,33,45,45
7402913455,3,7,7,7,10,11,14,18,21,21,21,22,25,27,29,29
6507532467,1,1,4,5,11,21,32,37,42,48,54,63,93,114,129,132
6701464571,8,8,8,8,8,8,8,8,8,8,8,13,14,21,21,24
7201891076,2,2,2,2,5,6,6,8,8,12,12,13,13,13,13,13
55978138600,1,1,1,1,1,3,6,9,13,16,20,23,30,35,45,49
6508373947,5,6,6,6,6,6,6,6,6,6,6,6,14,19,19,21
6603087032,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
55913071600,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
15136810000,1,1,4,4,10,20,22,27,30,41,54,77,82,92,98,106
57188780886,2,2,2,4,11,16,21,26,30,32,34,40,44,44,48,51
56114493000,2,3,3,6,7,7,8,10,10,10,10,16,16,16,16,16
6602528674,3,3,3,3,3,3,3,3,3,3,3,3,3,85,90,90
6602517182,22,36,38,42,48,58,60,65,65,71,79,82,87,105,105,108
8412487100,3,6,7,7,7,7,9,13,14,16,18,19,21,21,24,29
55918945100,2,4,4,5,6,9,10,13,14,16,18,18,18,18,22,22
9242243300,7,7,7,7,7,7,7,7,7,7,7,7,14,14,14,14
7005788345,4,4,7,7,7,11,13,13,13,14,14,20,23,23,23,28
6603315522,4,4,4,4,4,4,14,14,19,19,19,30,30,34,35,38
7801411371,4,4,4,8,8,14,24,24,28,28,30,30,35,35,35,35
7006940093,3,3,3,3,8,9,9,18,29,29,29,38,48,49,49,56
6603232688,6,16,16,16,16,16,16,16,16,16,30,48,48,48,48,48
9534663900,4,4,6,6,8,8,8,10,10,10,13,17,22,26,28,28
24766162800,3,7,7,7,7,7,7,7,11,11,12,19,22,26,26,28
6507396322,3,4,4,10,10,10,10,13,16,18,22,26,28,28,33,36
7403416997,6,6,6,6,10,10,10,10,18,18,18,29,29,29,31,31
6602741595,11,11,11,18,18,18,18,29,32,41,42,49,52,52,52,52
6602465276,7,7,14,20,20,39,75,95,98,112,114,125,131,140,143,143
55167850600,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5
6602178534,5,9,19,21,22,25,25,28,28,28,28,28,28,28,28,28
7006367524,7,7,7,7,7,7,7,7,7,7,7,7,16,16,16,16
23474844600,2,2,5,5,9,10,15,15,15,15,24,31,40,50,59,70
6602864255,8,8,8,13,14,18,28,28,29,58,58,70,72,80,80,87
14422903900,2,2,2,2,2,2,4,4,9,12,12,12,12,20,20,26
56186282900,1,1,1,2,5,6,7,13,23,28,29,32,39,40,40,40
6602619218,2,2,2,2,2,3,3,3,3,5,5,5,5,5,5,5
7003418766,3,9,9,9,13,21,25,27,27,33,36,36,44,44,44,44
7003549635,10,10,10,10,10,10,10,10,15,15,19,19,19,19,19,19
6603842054,10,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15
56123819300,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7003879438,14,14,14,14,14,14,14,14,14,14,14,14,14,14,20,20
8885539100,8,8,15,15,42,42,51,51,60,60,62,62,76,76,76,76
14420737800,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7004197032,2,4,6,7,12,12,15,19,19,21,21,24,24,25,25,25
6507267312,8,8,8,8,11,11,11,30,30,30,34,38,38,38,48,48
55435322900,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7004846205,3,3,7,7,7,8,10,10,10,10,14,14,14,14,14,15
56372749900,7,7,11,19,19,31,48,87,95,118,131,131,153,177,186,196
9039915200,1,1,1,1,4,6,14,20,28,43,48,55,57,65,71,80
7003802415,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6602073848,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6602615297,2,2,2,2,2,2,4,4,5,5,7,7,7,7,7,7
6603944743,1,1,1,1,3,3,3,3,4,4,4,4,4,4,4,4
7102002323,3,3,3,6,6,8,8,8,10,15,25,26,32,32,34,38
56602732500,4,7,12,13,25,26,27,27,28,31,31,31,31,32,32,32
6603050298,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7005544800,5,17,17,17,19,19,19,19,19,22,22,22,22,22,31,31
6603838714,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12
34167721100,2,2,2,2,2,4,10,18,19,30,45,49,50,57,71,76
7003459348,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
22433836000,4,4,4,4,5,10,14,18,32,48,51,63,64,64,67,69
6506228384,3,3,3,3,3,4,7,9,12,12,13,13,18,18,19,20
55794210900,26,26,26,75,75,96,105,105,105,105,105,105,105,105,105,105
7005698263,7,8,8,8,8,10,10,10,10,10,10,10,10,10,15,16
8421862400,2,2,2,3,4,6,8,8,11,13,14,16,20,24,28,35
6701641506,6,12,16,20,25,25,30,38,41,43,45,47,53,54,67,68
7003412479,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
35229330100,26,32,36,36,56,56,77,78,107,107,116,116,116,116,116,116
35617318700,7,7,10,10,10,10,13,16,16,16,16,16,16,16,16,16
6507536020,8,8,8,8,12,12,12,15,23,32,33,42,42,46,49,55
7004306508,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
35319201400,2,4,9,9,13,13,15,15,15,16,16,29,29,38,42,44
6508251747,1,1,1,11,11,11,11,13,13,14,18,18,20,24,27,31
7006813675,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,12
6506429890,4,4,4,4,4,4,4,4,4,12,17,17,17,17,20,20
7102452340,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6
55903423300,3,3,3,6,6,6,9,11,13,15,22,22,23,24,24,25
6701728589,5,5,8,11,14,17,28,34,35,38,40,41,43,55,55,55
6602390568,3,6,10,12,26,33,35,60,62,67,73,81,89,91,114,114
8684908200,5,8,9,18,28,36,43,46,49,51,52,58,59,70,72,73
7102503929,2,9,14,14,17,26,34,35,39,39,39,42,43,47,47,47
10141702400,3,5,5,5,6,6,9,13,16,21,22,24,24,24,31,32
6602278793,30,30,33,33,37,37,91,93,93,93,104,104,104,104,104,104
6602666949,3,8,8,8,14,14,17,18,20,20,20,21,25,25,25,28
7004316104,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
57202918713,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
24468840300,14,14,16,16,22,22,22,39,39,39,39,39,41,41,55,55
7003515881,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7006029640,3,8,14,14,16,21,21,21,29,30,33,43,48,60,67,67
7004679217,4,4,4,4,4,4,4,4,4,10,12,14,14,14,14,14
12773400400,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,12
24597426300,4,12,20,20,20,20,20,20,20,27,27,46,46,46,46,46
16492775000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6602094959,7,7,7,9,9,9,9,10,10,10,12,12,13,13,13,13
7801394859,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
6602943142,5,5,5,11,11,11,11,11,11,11,11,11,11,11,11,11
12767832700,6,12,13,13,17,19,19,34,39,42,51,62,69,71,94,97
7801587548,2,2,3,3,3,3,3,3,3,3,3,3,7,10,10,10
7004576162,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10
7005790247,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
55463177000,1,5,5,5,8,17,19,25,40,40,43,44,45,47,52,52
6602299637,3,3,3,3,10,12,29,29,40,42,44,45,45,48,48,52
7102395624,4,4,4,4,4,4,7,7,7,9,9,9,9,9,9,9
6602722954,5,5,5,5,8,10,10,10,10,10,16,16,16,16,17,17
7203034393,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7003437800,3,3,3,3,9,14,17,21,30,35,37,44,56,77,93,112
7202141884,8,8,8,8,8,13,13,17,17,17,17,29,29,51,53,53
56085968900,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6506057017,2,2,2,2,4,4,4,12,14,15,15,17,17,23,29,30
35617957900,2,2,2,2,3,3,7,8,10,14,18,26,28,30,32,32
