ID,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
7004605595,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3
14032719100,3,3,11,22,26,33,38,43,48,54,54,76,79,92,99,102,111,112,126,127
7005434333,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,14,14
7003744304,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
57200770358,2,2,3,3,7,10,13,18,24,29,39,60,87,122,152,189,216,241,263,277
6601996789,8,8,8,8,17,20,20,20,20,20,29,34,35,35,35,40,46,46,53,53
6603871161,3,7,8,9,12,18,18,32,35,35,38,57,58,59,59,64,64,75,75,77
6603677870,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8
6603435799,5,5,5,22,35,35,35,41,51,57,57,63,71,81,84,85,115,120,120,126
7005017387,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,29
13404598200,3,6,6,6,7,9,11,12,21,24,24,32,41,56,82,98,106,118,124,137
6602629574,5,7,7,11,11,11,11,11,11,26,30,46,46,46,53,69,79,87,96,110
56264933000,2,6,6,6,14,14,14,19,34,34,42,47,52,70,73,74,75,77,82,82
6701521237,2,2,2,2,2,2,2,2,2,2,4,8,8,8,10,10,10,10,10,10
6701526424,4,4,8,15,15,15,26,26,26,32,38,38,40,46,47,47,47,47,47,47
6602494675,1,1,1,1,1,19,22,25,25,27,27,27,27,29,29,29,29,29,29,29
57204246217,2,4,5,5,6,7,9,9,9,11,11,55,55,57,57,60,60,63,66,66
7006261857,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7003989562,3,5,5,25,27,42,51,76,76,95,95,108,113,157,157,179,179,207,209,212
6603963943,1,1,1,1,1,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8
36008284700,3,4,5,7,9,10,10,12,16,16,20,24,24,24,28,36,37,37,41,51
55879603500,2,2,2,5,5,6,8,8,8,8,13,18,28,28,28,31,31,40,50,64
7003483550,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6603087955,6,6,8,11,12,12,12,12,12,19,24,24,24,24,24,24,28,28,28,28
6701482175,6,6,6,6,6,6,6,6,6,14,14,14,14,14,14,14,14,14,14,17
7004305765,5,7,7,7,7,7,7,7,11,14,16,18,18,29,31,33,35,35,41,43
7201428558,2,27,27,27,27,27,27,27,27,29,29,29,33,38,38,38,38,38,38,38
55948369500,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9
7004179110,6,6,6,6,6,6,6,6,6,6,6,6,6,52,52,52,52,52,52,52
36068830100,2,3,3,5,7,10,14,15,19,20,20,21,21,23,26,27,27,27,27,27
6506629808,2,2,2,2,2,2,3,5,6,7,8,9,9,13,24,27,27,30,39,42
