ID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
57204345850,3,3,3,6,6,6,6,7,13,16,16,16
55912445100,5,5,5,5,5,5,5,5,5,5,5,5
7005170650,1,1,1,1,1,1,1,3,8,8,11,11
6507589105,4,4,4,4,4,4,4,4,4,4,4,4
24344348100,4,5,5,9,9,9,12,16,36,45,48,51
6701533991,2,2,3,3,3,3,4,5,6,6,6,6
7003376863,3,3,3,3,3,3,3,3,3,3,3,3
7402073082,1,1,4,4,4,4,4,4,4,6,9,9
7003897790,11,11,11,11,11,11,11,11,11,11,11,11
8690570300,3,3,3,3,6,11,12,14,14,15,16,16
55884002600,4,4,4,4,4,4,11,11,11,11,11,11
55934731800,1,1,1,1,9,13,14,14,14,14,14,18
8837253400,4,10,21,24,24,24,40,58,71,81,94,98
15751065500,2,2,2,2,2,4,4,6,6,6,8,8
55944669300,4,4,4,4,4,29,31,32,32,37,37,37
15520146800,1,2,5,6,8,8,8,17,17,27,30,30
8303850000,4,6,6,6,12,14,17,21,21,21,28,35
24825743200,2,2,3,6,10,14,14,23,24,28,28,28
8570867700,3,3,3,3,3,3,3,7,7,7,8,8
16317175400,2,3,3,4,4,4,7,7,7,7,7,7
6603824844,2,2,2,2,2,2,2,2,2,2,2,2
57199558045,3,3,3,3,3,3,3,3,3,11,11,11
13808136400,3,3,10,17,19,21,23,28,28,29,33,33
9742075200,5,5,5,5,5,5,5,5,5,5,5,5
55921949000,4,4,4,18,29,36,36,36,42,42,46,46
57203633141,4,6,6,8,10,10,10,12,12,12,12,12
7006306054,5,11,11,11,11,11,11,68,68,68,68,68
7102890924,4,4,4,4,7,7,7,19,19,19,19,19
16548896600,2,4,7,12,17,20,22,29,39,45,50,54
6603646979,3,3,4,9,13,14,41,50,52,55,55,55
12646293400,54,54,54,54,54,54,54,54,54,54,54,54
23097433600,1,5,11,11,11,16,17,17,28,32,36,42
9633196200,6,12,16,26,32,43,52,52,59,59,72,88
35206376500,2,2,2,2,2,2,2,2,2,2,2,2
24070361300,3,3,4,4,4,10,10,10,12,14,15,16
55954250000,2,2,4,4,4,4,4,4,4,7,7,7
25031859300,3,3,3,3,3,7,7,10,10,10,10,15
56070676900,2,4,4,4,4,9,9,12,12,12,17,17
8297821700,10,10,10,10,10,10,10,10,10,10,10,10
7006240936,14,14,14,19,19,19,19,19,19,19,19,19
14025125700,6,6,6,7,7,7,10,10,10,11,14,14
