Unnamed: 0,ID,2013,2014,2015,2016,2017,2018,start_year
25,54793525200,4,4,4,4,4,4,2013
31,36059257800,11,11,11,11,11,11,2013
45,8729407200,3,3,3,3,3,3,2013
68,52264444300,3,3,3,5,5,6,2013
102,55920057000,3,3,3,4,4,5,2013
128,7006779373,3,3,3,3,3,3,2013
155,26648420600,10,10,14,14,14,14,2013
171,55270360400,2,2,2,2,2,2,2013
176,55957287600,4,4,4,4,4,4,2013
237,35797185000,5,5,5,15,23,28,2013
251,55371043400,3,3,3,3,3,3,2013
252,6602806420,11,11,11,11,11,23,2013
262,6603322853,2,2,2,2,2,2,2013
314,26435260800,3,3,3,3,3,3,2013
354,25926681900,3,3,3,3,3,3,2013
360,56257600100,5,5,5,5,5,5,2013
374,55858603300,3,3,3,3,3,3,2013
402,55604303000,10,11,11,11,11,11,2013
420,13609644600,1,1,1,1,1,1,2013
431,55838084400,7,8,8,9,9,9,2013
436,56102203000,5,5,5,5,5,5,2013
473,55904512100,4,5,5,5,5,5,2013
475,56541162300,7,7,7,7,7,7,2013
485,8604666200,9,67,67,84,86,86,2013
498,56109985500,2,2,2,2,2,2,2013
513,36473088400,3,3,3,5,5,5,2013
519,56389400700,1,4,4,4,4,4,2013
522,55438117400,2,4,4,13,16,20,2013
545,55903287600,4,4,4,4,4,4,2013
562,7102700826,28,28,28,28,28,28,2013
569,55900690200,3,3,3,4,4,4,2013
582,35253987700,11,11,11,11,11,11,2013
607,8837828900,3,3,3,3,3,7,2013
625,55831215500,4,4,4,4,4,4,2013
630,55761197000,4,4,4,4,4,4,2013
638,56369577300,19,21,21,21,21,21,2013
653,37015515400,6,6,6,6,6,6,2013
665,54781272800,2,3,3,3,3,4,2013
679,36150748300,14,14,14,14,14,14,2013
692,55929318800,2,2,2,2,5,5,2013
731,25927422700,4,9,13,20,20,20,2013
734,56005372600,5,5,7,7,7,7,2013
815,35550570600,13,13,13,13,23,34,2013
821,55750042900,8,8,8,8,8,8,2013
823,15128362900,56,56,56,56,56,56,2013
842,36781119700,5,5,5,5,5,5,2013
863,7202287838,7,8,8,8,8,8,2013
891,35280782200,16,16,16,85,85,106,2013
908,20734416800,17,17,17,17,17,17,2013
921,56286839800,14,14,14,14,14,14,2013
967,55807665000,2,3,3,3,3,3,2013
999,55683066300,2,2,2,2,2,2,2013
1001,56217035300,11,11,11,11,11,11,2013
1008,45561600000,5,5,5,5,5,5,2013
1022,57164080900,2,2,2,2,2,2,2013
1024,36646743000,6,6,6,6,6,6,2013
1034,55970755000,4,4,4,4,4,4,2013
1047,57197244479,5,5,5,5,5,5,2013
1050,25928517500,5,5,5,5,5,5,2013
1100,55858739400,2,2,2,4,6,6,2013
1128,55709131800,7,7,7,7,15,15,2013
1217,39262374300,26,26,26,26,26,26,2013
1238,9735045400,7,7,7,7,7,7,2013
1270,55931016700,3,7,7,7,7,7,2013
1280,55777480900,1,1,1,1,1,1,2013
1282,55841369000,8,8,8,8,8,8,2013
1327,7007079554,6,6,6,6,6,6,2013
1344,55670793800,1,1,1,1,1,1,2013
1345,57196879231,4,4,4,4,4,4,2013
1347,55931466000,7,7,7,7,7,7,2013
1351,56345862400,1,1,1,1,1,1,2013
1369,55428884500,2,2,2,2,2,2,2013
1372,54909671300,13,13,13,13,13,13,2013
1388,36190041200,2,2,2,2,2,2,2013
1422,55808070264,4,4,4,4,4,4,2013
1429,57193393436,4,4,4,4,4,4,2013
1433,49863868100,6,6,7,7,7,24,2013
1456,8965072400,4,4,4,4,4,4,2013
1472,25928513900,2,2,2,2,2,2,2013
1499,8399247300,21,21,21,21,21,21,2013
1553,6602787035,9,9,9,9,9,9,2013
1584,6602939936,2,2,2,2,2,2,2013
1600,36976154200,2,2,2,2,2,2,2013
1605,7006174947,5,5,14,14,14,14,2013
1635,6602872701,4,4,4,4,4,4,2013
1644,36239838900,6,6,6,6,6,6,2013
1650,7102584852,28,28,28,28,28,28,2013
1664,7102983481,30,30,30,30,30,30,2013
1693,55795114700,1,1,1,1,1,1,2013
1707,7202055375,5,5,5,5,5,5,2013
1716,25930261100,1,1,1,1,1,1,2013
1723,35208956000,6,6,6,6,6,6,2013
1724,7003732129,3,3,3,3,3,3,2013
1767,36118515400,6,6,9,13,13,13,2013
1814,36995324000,11,11,11,11,11,11,2013
1824,57195223531,3,3,3,3,3,3,2013
1826,55832007200,4,6,6,6,6,6,2013
1837,10641460400,2,2,2,2,2,2,2013
1865,6603830599,4,4,4,4,4,4,2013
1873,56111299400,1,1,1,1,1,8,2013
1877,7202617752,10,10,10,10,10,10,2013
1906,35366753200,4,4,4,4,4,4,2013
1938,37049364000,6,6,6,6,6,6,2013
1962,24377070700,5,5,5,5,5,5,2013
1992,56029229600,3,3,3,3,3,3,2013
2003,55674134300,6,6,6,6,10,10,2013
2012,24832842100,4,4,4,4,4,4,2013
2013,57202728026,10,10,10,10,10,10,2013
2016,55923917000,3,3,3,3,3,3,2013
2018,54956611300,16,16,16,16,16,16,2013
2028,55320816500,3,3,3,3,3,3,2013
2098,8727472200,7,7,7,7,7,11,2013
