Unnamed: 0,ID,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
17,7003709943,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2004
44,12240297000,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2004
56,6602364546,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
160,6506687058,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,2004
163,6602207446,4,9,9,18,22,24,24,24,27,28,33,33,35,40,43,2004
165,8668849800,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
182,6505928631,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
183,6603247644,2,2,2,2,2,2,4,4,4,6,10,13,13,17,19,2004
194,6603476567,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
298,57196821733,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2004
352,56165207900,20,65,65,65,65,65,65,65,65,65,65,65,65,65,65,2004
380,7004874094,5,5,5,5,5,5,5,5,5,5,9,9,9,9,9,2004
397,6507907677,2,2,2,2,2,4,7,9,13,15,25,27,28,32,42,2004
417,6508225953,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2004
467,55947284200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2004
510,22333878000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
530,6602104029,26,26,26,26,36,36,46,46,61,61,67,67,71,71,71,2004
547,13609694400,2,2,2,2,2,2,2,2,2,4,4,8,10,12,13,2004
568,55888724800,4,5,5,7,7,7,11,12,12,12,15,15,15,26,26,2004
637,8700956700,1,1,3,3,3,3,6,6,6,7,7,7,7,7,7,2004
641,6508304627,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
657,7006376498,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2004
660,6603046252,3,3,3,3,3,3,3,3,7,8,8,8,8,8,8,2004
667,21743369000,3,3,3,4,7,7,7,7,9,10,11,11,13,13,16,2004
675,36026187100,14,14,14,14,14,14,14,14,14,14,35,35,43,56,68,2004
688,35914975100,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
693,55307433500,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
695,56562922100,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
727,6507495155,17,21,21,21,21,21,21,21,33,33,40,40,59,67,67,2004
747,57203555921,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2004
848,57205273247,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
900,6701831220,1,1,1,1,1,1,1,4,6,6,6,6,6,6,6,2004
913,6701446077,9,9,9,29,29,29,29,30,30,30,30,30,30,30,30,2004
916,6505996084,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
968,7801629715,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,2004
973,7101755216,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,2004
1002,7003866390,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
1118,13806139000,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2004
1134,7005235158,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
1153,37019071400,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
