ID,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
25927774800,3,3,4,4,5,5,10,10,15,16,17
8241673300,2,2,2,2,2,2,2,2,2,2,2
14631760400,4,4,4,4,4,4,4,4,4,4,4
55998831700,6,6,6,6,9,12,12,14,16,18,18
7006156483,15,15,15,15,15,15,15,19,19,19,19
55886699400,5,8,8,8,8,19,19,19,19,19,19
6602730429,5,8,8,10,16,20,21,21,21,25,25
13411188300,5,5,5,5,5,5,9,9,9,9,9
35957030400,7,7,7,7,7,7,7,7,7,7,7
9840413900,74,74,74,74,74,74,74,74,91,91,91
8293766600,3,3,3,3,3,3,3,3,3,3,3
24778639600,2,3,3,3,3,3,3,3,3,3,3
8219591600,6,6,6,17,17,17,17,24,24,24,24
6508220332,1,1,1,1,1,1,2,2,6,6,6
7402059027,22,22,22,22,22,22,22,22,22,22,22
27167536300,8,11,12,12,12,12,12,12,12,12,12
55311351200,5,5,5,5,5,5,5,5,5,5,5
57196839181,3,3,3,3,3,3,3,3,3,3,3
55872652000,2,2,2,2,2,2,2,2,2,2,2
34167661900,4,4,4,4,4,4,4,4,4,4,4
6603563139,5,5,5,5,5,5,5,5,5,5,5
34770800900,3,6,6,6,6,6,6,6,6,6,6
35329833900,15,15,30,30,30,30,30,30,30,30,30
35100834800,3,3,3,3,3,3,3,3,3,3,3
35581770400,3,3,3,3,3,5,5,5,5,5,5
25929020000,3,3,3,3,3,3,3,3,3,3,3
26424314100,2,18,18,18,20,22,22,22,22,22,22
24767182500,2,2,2,2,2,2,2,2,2,2,2
7005139298,10,10,16,17,17,17,24,24,24,24,24
24332545900,1,1,1,1,1,1,1,1,1,1,1
7004603471,4,4,4,4,6,6,6,6,6,8,8
26658520700,6,6,6,6,6,6,6,6,6,6,6
14819488700,9,9,9,9,9,9,9,9,9,9,9
36832635500,5,8,9,9,11,11,14,14,14,14,14
36571597000,18,18,43,54,62,62,62,62,62,62,62
14029024800,5,5,5,5,5,5,5,5,5,5,5
6603964872,6,7,7,7,7,7,14,14,16,16,16
15061886800,4,4,4,4,4,4,4,4,4,4,4
57194691438,4,4,4,4,13,13,13,13,13,13,13
6602746389,1,1,1,1,1,1,1,1,4,4,4
9943874600,1,1,1,1,1,1,1,1,1,1,1
6602309097,4,11,11,11,11,11,11,11,11,11,11
36124790200,3,3,5,11,15,16,16,19,21,24,26
56538346300,7,7,7,7,7,7,7,7,7,7,7
6701798270,22,22,22,22,22,27,27,27,27,27,27
55939317500,26,26,26,26,26,26,26,26,26,26,26
24341220400,4,4,4,4,4,6,6,6,7,7,7
6507128801,7,7,7,7,7,7,7,7,7,7,7
22234953600,5,5,5,5,5,5,5,5,5,5,5
7005646125,4,4,4,4,4,4,4,4,4,4,4
7402496759,5,5,5,5,5,5,5,5,5,5,5
56230567600,48,48,48,48,48,48,48,48,48,48,48
24492093300,1,1,1,1,1,1,1,1,1,1,1
27067595100,3,3,3,3,3,3,3,3,3,3,3
25924987400,4,4,4,4,4,4,4,4,4,4,4
25654812500,8,8,8,8,8,8,8,8,8,8,8
7801452346,1,1,1,1,5,5,5,5,6,6,6
7006345844,5,13,13,13,15,15,20,20,20,24,24
26324749800,2,2,2,2,2,2,2,2,2,2,2
25823159700,2,2,5,14,14,14,14,14,14,14,14
25960923000,1,1,1,1,1,1,1,1,1,1,1
23395962200,5,8,8,8,8,8,8,8,8,8,8
