Unnamed: 0,ID,2013,2014,2015,2016,2017,2018,start_year
25,54793525200,4,4,4,4,4,4,2013
31,36059257800,11,11,11,11,11,11,2013
45,8729407200,3,3,3,3,3,3,2013
68,52264444300,3,3,3,5,5,6,2013
102,55920057000,3,3,3,4,4,5,2013
128,7006779373,3,3,3,3,3,3,2013
155,26648420600,10,10,14,14,14,14,2013
170,55270360400,2,2,2,2,2,2,2013
175,55957287600,4,4,4,4,4,4,2013
234,35797185000,5,5,5,15,23,28,2013
247,55371043400,3,3,3,3,3,3,2013
248,6602806420,11,11,11,11,11,23,2013
258,6603322853,2,2,2,2,2,2,2013
308,26435260800,3,3,3,3,3,3,2013
345,25926681900,3,3,3,3,3,3,2013
351,56257600100,5,5,5,5,5,5,2013
365,55858603300,3,3,3,3,3,3,2013
392,55604303000,10,11,11,11,11,11,2013
408,13609644600,1,1,1,1,1,1,2013
419,55838084400,7,8,8,9,9,9,2013
424,56102203000,5,5,5,5,5,5,2013
459,55904512100,4,5,5,5,5,5,2013
461,56541162300,7,7,7,7,7,7,2013
471,8604666200,9,67,67,84,86,86,2013
483,56109985500,2,2,2,2,2,2,2013
498,36473088400,3,3,3,5,5,5,2013
504,56389400700,1,4,4,4,4,4,2013
507,55438117400,2,4,4,13,16,20,2013
529,55903287600,4,4,4,4,4,4,2013
544,7102700826,28,28,28,28,28,28,2013
550,55900690200,3,3,3,4,4,4,2013
563,35253987700,11,11,11,11,11,11,2013
588,8837828900,3,3,3,3,3,7,2013
606,55831215500,4,4,4,4,4,4,2013
611,55761197000,4,4,4,4,4,4,2013
619,56369577300,19,21,21,21,21,21,2013
634,37015515400,6,6,6,6,6,6,2013
646,54781272800,2,3,3,3,3,4,2013
660,36150748300,14,14,14,14,14,14,2013
673,55929318800,2,2,2,2,5,5,2013
711,25927422700,4,9,13,20,20,20,2013
714,56005372600,5,5,7,7,7,7,2013
788,35550570600,13,13,13,13,23,34,2013
794,55750042900,8,8,8,8,8,8,2013
796,15128362900,56,56,56,56,56,56,2013
833,7202287838,7,8,8,8,8,8,2013
860,35280782200,16,16,16,85,85,106,2013
877,20734416800,17,17,17,17,17,17,2013
890,56286839800,14,14,14,14,14,14,2013
935,55807665000,2,3,3,3,3,3,2013
966,55683066300,2,2,2,2,2,2,2013
968,56217035300,11,11,11,11,11,11,2013
975,45561600000,5,5,5,5,5,5,2013
989,57164080900,2,2,2,2,2,2,2013
991,36646743000,6,6,6,6,6,6,2013
1001,55970755000,4,4,4,4,4,4,2013
1014,57197244479,5,5,5,5,5,5,2013
1017,25928517500,5,5,5,5,5,5,2013
1065,55858739400,2,2,2,4,6,6,2013
1092,55709131800,7,7,7,7,15,15,2013
1177,39262374300,26,26,26,26,26,26,2013
1196,9735045400,7,7,7,7,7,7,2013
1227,55931016700,3,7,7,7,7,7,2013
1237,55777480900,1,1,1,1,1,1,2013
1239,55841369000,8,8,8,8,8,8,2013
1281,7007079554,6,6,6,6,6,6,2013
1298,55670793800,1,1,1,1,1,1,2013
1299,57196879231,4,4,4,4,4,4,2013
1301,55931466000,7,7,7,7,7,7,2013
1305,56345862400,1,1,1,1,1,1,2013
1323,55428884500,2,2,2,2,2,2,2013
1325,54909671300,13,13,13,13,13,13,2013
1341,36190041200,2,2,2,2,2,2,2013
1375,55808070264,4,4,4,4,4,4,2013
1382,57193393436,4,4,4,4,4,4,2013
1386,49863868100,6,6,7,7,7,24,2013
1407,8965072400,4,4,4,4,4,4,2013
1422,25928513900,2,2,2,2,2,2,2013
1448,8399247300,21,21,21,21,21,21,2013
1498,6602787035,9,9,9,9,9,9,2013
1529,6602939936,2,2,2,2,2,2,2013
1543,36976154200,2,2,2,2,2,2,2013
1548,7006174947,5,5,14,14,14,14,2013
1577,6602872701,4,4,4,4,4,4,2013
1585,36239838900,6,6,6,6,6,6,2013
1590,7102584852,28,28,28,28,28,28,2013
1604,7102983481,30,30,30,30,30,30,2013
1632,55795114700,1,1,1,1,1,1,2013
1645,7202055375,5,5,5,5,5,5,2013
1654,25930261100,1,1,1,1,1,1,2013
1661,35208956000,6,6,6,6,6,6,2013
1662,7003732129,3,3,3,3,3,3,2013
1704,36118515400,6,6,9,13,13,13,2013
1750,36995324000,11,11,11,11,11,11,2013
1760,57195223531,3,3,3,3,3,3,2013
1762,55832007200,4,6,6,6,6,6,2013
1773,10641460400,2,2,2,2,2,2,2013
1801,6603830599,4,4,4,4,4,4,2013
1808,56111299400,1,1,1,1,1,8,2013
1812,7202617752,10,10,10,10,10,10,2013
1840,35366753200,4,4,4,4,4,4,2013
1871,37049364000,6,6,6,6,6,6,2013
1892,24377070700,5,5,5,5,5,5,2013
1922,56029229600,3,3,3,3,3,3,2013
1932,55674134300,6,6,6,6,10,10,2013
1941,24832842100,4,4,4,4,4,4,2013
1942,57202728026,10,10,10,10,10,10,2013
1944,55923917000,3,3,3,3,3,3,2013
1946,54956611300,16,16,16,16,16,16,2013
1955,55320816500,3,3,3,3,3,3,2013
2025,8727472200,7,7,7,7,7,11,2013
2035,15078106100,5,5,6,6,6,6,2013
