Unnamed: 0,ID,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
24,14630284000,36,46,46,51,51,51,51,51,51,51,51,51,51,2006
56,55885827600,2,2,2,2,2,2,2,2,2,2,10,10,10,2006
71,25724071900,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
110,24766310500,4,4,5,5,6,11,16,16,16,16,16,19,28,2006
117,14832176000,10,10,10,10,10,10,10,10,10,10,10,10,10,2006
143,55663177200,6,6,6,6,6,6,6,6,6,6,6,6,6,2006
146,14041529400,3,3,3,4,7,7,8,8,10,10,16,16,22,2006
170,7005446642,1,1,1,1,1,1,1,1,1,1,1,1,1,2006
181,6602194308,1,1,1,1,1,1,1,1,1,1,1,1,1,2006
229,7006807059,20,20,20,20,20,20,20,20,20,35,35,35,35,2006
235,23491998900,3,3,6,6,6,6,6,6,6,6,6,6,6,2006
242,6506090140,5,5,5,5,5,5,5,5,5,5,5,5,5,2006
279,7004477118,3,6,12,12,12,12,12,12,12,12,17,17,17,2006
354,9533160300,3,3,3,3,3,3,3,3,3,3,3,3,3,2006
363,7005980187,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
371,15925154000,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
373,15044954200,3,3,3,3,3,3,3,3,3,5,5,5,5,2006
406,24725214300,5,5,5,5,20,20,20,20,20,20,20,20,20,2006
413,14029656200,5,7,9,13,20,20,21,21,21,25,25,25,25,2006
444,7801415985,5,8,8,11,11,11,11,11,11,14,14,14,14,2006
471,6603723384,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
548,14821793100,65,65,65,65,65,65,65,65,65,65,65,76,76,2006
601,13104737800,9,9,14,14,14,14,14,14,14,14,14,14,14,2006
612,14035100800,2,2,2,2,2,2,2,4,11,11,16,19,23,2006
621,56307908100,15,15,15,15,15,15,15,15,15,15,15,15,15,2006
633,16032874200,2,2,2,2,2,2,2,2,2,2,2,4,4,2006
667,22985083500,6,8,8,8,13,16,16,18,18,18,18,20,22,2006
688,55926212600,4,4,4,11,11,40,40,48,48,48,48,48,48,2006
699,6701740560,1,1,1,1,1,1,1,1,1,3,3,6,8,2006
716,15835176100,4,4,4,4,4,4,4,4,6,6,6,47,47,2006
801,14630524700,17,17,17,17,17,17,17,17,17,17,17,17,17,2006
811,56821087600,5,5,5,5,5,5,5,5,5,5,5,5,5,2006
840,12242880500,1,1,1,1,1,1,1,1,1,1,1,1,1,2006
847,16174785200,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
854,7005140378,6,6,6,6,6,7,11,11,11,11,11,11,11,2006
874,35091064100,2,2,2,2,2,2,2,2,3,3,3,3,3,2006
887,14031122700,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
894,56960442100,1,1,1,1,1,1,1,1,1,1,1,1,1,2006
897,7006166884,7,7,7,7,7,7,7,7,7,7,7,7,7,2006
908,55324593200,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
910,15754181000,2,3,4,4,4,7,7,7,7,7,7,7,7,2006
918,55489301500,7,7,7,7,7,7,7,7,7,7,7,7,7,2006
925,23089081700,2,5,8,8,8,8,8,8,8,8,8,8,8,2006
943,25634054000,1,1,3,3,3,3,3,3,3,3,3,3,3,2006
946,35280489500,7,7,7,7,7,7,13,13,13,13,13,20,20,2006
973,35550506900,8,8,8,8,8,8,8,8,8,8,8,8,8,2006
992,6506932379,2,2,2,2,2,2,2,2,2,2,7,12,12,2006
1045,8252143000,3,4,6,7,9,10,11,22,34,34,34,34,34,2006
1081,14034501600,3,3,3,3,3,7,9,9,9,9,9,9,9,2006
1125,15041968800,1,2,2,2,2,2,2,2,2,2,2,2,2,2006
1157,13906968300,6,6,6,6,9,9,9,12,12,12,15,17,27,2006
1175,6506651931,2,2,5,5,5,5,5,5,5,8,8,8,8,2006
1182,7004674392,3,3,3,3,3,3,3,3,3,3,3,3,3,2006
1196,8886329100,2,2,4,4,6,6,6,6,6,6,6,6,6,2006
1226,14824534600,59,59,59,59,59,59,59,59,59,59,59,59,59,2006
1240,14521406500,6,6,6,6,6,6,6,6,6,6,6,6,6,2006
1269,57203044284,19,19,19,19,19,19,19,19,31,31,31,31,31,2006
1282,6602544484,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
1342,6506397347,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
1354,13205173700,1,1,1,1,1,1,1,1,1,1,1,1,1,2006
1411,15020848200,3,4,6,6,6,6,6,6,6,6,6,6,6,2006
1474,57202899613,1,1,1,1,1,1,1,1,1,1,1,1,1,2006
1506,23767097400,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
1507,36185069000,2,2,2,2,3,3,3,3,3,3,3,3,3,2006
1511,18041110300,8,8,8,8,8,8,8,8,8,8,8,8,8,2006
1545,7005574339,3,3,3,3,6,6,6,6,6,6,6,6,6,2006
1576,7402283467,6,6,6,6,6,6,6,6,6,14,14,18,38,2006
1607,14629987400,1,1,1,1,1,1,1,1,1,1,1,1,1,2006
1630,17434126700,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
1664,57197056895,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
1669,16177341700,2,2,2,2,2,2,2,2,2,5,8,9,10,2006
1674,7405692762,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
1687,7401663002,6,6,6,6,6,6,6,6,6,6,6,6,6,2006
1715,14027844000,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
1728,6504615513,6,6,6,6,6,6,6,6,6,6,6,6,6,2006
1764,24722436600,3,3,3,3,3,3,3,3,3,3,3,3,3,2006
1775,12767075900,4,4,7,7,7,7,7,7,10,10,10,10,10,2006
1777,57197026496,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
1778,6701806568,24,24,24,24,24,24,24,24,24,24,24,24,24,2006
1788,7801486844,7,7,7,7,7,7,7,7,7,7,7,7,7,2006
1830,36999037900,35,35,35,35,35,35,35,35,35,35,35,38,38,2006
1844,35614222400,5,5,5,5,5,5,5,5,5,5,5,5,5,2006
1865,13407832400,4,4,6,6,6,6,8,8,8,8,10,10,11,2006
1894,56122628700,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
1925,55682655514,9,9,9,9,9,9,9,9,9,9,9,9,9,2006
1961,7102179317,1,1,1,1,1,1,1,1,1,1,1,1,1,2006
1988,7004946351,35,35,46,46,59,59,119,122,132,132,132,132,132,2006
2003,8091994200,17,17,17,17,17,17,17,17,17,17,17,17,17,2006
2053,23390547500,9,14,14,16,18,20,25,25,25,28,28,28,29,2006
2064,14034788700,7,7,7,7,7,7,7,7,7,7,7,7,7,2006
2100,23397569300,3,3,4,4,6,7,10,11,11,11,11,11,11,2006
2117,16178831800,3,3,3,3,3,3,3,3,3,3,3,3,3,2006
2125,8333037300,16,16,16,16,16,16,16,16,16,16,16,16,16,2006
2154,57199988221,3,3,3,3,3,3,3,3,3,3,3,3,3,2006
2166,12779243300,8,8,8,8,8,8,8,8,8,8,8,8,8,2006
2181,6603067743,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
2199,6602158058,2,2,2,2,2,4,4,6,6,6,6,8,8,2006
2285,57198187926,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
2295,56624733600,10,10,10,13,13,19,19,19,19,19,19,19,19,2006
2303,14039822300,3,3,5,5,8,8,8,8,8,8,8,8,8,2006
2337,6602915260,12,12,12,12,12,12,12,12,12,12,12,12,12,2006
2350,55727951800,16,16,16,16,16,16,16,16,16,16,16,16,16,2006
2360,24377055000,3,3,3,3,3,3,3,3,3,3,3,3,3,2006
2370,7004198790,1,1,2,2,2,6,6,6,6,6,6,6,6,2006
2374,7006637893,10,10,10,10,10,10,10,10,10,10,10,10,10,2006
2390,7102363841,3,4,4,4,4,4,4,4,4,4,4,4,4,2006
2420,24723021800,5,5,5,5,5,5,5,5,5,5,5,5,5,2006
2492,24172609400,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
