ID,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
23486553100,7,16,16,16,16,16,16,16,16,16,16,21,21
12760333800,5,5,5,8,8,8,8,8,20,20,28,28,28
16548796100,4,5,5,13,13,18,22,22,22,22,23,23,23
6603922891,1,1,5,10,10,10,10,10,10,19,30,30,30
7005561370,4,4,4,4,4,4,4,4,47,47,47,47,47
35416631400,5,5,5,5,5,5,5,5,5,5,5,5,5
16069121000,2,2,2,2,2,2,3,3,5,12,18,18,22
15044867600,2,2,6,8,9,9,10,11,11,14,14,14,14
6603347305,8,22,22,36,36,36,36,36,46,50,50,50,50
35195466100,5,5,7,7,14,14,19,19,19,26,31,33,43
16645258700,1,1,6,10,12,15,16,16,16,16,16,20,20
7407660155,2,3,3,3,3,3,4,4,4,4,4,4,4
7005954102,4,4,4,4,4,4,4,4,4,4,4,4,4
7101689451,7,7,7,7,7,7,7,18,18,18,18,18,18
9236372700,2,2,2,2,2,2,2,2,4,5,7,7,7
6701324987,20,20,28,28,28,28,28,28,28,28,158,158,158
7004436970,2,11,11,11,11,11,23,25,25,25,25,25,25
35146413200,3,3,3,3,3,3,8,8,8,8,8,8,8
12791191700,2,2,2,2,6,6,6,6,6,6,6,6,6
35312953000,26,26,30,30,34,34,34,34,84,84,84,84,116
15622982000,2,3,4,4,5,13,20,29,39,44,49,62,70
55865127100,6,6,6,6,6,6,6,6,6,6,6,6,6
57200906311,3,3,3,3,11,13,13,25,29,30,30,30,32
21740815500,3,3,3,3,3,3,3,3,9,9,9,9,9
7003818716,1,1,1,33,33,33,35,35,35,35,40,40,40
9042813000,9,9,9,9,9,9,9,9,9,9,9,9,9
7003927901,3,3,3,3,3,3,3,3,3,3,3,3,3
56031901800,3,7,7,7,7,7,7,7,7,7,7,7,7
35728420300,2,2,2,4,11,22,30,38,40,56,69,80,89
7006397571,35,51,59,81,92,97,97,97,97,104,119,136,152
7004047248,4,4,4,4,4,4,4,4,4,4,4,4,4
7006494898,2,2,2,2,2,2,2,2,2,2,2,2,2
21834007800,2,4,4,4,4,7,9,11,11,11,16,20,20
6602740449,1,1,1,1,1,1,1,1,1,2,2,2,2
14035217500,6,6,7,10,10,10,10,11,11,14,14,17,23
23396694200,1,1,1,1,1,1,1,1,1,1,1,1,1
57191053509,3,3,3,3,3,4,4,4,4,4,4,9,9
14059097200,7,12,13,13,13,22,26,33,33,33,34,35,35
56716428800,4,4,4,4,4,4,4,4,4,4,4,10,10
23491625000,7,20,20,20,20,20,20,20,20,20,20,20,20
6602983182,25,48,59,66,66,66,66,66,66,66,91,91,91
55569768100,2,2,2,5,5,5,10,11,11,13,13,13,13
6701720253,2,3,3,3,3,3,3,3,3,3,3,3,3
15056514600,2,2,3,3,12,12,12,12,12,12,12,12,12
35566406900,2,2,2,2,2,2,2,2,2,2,10,10,10
36908829100,3,3,3,6,8,8,13,25,27,35,41,41,53
24465768200,4,4,4,10,11,18,23,24,24,27,29,31,33
23478311400,3,6,10,15,17,29,33,49,56,58,61,67,68
7006790230,21,21,48,48,48,48,48,48,48,48,48,48,48
7003506396,4,4,4,4,4,4,4,9,9,9,9,11,16
23982223000,3,3,3,3,3,14,17,19,19,19,19,23,26
14023929200,2,2,6,7,7,7,11,11,12,12,14,23,27
24773509500,3,3,3,6,6,6,6,6,6,6,6,6,6
7004230064,5,5,5,5,5,5,5,5,5,5,5,5,5
57191913424,2,2,2,2,2,2,2,2,2,2,2,2,2
56046201500,3,3,3,3,3,3,3,3,3,3,5,5,5
6701652584,2,2,2,2,2,2,2,2,2,2,2,2,2
23569744300,3,3,5,12,14,17,17,17,17,17,20,20,20
6603278959,1,1,1,1,2,2,3,3,3,3,3,3,3
6602605039,3,3,3,3,6,6,6,6,7,16,16,16,16
13612203700,4,4,4,4,4,4,4,4,4,4,4,4,4
55880595600,3,3,3,3,3,3,3,3,6,6,8,8,8
24438905800,2,2,8,8,8,12,12,12,12,12,12,12,12
22433475700,4,6,6,6,6,9,9,9,9,9,9,9,9
6506316829,3,3,3,5,5,6,6,8,8,10,10,10,12
6602757933,3,8,14,20,20,24,24,24,29,29,29,32,32
23489885500,5,5,9,10,14,16,16,16,18,21,38,39,39
23008315300,3,5,5,10,13,13,16,20,25,31,47,47,49
56514434900,47,47,58,58,105,105,126,126,173,173,173,173,203
7202640559,1,1,1,2,3,5,5,11,12,12,13,13,13
7003553733,3,3,3,6,8,12,20,25,28,28,29,36,36
55927123900,7,7,7,7,7,8,8,8,8,8,8,8,8
56014170800,11,11,12,19,19,21,21,21,21,33,33,33,36
8238843700,3,3,3,3,3,3,8,10,10,13,13,13,13
7401931345,3,3,3,3,3,3,3,3,3,3,3,3,3
7404584619,26,26,26,26,26,26,26,26,26,26,26,26,26
16052113900,2,3,3,5,7,7,9,12,15,17,24,31,38
15924941200,2,2,2,2,2,3,3,5,8,8,8,8,8
9270640200,2,2,2,2,8,8,8,11,11,11,12,15,15
13003252300,5,5,5,5,5,5,5,5,5,5,5,5,5
6603689596,29,52,72,72,92,92,112,112,149,149,173,173,209
7005486214,64,69,88,90,108,116,170,184,213,213,227,227,227
