Unnamed: 0,ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
36,7005295515,2,4,4,6,6,10,10,10,10,10,11,11,11,11,13,14,15,15,15,15,17,17,17,18,18,18,19,19,19,1990
254,6701597437,4,4,4,4,4,4,4,7,7,7,7,7,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1990
647,7007039379,2,2,3,3,6,7,7,7,16,16,16,21,25,28,28,28,28,33,34,34,36,38,39,41,41,41,41,44,44,1990
1108,7003389028,1,2,6,7,10,10,13,13,14,14,18,20,24,24,24,24,26,30,32,38,39,39,41,43,45,45,45,45,46,1990
1845,56034378200,2,2,2,2,2,2,4,5,5,5,5,6,10,10,51,56,88,109,145,150,178,186,225,229,257,270,281,308,311,1990
2068,7007030575,2,2,2,4,4,4,4,5,5,10,10,13,13,13,14,17,17,21,25,30,30,35,37,40,41,42,47,54,64,1990
2074,24325831000,2,3,4,4,5,7,7,7,7,7,9,12,18,23,24,26,28,30,30,38,39,40,43,43,45,45,46,46,46,1990
2254,7202580103,2,4,9,12,18,18,22,26,30,37,42,45,46,48,48,56,83,87,89,91,92,95,101,102,108,108,109,112,129,1990
2904,7004203605,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1990
3090,7006211939,2,3,3,3,3,6,14,21,22,28,30,30,31,32,33,36,41,51,52,61,62,66,71,71,71,71,71,71,75,1990
3174,7003924858,4,5,5,7,10,11,15,20,20,21,24,30,34,39,44,52,55,55,57,64,65,66,75,85,88,91,108,115,117,1990
3467,7004970514,3,3,3,3,11,14,14,14,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1990
3807,7101921631,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,13,13,13,13,13,13,1990
4179,7003993073,19,19,21,25,25,29,32,32,39,44,53,60,62,72,74,79,86,93,98,105,117,118,127,127,128,139,139,139,141,1990
4494,6701316794,2,6,7,8,9,9,12,12,16,16,20,23,29,33,34,45,47,47,51,56,60,61,75,76,79,82,84,87,87,1990
5019,7003330495,2,2,2,5,5,10,10,15,15,23,24,30,33,49,61,67,69,69,73,79,85,85,85,87,88,92,94,94,99,1990
5196,7006201366,2,3,4,7,8,9,9,9,11,11,15,15,15,15,15,15,15,20,20,20,20,20,21,21,22,24,24,24,24,1990
5289,7005146506,1,1,4,5,13,17,21,23,32,43,47,48,49,50,58,64,75,77,80,83,86,86,86,89,89,92,96,100,100,1990
6237,7006566699,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,15,25,29,33,33,33,35,35,35,35,35,35,1990
6278,6701711995,1,1,4,8,9,9,10,13,18,18,22,22,26,26,29,30,33,38,41,41,48,49,51,54,58,74,75,76,76,1990
6290,7004160061,1,1,1,1,1,2,2,5,7,8,8,9,12,13,14,17,17,19,19,22,22,22,22,22,22,22,22,22,22,1990
6434,6602915716,2,2,2,3,3,3,4,4,5,7,12,12,12,13,13,14,19,19,20,26,30,32,36,43,45,46,46,46,46,1990
6594,7003952036,5,5,6,7,10,11,20,23,27,27,33,34,39,48,56,61,68,74,78,88,91,93,98,106,132,143,148,161,169,1990
