Unnamed: 0,ID,2012,2013,2014,2015,2016,2017,2018,start_year
7,36634548900,4,9,9,9,9,9,9,2012
21,35226280500,3,3,3,3,3,3,3,2012
52,55146647600,4,4,11,11,13,13,13,2012
65,55684446500,2,2,2,2,2,2,2,2012
80,6701714180,59,69,69,69,69,69,69,2012
103,55390131000,2,2,2,2,2,2,2,2012
115,8915683900,4,4,4,4,4,4,4,2012
158,24335475600,7,10,10,10,10,15,15,2012
175,9436849500,3,3,24,24,29,29,29,2012
193,23005317000,7,7,7,7,7,7,7,2012
195,55995655700,2,2,2,3,3,7,17,2012
227,12242450800,2,3,3,3,7,7,7,2012
230,8937681800,6,6,6,6,7,7,7,2012
235,7004022711,26,32,32,32,32,32,32,2012
303,23476362800,4,4,4,4,4,9,9,2012
339,55371568400,2,2,3,4,4,4,4,2012
382,6602654044,11,11,11,26,33,33,33,2012
409,54396240700,2,2,2,23,23,23,23,2012
438,53877668500,2,2,3,3,3,3,3,2012
442,14044821700,3,3,3,8,11,14,14,2012
451,56603526600,6,6,6,6,6,6,6,2012
455,35750932500,4,4,4,4,4,4,4,2012
461,7004889724,16,16,16,16,64,64,89,2012
531,35366144000,4,4,4,4,4,4,4,2012
612,55545451400,2,2,2,2,2,4,6,2012
614,6506961099,7,7,7,7,7,7,7,2012
619,55509195900,3,3,3,5,5,5,11,2012
646,13406989600,10,10,10,10,10,10,10,2012
673,55355619500,2,3,4,4,4,5,7,2012
743,56226169900,4,4,4,4,4,4,4,2012
751,55248308500,1,1,3,3,4,4,4,2012
752,36570451600,2,2,7,7,7,7,7,2012
760,6507491363,5,5,5,6,6,10,10,2012
776,55332834100,3,3,4,4,4,4,4,2012
818,56023454200,3,3,3,3,3,3,3,2012
847,57192812164,5,5,5,5,5,5,5,2012
855,36666791400,26,26,26,29,36,36,36,2012
856,24725611200,2,2,5,5,6,6,10,2012
864,57200513432,3,3,7,7,7,7,7,2012
883,56731825000,2,2,2,4,4,4,4,2012
975,36938648000,14,14,14,14,14,14,14,2012
1016,55598321100,3,3,3,3,3,3,3,2012
1045,9232973200,2,2,5,5,17,21,21,2012
1055,6505812107,2,2,2,2,4,4,4,2012
1106,15072104100,5,5,5,5,5,5,5,2012
1110,55207330400,2,4,4,4,18,18,18,2012
1121,7103118811,5,5,8,8,8,8,8,2012
1126,55444174100,3,3,3,3,3,3,3,2012
1144,55365446500,3,3,3,3,3,3,3,2012
1181,7004088894,6,6,6,6,6,6,6,2012
1189,53164333900,15,31,31,31,36,36,36,2012
1214,16052685300,4,4,4,4,4,4,4,2012
1220,37057718800,2,2,2,2,2,2,2,2012
1285,8664355300,3,3,3,3,3,3,3,2012
1290,7004602618,4,4,4,6,10,11,11,2012
1292,55361625500,1,2,2,2,2,2,2,2012
1306,55190796100,4,4,4,4,6,6,13,2012
1334,55575328700,5,11,11,14,14,14,14,2012
1355,56027778300,4,16,16,21,21,21,21,2012
1373,18042484900,4,4,7,9,13,13,15,2012
1382,56279072100,46,63,63,63,63,63,63,2012
1432,6601992370,8,8,8,8,8,8,8,2012
1433,7003946927,9,22,22,22,22,22,22,2012
1467,8899520500,47,47,61,61,81,81,101,2012
1513,55111049900,7,7,29,34,34,34,34,2012
