Unnamed: 0,ID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
45,24469712500,4,6,6,9,11,11,14,14,15,15,15,15,2007
69,57204345850,3,3,3,6,6,6,6,7,13,16,16,16,2007
214,55912445100,5,5,5,5,5,5,5,5,5,5,5,5,2007
278,7005170650,1,1,1,1,1,1,1,3,8,8,11,11,2007
335,6507589105,4,4,4,4,4,4,4,4,4,4,4,4,2007
423,8723630100,7,8,8,8,8,13,13,17,17,17,17,17,2007
511,24775838600,3,3,3,8,8,10,14,14,14,18,18,21,2007
675,6602572979,2,2,2,2,2,2,2,2,2,2,2,2,2007
709,24344348100,4,5,5,9,9,9,12,16,36,45,48,51,2007
785,57190071155,3,3,4,6,6,7,8,14,16,16,17,17,2007
798,6701533991,2,2,3,3,3,3,4,5,6,6,6,6,2007
821,22935120100,3,3,3,3,3,7,24,24,24,24,24,24,2007
839,7003376863,3,3,3,3,3,3,3,3,3,3,3,3,2007
853,7402073082,1,1,4,4,4,4,4,4,4,6,9,9,2007
866,7003897790,11,11,11,11,11,11,11,11,11,11,11,11,2007
967,7006755617,21,21,21,21,26,26,26,26,26,26,26,26,2007
1070,8690570300,3,3,3,3,6,11,12,14,14,15,16,16,2007
1078,21742449200,5,5,5,5,10,10,13,16,19,23,29,35,2007
1177,55884002600,4,4,4,4,4,4,11,11,11,11,11,11,2007
1207,55934731800,1,1,1,1,9,13,14,14,14,14,14,18,2007
1320,8837253400,4,10,21,24,24,24,40,58,71,81,94,98,2007
1328,15751065500,2,2,2,2,2,4,4,6,6,6,8,8,2007
1363,55944669300,4,4,4,4,4,29,31,32,32,37,37,37,2007
1389,8747683300,3,3,3,3,3,3,3,3,3,3,3,3,2007
1460,15520146800,1,2,5,6,8,8,8,17,17,27,30,30,2007
1469,15822604300,2,2,2,2,2,2,2,2,2,2,2,2,2007
1483,7004387664,2,2,2,4,4,4,7,8,11,13,13,14,2007
1545,8303850000,4,6,6,6,12,14,17,21,21,21,28,35,2007
1551,24825743200,2,2,3,6,10,14,14,23,24,28,28,28,2007
1702,8570867700,3,3,3,3,3,3,3,7,7,7,8,8,2007
1719,16317175400,2,3,3,4,4,4,7,7,7,7,7,7,2007
1850,6603824844,2,2,2,2,2,2,2,2,2,2,2,2,2007
1856,57199558045,3,3,3,3,3,3,3,3,3,11,11,11,2007
1871,7101608933,2,3,3,3,3,3,7,7,7,7,7,7,2007
1878,13808136400,3,3,10,17,19,21,23,28,28,29,33,33,2007
1921,9742075200,5,5,5,5,5,5,5,5,5,5,5,5,2007
1991,55921949000,4,4,4,18,29,36,36,36,42,42,46,46,2007
1993,57203633141,4,6,6,8,10,10,10,12,12,12,12,12,2007
2002,24476539600,3,8,8,9,9,9,9,11,11,11,15,18,2007
2009,7006306054,5,11,11,11,11,11,11,68,68,68,68,68,2007
2085,7102890924,4,4,4,4,7,7,7,19,19,19,19,19,2007
2098,16548896600,2,4,7,12,17,20,22,29,39,45,50,54,2007
2253,6603646979,3,3,4,9,13,14,41,50,52,55,55,55,2007
2308,12646293400,54,54,54,54,54,54,54,54,54,54,54,54,2007
2396,23097433600,1,5,11,11,11,16,17,17,28,32,36,42,2007
2427,9633196200,6,12,16,26,32,43,52,52,59,59,72,88,2007
2485,35206376500,2,2,2,2,2,2,2,2,2,2,2,2,2007
2518,24070361300,3,3,4,4,4,10,10,10,12,14,15,16,2007
2619,7005518814,1,1,1,1,1,1,1,1,1,1,1,1,2007
2655,55954250000,2,2,4,4,4,4,4,4,4,7,7,7,2007
2703,23477109300,2,5,5,5,5,5,11,14,14,16,16,16,2007
2781,25031859300,3,3,3,3,3,7,7,10,10,10,10,15,2007
2807,56070676900,2,4,4,4,4,9,9,12,12,12,17,17,2007
2919,26039350700,1,1,1,1,2,2,2,2,2,2,3,5,2007
3059,7006614303,6,6,6,6,6,6,6,6,6,6,6,6,2007
3113,8297821700,10,10,10,10,10,10,10,10,10,10,10,10,2007
