ID,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
7202623487,1,1,2,2,2,2,2,4,6,14,16,16,16,16,16,19,21,24,24,25,25,25,29
7006556333,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,14,14,14,14,15,15,15
56519409700,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7202410974,6,9,9,10,10,14,16,16,17,17,17,21,21,23,27,27,27,27,27,27,27,27,27
7003352471,5,5,6,10,10,11,13,14,17,25,28,31,37,39,41,41,41,46,48,48,49,53,57
6603373418,2,2,2,3,5,7,7,7,7,9,13,13,13,17,20,23,23,26,34,34,43,53,58
56207763900,6,6,6,9,9,15,18,19,20,20,20,20,20,20,25,25,25,25,31,31,31,31,31
6602622523,2,2,3,3,7,7,7,8,9,9,9,9,11,12,14,16,19,19,19,19,19,19,19
6603552157,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
55933387300,2,3,3,3,3,3,3,5,5,9,9,9,15,18,20,20,23,25,25,25,35,44,44
7003755313,6,9,9,9,11,11,13,13,13,13,13,13,13,13,13,13,13,19,19,19,19,19,24
6701570540,1,1,5,8,11,21,30,38,40,43,49,53,66,68,72,76,79,86,88,93,102,105,113
6701384342,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6508119633,1,1,1,1,1,1,3,4,6,9,9,14,21,31,54,59,61,66,80,87,89,98,106
7004591018,2,2,6,6,7,13,14,14,20,23,24,27,28,30,30,34,48,52,52,52,54,60,70
6701775537,2,2,2,2,2,2,6,6,8,11,11,11,12,15,19,20,20,23,24,25,25,26,26
7003593801,2,2,2,2,2,2,2,2,2,2,2,7,7,10,10,11,16,16,16,24,24,24,31
6701664414,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
7003614697,2,2,2,3,3,3,6,6,7,7,7,9,9,9,9,9,9,9,9,13,13,16,16
55908883400,1,1,1,4,4,5,6,6,11,16,16,19,19,21,23,25,25,29,29,29,29,29,29
6603677940,2,7,7,8,8,10,12,12,12,12,14,15,20,22,22,22,22,24,34,34,36,38,41
6701329842,1,3,7,9,12,12,12,13,18,22,25,26,27,28,32,32,32,32,34,39,41,45,45
6602156146,3,3,4,4,6,6,7,7,7,7,7,7,7,13,13,13,13,13,13,13,13,17,17
