Unnamed: 0,ID,2014,2015,2016,2017,2018,start_year
8,56091446600,5,5,5,5,8,2014
22,55892354500,3,3,3,3,3,2014
27,57199470231,77,77,77,77,77,2014
28,56003475600,6,6,6,6,6,2014
32,56278368100,4,5,5,5,5,2014
33,55905767600,6,17,24,24,24,2014
46,56764415200,1,1,1,1,1,2014
51,55390323200,2,2,4,4,4,2014
68,55531427200,9,9,9,9,9,2014
89,56080718100,7,7,7,7,7,2014
100,54785262900,4,7,9,9,9,2014
132,8554454800,8,8,8,8,8,2014
142,55961075000,2,2,2,3,8,2014
143,8920845500,57,57,57,57,57,2014
156,7003376187,14,14,14,14,14,2014
191,35238939800,2,2,2,2,2,2014
217,55507392400,4,4,4,4,9,2014
225,7003663098,71,71,104,104,104,2014
249,7102447001,8,9,9,13,13,2014
252,56323460100,2,4,6,6,7,2014
283,56056477500,3,5,5,5,5,2014
294,35292611200,5,5,5,5,5,2014
296,55513194100,6,16,16,16,16,2014
329,55210404700,2,5,5,5,5,2014
352,56724226600,3,3,3,3,3,2014
386,6701814469,4,4,4,4,4,2014
424,53364401900,1,1,2,2,2,2014
431,56600628100,2,2,3,3,3,2014
446,55845598600,1,3,4,4,4,2014
449,55056139500,2,2,2,2,6,2014
452,14826391900,10,10,20,20,28,2014
454,7006055356,5,11,20,23,26,2014
459,35794846500,8,8,8,8,8,2014
478,56600853100,2,2,2,2,2,2014
485,7006300324,6,8,8,8,8,2014
499,56305144400,7,7,7,7,7,2014
508,23568612400,6,6,6,6,6,2014
520,6603017352,5,5,5,5,5,2014
543,56548893100,8,8,8,8,8,2014
552,55235036700,10,15,15,34,34,2014
579,26429318000,37,37,40,40,40,2014
598,35316018200,3,3,4,7,7,2014
608,7004159827,83,83,83,83,83,2014
629,48861000500,2,2,2,2,2,2014
651,56405507800,2,3,3,5,5,2014
655,55247696300,3,3,4,4,4,2014
660,7202709950,2,15,15,15,15,2014
666,56514689400,90,90,90,90,106,2014
672,49962985800,8,9,9,9,9,2014
702,55912205900,2,2,2,2,2,2014
736,56304222900,2,2,2,2,2,2014
737,34870369100,1,1,1,1,1,2014
744,8840160700,7,7,7,7,13,2014
746,55670342800,6,7,7,7,11,2014
787,54973971200,15,36,36,36,36,2014
832,23009970700,2,2,2,2,2,2014
836,28568150400,2,2,2,2,2,2014
850,57188837260,6,6,6,6,6,2014
857,56298323100,8,8,8,8,23,2014
875,26659171200,9,9,9,9,9,2014
915,55064235900,3,11,77,77,77,2014
917,36013692000,15,18,18,18,18,2014
920,36700746300,13,13,14,14,14,2014
950,36728470800,4,4,4,4,4,2014
964,56428866800,2,2,3,3,3,2014
1018,55897918000,4,4,4,4,4,2014
1037,7004313790,1,19,61,61,61,2014
1049,55386096200,3,3,3,3,3,2014
1068,55888041500,2,2,4,4,4,2014
1087,55080111500,3,3,3,3,3,2014
1149,35964277500,11,11,16,16,16,2014
1175,12753945200,41,41,41,41,41,2014
1176,56346223700,12,12,12,12,12,2014
1178,56275453500,8,8,8,8,11,2014
1180,56112940300,11,45,49,49,49,2014
1185,7006321608,4,5,5,5,5,2014
1190,56515358500,7,22,24,24,24,2014
1234,42262237300,1,1,1,1,1,2014
1260,35379576100,3,3,3,3,3,2014
1265,35190134000,6,6,6,6,6,2014
1271,56160592500,2,2,4,4,4,2014
1284,24544861300,7,7,7,7,7,2014
1296,56731120300,4,6,6,6,6,2014
1305,56898971000,2,2,2,2,2,2014
1366,7004375763,4,4,4,4,4,2014
1371,35107616800,8,8,8,8,8,2014
1396,23388785300,2,4,4,6,8,2014
1437,16240669800,9,9,9,9,9,2014
1455,56159639400,7,7,8,10,10,2014
1458,37100030600,5,5,9,9,9,2014
1462,57189257666,1,2,2,2,2,2014
1481,27567854000,4,4,4,7,10,2014
1484,48361170800,4,4,13,17,38,2014
1487,56419811000,2,2,2,2,2,2014
1510,56126466800,2,2,2,2,2,2014
1523,56514864400,14,16,16,19,19,2014
1525,24922824800,3,3,3,4,4,2014
1537,55358751500,1,1,1,1,1,2014
1589,55837745800,5,5,5,7,7,2014
1594,56084569400,1,1,1,1,1,2014
1607,37074193800,4,4,4,4,4,2014
1620,6506156795,90,90,90,90,90,2014
1632,26425260900,3,3,3,3,3,2014
1640,56189616200,5,5,5,5,5,2014
1647,57198513169,5,5,5,5,5,2014
1653,56053398100,3,3,3,3,3,2014
1704,23389689400,14,14,14,14,14,2014
1724,7202280449,17,17,17,17,17,2014
1753,55911897600,4,4,4,4,4,2014
1765,9738303500,3,3,3,3,3,2014
1773,26635763700,2,2,2,2,2,2014
1784,7006134930,9,9,9,9,9,2014
