ID,2011,2012,2013,2014,2015,2016,2017,2018
26326181300,5,5,5,5,5,5,5,5
21834460700,2,2,2,2,5,5,5,5
23992392000,3,3,3,9,20,23,34,47
7402390313,6,6,23,23,34,34,34,34
36630293400,5,5,5,8,8,8,11,18
55879881900,5,5,5,5,5,5,5,5
26664442500,4,4,4,4,7,7,7,7
7007101008,1,1,1,1,1,1,1,1
6601978855,6,6,6,6,6,6,6,6
7005019635,5,5,5,5,5,5,5,5
7101999997,1,1,1,1,1,1,1,1
57204338494,2,2,9,9,9,9,9,9
53866336800,4,4,4,4,4,4,4,4
35114206300,4,4,4,4,4,4,4,4
6602651468,1,6,6,6,9,9,9,31
8944381100,6,7,7,7,7,10,13,15
56229122400,9,9,9,9,9,9,9,9
55994382800,16,16,16,16,16,16,16,16
8227179100,5,5,5,5,11,11,11,11
9435414200,5,5,5,5,106,106,106,106
24167042300,8,8,8,8,8,8,8,21
26423751700,2,5,5,5,5,5,5,5
51261004400,9,9,9,9,9,9,9,16
23668851400,2,2,2,2,2,2,2,2
22135401000,12,31,34,47,51,54,54,67
7005674149,2,2,2,2,2,2,2,2
57205013279,4,9,14,16,19,22,30,33
54954314500,2,2,2,2,2,3,3,3
54397650200,4,4,20,24,25,25,25,25
36719811900,4,4,4,5,5,5,5,5
7004640909,34,35,35,35,35,35,35,35
35549610800,7,7,7,7,7,19,19,19
7005948509,3,3,3,3,3,3,3,3
26664445300,4,4,4,4,4,4,7,14
53880698700,4,11,11,11,11,11,11,11
55414263600,4,6,10,10,10,10,10,10
7003525284,8,10,10,10,10,12,12,12
6508309923,1,1,2,2,3,3,3,3
9240440400,3,4,4,7,7,7,7,7
35076902200,2,2,2,5,9,9,11,13
7004859994,5,5,5,5,5,5,5,5
54420469800,3,4,4,4,6,6,6,6
50861582000,4,4,4,4,4,10,10,20
36342837600,5,5,5,10,10,10,16,16
8950100000,4,4,7,7,7,7,10,10
55391395500,2,2,2,2,2,2,2,2
7003771208,3,3,3,3,3,3,3,3
35253501500,3,3,3,3,3,3,3,3
55875407100,8,10,15,35,44,74,76,113
37085117000,4,4,4,4,4,11,11,11
55937393400,3,3,3,3,3,3,3,3
56688395000,3,3,3,4,4,4,4,4
6602663280,3,3,3,3,3,3,25,25
36439147500,5,12,12,12,15,15,18,18
57203081696,1,4,4,4,4,17,17,17
36706694100,5,5,5,5,5,5,19,19
54398330700,4,4,4,4,10,10,17,19
24780073200,10,10,10,10,13,20,20,20
8587492100,3,3,3,3,3,3,3,3
35609181100,2,3,3,3,3,3,3,3
42761951300,2,2,5,5,11,14,14,14
44260904300,2,3,3,4,5,6,7,7
54685294700,17,20,20,20,20,20,20,20
36859280200,2,2,5,23,23,30,31,31
55263489300,2,3,3,4,4,4,4,10
49360917300,5,6,14,14,22,26,30,39
51061356200,3,3,3,6,8,8,8,10
6602153049,11,11,11,16,17,23,23,24
37561661400,1,1,1,1,1,1,1,1
24825505400,2,3,5,5,5,6,8,8
6701436505,4,4,4,4,4,4,4,4
47562015400,3,6,6,6,7,8,10,10
54683872400,1,8,9,11,12,12,12,12
53866364800,3,3,3,3,3,3,3,3
6603580622,4,4,4,4,4,4,4,4
12143087600,5,5,5,5,5,5,5,5
56039394100,10,10,12,12,12,16,16,16
6701740519,5,5,16,16,16,16,16,16
36701317300,2,3,4,4,4,4,4,4
42561227700,2,2,5,5,8,8,9,11
56238759300,3,4,5,5,5,12,14,18
25651775900,5,5,5,7,10,10,10,10
56223361900,1,1,1,1,1,1,1,1
14022498500,3,7,7,7,7,9,9,9
38561815200,3,4,8,8,8,8,8,8
6603017725,9,9,9,9,9,37,45,45
24473662600,14,14,14,14,14,14,14,14
53866918900,3,3,4,5,5,9,15,15
7101619950,19,19,23,23,23,23,23,23
55911547800,2,2,2,2,2,2,4,4
6602824077,6,6,6,6,6,6,6,10
55953078600,4,4,4,4,4,4,4,4
37057062300,2,9,11,11,11,13,17,20
12244761800,18,18,18,18,18,18,18,18
44361306900,7,7,7,8,13,14,14,20
8631072500,4,4,4,4,9,9,9,9
30267549000,22,30,30,54,54,55,55,55
8284686300,3,3,4,5,5,5,5,5
7004329244,15,15,15,43,43,43,43,43
36789379900,7,7,7,7,15,15,15,15
7003596576,6,6,6,6,6,6,6,6
36182224400,1,1,2,2,3,3,3,3
53871367600,4,4,4,4,6,6,6,6
35445061200,9,9,9,9,24,24,24,24
54413301100,5,5,5,10,10,10,11,14
23485102000,9,10,10,10,10,10,10,10
53979669000,2,2,2,2,2,2,2,2
37057939200,4,4,4,4,5,5,5,5
6507279731,4,4,4,9,9,13,13,13
16417524900,1,1,1,1,1,1,1,1
54383989600,3,3,3,3,3,3,3,3
36869438500,8,8,8,8,8,8,8,8
7402483643,13,13,13,13,13,13,13,13
37077298500,6,6,6,69,69,69,69,69
57200814053,6,6,6,62,74,131,131,136
42062714100,4,4,4,7,7,7,7,7
36627945500,8,8,8,8,8,8,8,8
7402066733,6,6,9,9,13,13,13,13
17434137900,3,3,24,27,27,30,30,30
6508161571,9,9,20,32,32,38,40,40
48761844600,2,2,3,5,5,5,11,11
54922633400,2,23,23,23,23,28,28,28
53878363000,6,6,6,7,7,7,7,7
8654719200,8,8,14,14,14,14,14,14
23988318300,22,22,22,22,41,42,42,42
8627321700,3,3,3,3,3,3,3,3
35611098100,11,15,21,21,21,21,21,21
55405914000,4,4,4,4,4,4,4,4
23049716600,6,6,6,6,6,15,15,15
55392353500,11,11,11,11,11,11,11,11
8779307500,32,48,52,55,61,61,61,61
52063109200,8,8,9,9,9,9,15,15
54793286400,2,5,5,5,5,5,5,5
53986586300,13,14,15,19,28,31,31,31
6506630171,3,3,3,3,3,3,3,3
55966189500,5,11,16,23,24,26,32,32
57049355600,2,2,2,2,2,2,2,2
50162244600,11,11,23,23,23,23,23,23
37117881700,3,3,3,3,3,3,3,3
6507324882,3,3,3,3,3,3,3,3
55922174700,4,4,4,4,4,4,4,4
8508138400,26,70,70,70,126,126,126,126
37007396600,1,1,3,3,3,22,26,26
36647628800,5,5,5,11,11,11,11,11
53881193400,4,4,4,11,11,19,21,21
55264630900,3,3,3,3,7,7,7,7
37016933800,6,6,11,11,11,11,11,11
17435892500,1,1,1,1,1,1,1,1
24923791700,4,10,10,10,10,10,10,10
55588010000,3,3,8,9,10,13,20,28
49960964900,3,3,3,3,3,3,7,7
7005458403,4,4,4,4,4,4,4,4
55486576300,5,7,11,21,24,31,47,53
7004115778,3,3,3,3,8,8,8,8
56181233500,1,1,3,3,3,3,4,7
57203083668,31,31,31,31,31,31,31,31
7801359254,17,17,35,35,52,55,60,64
35078304600,3,6,8,12,17,28,28,33
6603106945,7,7,15,17,17,17,17,17
6602168352,5,5,5,5,5,5,5,5
6602787733,19,51,65,69,74,74,74,74
55566929600,3,6,6,6,8,12,12,12
52464518500,8,11,13,17,33,44,44,44
6602834280,5,5,5,5,5,5,5,5
56249923300,50,50,50,50,50,50,50,50
55888534000,4,4,4,5,5,8,8,8
36550508600,4,5,11,16,16,16,16,16
7007011750,2,2,2,2,2,2,2,2
7004361831,30,32,37,38,38,59,59,73
41760907600,7,7,12,12,14,19,19,20
35098682300,6,6,6,6,6,6,6,6
47160925000,7,7,11,13,13,13,13,13
55390002500,1,4,5,11,11,11,11,13
15119241600,3,3,3,7,9,9,9,13
55311930100,4,4,4,4,4,4,4,4
7003996954,16,16,16,16,24,24,24,24
14038844000,5,9,9,9,9,13,13,13
6601959744,6,6,6,6,6,6,6,6
6601974774,7,7,7,7,7,7,7,7
35249002700,10,10,10,10,10,15,15,15
12799410900,4,4,4,6,7,7,7,7
6602544699,2,2,2,2,2,5,5,5
6603002080,4,4,4,4,4,4,4,4
35320510900,5,5,5,5,5,5,5,5
6504744448,6,6,6,6,6,6,6,6
53164577200,4,4,4,7,7,8,8,8
25027644800,34,34,34,34,34,34,34,34
54389726500,21,27,27,27,27,27,27,27
50162066100,4,4,4,4,4,4,4,4
23393905100,6,10,10,10,10,10,10,10
24483707700,1,1,1,1,1,1,1,1
8899087700,3,3,4,4,11,15,18,18
6507953976,3,3,5,5,10,10,10,10
35495844500,21,21,21,21,21,21,21,21
6506453347,14,14,14,14,16,16,22,22
55941040500,4,4,4,4,4,4,4,4
7102026019,7,7,19,19,32,32,35,35
37005390300,5,5,5,5,5,5,5,5
36602784800,10,17,40,47,57,57,57,57
38660918900,6,11,11,19,20,27,27,32
36651154600,9,9,9,9,9,9,9,9
36608413200,3,3,5,8,9,9,9,9
42461167800,4,4,4,4,4,4,5,5
7004895038,13,13,20,20,20,20,20,20
54791646900,2,2,4,4,4,4,6,6
36573961600,9,9,11,11,11,26,26,26
42762206500,4,4,4,4,6,7,7,7
56338226500,3,4,4,5,6,6,6,6
7004232204,2,2,2,2,2,2,2,2
54393283900,6,6,6,6,9,9,9,9
54782190800,4,5,5,9,9,9,9,9
7102773403,5,5,5,5,5,5,5,5
56156471800,2,2,3,3,3,4,4,4
12646575800,52,52,52,52,52,52,52,52
18134797800,5,5,5,5,5,5,5,5
